FIPS,County,Cause of Death,Deaths
,,,
001,ADAMS,Diseases of heart (heart disease),173
001,ADAMS,All other causes,155
001,ADAMS,Malignant neoplasms (cancer),128
001,ADAMS,Chronic lower respiratory diseases,41
001,ADAMS,Accidents (unintentional injuries),37
001,ADAMS,Cerebrovascular diseases (stroke),34
001,ADAMS,Septicemia,21
001,ADAMS,Diabetes mellitus (diabetes),21
001,ADAMS,Parkinson disease,20
001,ADAMS,COVID-19,19
001,ADAMS,Alzheimer disease,17
001,ADAMS,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",12
001,ADAMS,Influenza and pneumonia,12
001,ADAMS,Essential hypertension and hypertensive renal disease (hypertension),*
001,ADAMS,Chronic liver disease and cirrhosis,*
001,ADAMS,Pneumonitis due to solids and liquids,*
001,ADAMS,Intentional self-harm (suicide),*
001,ADAMS,Assault (homicide),*
001,ADAMS,Anemias,*
001,ADAMS,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
001,ADAMS,Cholelithiasis and other disorders of gallbladder,*
001,ADAMS,Nutritional deficiencies,*
001,ADAMS,Hernia,*
001,ADAMS,Peptic ulcer,*
001,ADAMS,Atherosclerosis,*
001,ADAMS,Human immunodeficiency virus (HIV) disease,*
001,ADAMS,Unknown (R99),*
001,ADAMS,"Congenital malformations, deformations and chromosomal abnormalities",*
001,ADAMS,Viral hepatitis,*
003,ALEXANDER,Malignant neoplasms (cancer),16
003,ALEXANDER,Diseases of heart (heart disease),13
003,ALEXANDER,All other causes,11
003,ALEXANDER,Chronic lower respiratory diseases,*
003,ALEXANDER,Essential hypertension and hypertensive renal disease (hypertension),*
003,ALEXANDER,COVID-19,*
003,ALEXANDER,Chronic liver disease and cirrhosis,*
003,ALEXANDER,Cerebrovascular diseases (stroke),*
003,ALEXANDER,Assault (homicide),*
003,ALEXANDER,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
003,ALEXANDER,Pneumonitis due to solids and liquids,*
003,ALEXANDER,Diabetes mellitus (diabetes),*
003,ALEXANDER,Viral hepatitis,*
003,ALEXANDER,Nutritional deficiencies,*
003,ALEXANDER,Intentional self-harm (suicide),*
003,ALEXANDER,Influenza and pneumonia,*
003,ALEXANDER,"Congenital malformations, deformations and chromosomal abnormalities",*
003,ALEXANDER,Accidents (unintentional injuries),*
003,ALEXANDER,Alzheimer disease,*
005,BOND,Diseases of heart (heart disease),45
005,BOND,Malignant neoplasms (cancer),39
005,BOND,All other causes,29
005,BOND,Accidents (unintentional injuries),14
005,BOND,Cerebrovascular diseases (stroke),12
005,BOND,Chronic lower respiratory diseases,*
005,BOND,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
005,BOND,Diabetes mellitus (diabetes),*
005,BOND,Influenza and pneumonia,*
005,BOND,Intentional self-harm (suicide),*
005,BOND,Septicemia,*
005,BOND,Essential hypertension and hypertensive renal disease (hypertension),*
005,BOND,COVID-19,*
005,BOND,Alzheimer disease,*
005,BOND,,*
005,BOND,Parkinson disease,*
005,BOND,Peptic ulcer,*
005,BOND,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
005,BOND,Human immunodeficiency virus (HIV) disease,*
007,BOONE,Malignant neoplasms (cancer),92
007,BOONE,Diseases of heart (heart disease),86
007,BOONE,All other causes,79
007,BOONE,Accidents (unintentional injuries),33
007,BOONE,Cerebrovascular diseases (stroke),33
007,BOONE,Chronic lower respiratory diseases,29
007,BOONE,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",16
007,BOONE,Diabetes mellitus (diabetes),14
007,BOONE,Alzheimer disease,12
007,BOONE,Septicemia,*
007,BOONE,Intentional self-harm (suicide),*
007,BOONE,Parkinson disease,*
007,BOONE,COVID-19,*
007,BOONE,Chronic liver disease and cirrhosis,*
007,BOONE,Essential hypertension and hypertensive renal disease (hypertension),*
007,BOONE,Influenza and pneumonia,*
007,BOONE,Anemias,*
007,BOONE,Pneumonitis due to solids and liquids,*
007,BOONE,Aortic aneurysm and dissection,*
007,BOONE,Certain conditions originating in the perinatal period,*
007,BOONE,"Congenital malformations, deformations and chromosomal abnormalities",*
007,BOONE,Unknown (R99),*
007,BOONE,Nutritional deficiencies,*
007,BOONE,Infections of kidney,*
007,BOONE,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
007,BOONE,Enterocolitis due to Clostridium difficile,*
007,BOONE,Assault (homicide),*
009,BROWN,Diseases of heart (heart disease),14
009,BROWN,All other causes,*
009,BROWN,Malignant neoplasms (cancer),*
009,BROWN,Chronic lower respiratory diseases,*
009,BROWN,Accidents (unintentional injuries),*
009,BROWN,Influenza and pneumonia,*
009,BROWN,Intentional self-harm (suicide),*
009,BROWN,Cerebrovascular diseases (stroke),*
009,BROWN,Diabetes mellitus (diabetes),*
009,BROWN,Septicemia,*
009,BROWN,Essential hypertension and hypertensive renal disease (hypertension),*
009,BROWN,Alzheimer disease,*
009,BROWN,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
009,BROWN,Parkinson disease,*
009,BROWN,Assault (homicide),*
011,BUREAU,Diseases of heart (heart disease),122
011,BUREAU,Malignant neoplasms (cancer),75
011,BUREAU,All other causes,47
011,BUREAU,Cerebrovascular diseases (stroke),26
011,BUREAU,Accidents (unintentional injuries),21
011,BUREAU,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",18
011,BUREAU,Chronic lower respiratory diseases,13
011,BUREAU,Alzheimer disease,11
011,BUREAU,Parkinson disease,10
011,BUREAU,COVID-19,*
