,2009,2010,2011
Diseases of heart,"5,251","5,077","5,008"
Malignant neoplasms,"4,431","4,494","4,333"
Cerebro vascular diseases (stroke),716,882,889
Chronic lower respiratory diseases,933,687,718
Accidents,747,672,639
Alzheimer's disease,358,345,370
"Nephritis, nephrotic syndrome and nephrosis",624,504,455
Diabetes mellitus,563,598,566
Influenza and pneumonia,497,433,472
Septicemia,516,460,415
Intentional self-harm (suicide),187,171,160
Chronic liver disease and cirrhosis,252,226,239
All other causes,"4,141","4,046","4,479"
