,2009,2010,2011
Diseases of heart,"10,339","10,247","10,114"
Malignant neoplasms,"9,466","9,431","9,221"
Cerebro vascular diseases (stroke),"1,584","1,978","1,981"
Chronic lower respiratory diseases,"1,966","1,588","1,655"
Accidents,"1,313","1,281","1,148"
Alzheimer's disease,883,879,858
"Nephritis, nephrotic syndrome and nephrosis","1,162","1,057",949
Diabetes mellitus,"1,161","1,102","1,092"
Influenza and pneumonia,984,893,967
Septicemia,994,864,805
Intentional self-harm (suicide),396,390,336
Chronic liver disease and cirrhosis,464,449,451
All other causes,"8,434","8,446","9,294"
