,2009,2010,2011
Diseases of heart,"1,275","1,260","1,304"
Malignant neoplasms,"1,482","1,413","1,469"
Cerebro vascular diseases (stroke),290,314,299
Chronic lower respiratory diseases,306,282,292
Accidents,174,195,160
Alzheimer's disease,218,217,216
"Nephritis, nephrotic syndrome and nephrosis",98,138,122
Diabetes mellitus,162,102,122
Influenza and pneumonia,125,101,152
Septicemia,85,93,103
Intentional self-harm (suicide),68,93,73
Chronic liver disease and cirrhosis,64,59,60
All other causes,"1,285","1,376","1,604"
