,2009,2010,2011
Diseases of heart,"24,891","24,868","24,607"
Malignant neoplasms,"24,159","24,016","23,852"
Cerebro vascular diseases (stroke),"5,298","5,333","5,324"
Chronic lower respiratory diseases,"5,243","5,219","5,369"
Accidents,"3,958","3,961","3,510"
Alzheimer's disease,"2,896","2,915","2,896"
"Nephritis, nephrotic syndrome and nephrosis","2,740","2,607","2,361"
Diabetes mellitus,"2,688","2,499","2,658"
Influenza and pneumonia,"2,412","2,205","2,394"
Septicemia,"1,993","1,858","1,828"
Intentional self-harm (suicide),"1,166","1,169","1,041"
Chronic liver disease and cirrhosis,"1,111","1,119","1,121"
All other causes,"21,341","21,855","24,330"
