Resident County,2009,2010,2011
Adams,0.04060913705583756,0.038834951456310676,0.03190184049079755
Alexander,0.018018018018018018,0.06593406593406594,0.009523809523809525
Bond,0.02976190476190476,0.09392265193370165,0.03954802259887006
Boone,0.03481012658227848,0.04923076923076923,0.027472527472527472
Brown,0.0,0.028985507246376812,0.06521739130434782
Bureau,0.04481792717086835,0.05759162303664921,0.034574468085106384
Calhoun,0.06666666666666667,0.10204081632653061,0.018867924528301886
Carroll,0.055248618784530384,0.075,0.022099447513812154
Cass,0.060810810810810814,0.02158273381294964,0.04225352112676056
Champaign,,,
Chicago,,,
Christian,0.02849740932642487,0.039119804400977995,0.034653465346534656
Clark,0.056074766355140186,0.06372549019607843,0.03535353535353535
Clay,0.04040404040404041,0.07428571428571429,0.0625
Clinton,0.05157593123209169,0.04745762711864407,0.04075235109717868
Coles,0.041758241758241756,0.05009633911368015,0.03938730853391685
Cook,,,
Crawford,0.03968253968253968,0.03139013452914798,0.0514018691588785
Cumberland,0.06086956521739131,0.08620689655172414,0.06153846153846154
DeKalb,0.060382916053019146,0.03474320241691843,0.043478260869565216
DeWitt,0.04054054054054054,0.04294478527607362,0.044585987261146494
Douglas,0.022857142857142857,0.04519774011299435,0.0425531914893617
DuPage,,,
Edgar,0.030303030303030304,0.028925619834710745,0.046875
Edwards,0.08108108108108109,0.04395604395604396,0.04477611940298507
Effingham,0.07142857142857142,0.08433734939759036,0.06744868035190615
Fayette,0.05365853658536585,0.05741626794258373,0.05238095238095238
Ford,0.020618556701030927,0.025252525252525252,0.02512562814070352
Franklin,0.04423076923076923,0.051188299817184646,0.03308823529411765
Fulton,0.03404255319148936,0.038901601830663615,0.03896103896103896
Gallatin,0.03529411764705882,0.033707865168539325,0.08433734939759036
Greene,0.0650887573964497,0.033783783783783786,0.03424657534246575
Grundy,0.06684491978609626,0.060941828254847646,0.05339805825242718
Hamilton,0.0,0.034782608695652174,0.017543859649122806
Hancock,0.06,0.017045454545454544,0.04712041884816754
Hardin,0.0847457627118644,0.06451612903225806,0.05555555555555555
Henderson,0.04,0.04,0.012658227848101266
Henry,0.03428571428571429,0.04056437389770723,0.038834951456310676
ILLINOIS,,,
Iroquois,0.028901734104046242,0.034210526315789476,0.03617571059431524
Jackson,0.05504587155963303,0.030501089324618737,0.05197505197505198
Jasper,0.010869565217391304,0.08,0.020618556701030927
Jefferson,0.042316258351893093,0.040632054176072234,0.05517241379310345
Jersey,0.050761421319796954,0.05063291139240506,0.04198473282442748
Jo Daviess,0.04680851063829787,0.02666666666666667,0.059322033898305086
Johnson,0.031496062992125984,0.06722689075630252,0.016260162601626018
Kane,,,
Kankakee,,0.03604531410916581,
Kendall,0.05429864253393665,0.035940803382663845,0.0371900826446281
Knox,0.03833333333333333,0.0442225392296719,0.023183925811437404
LaSalle,,,
Lake,,,
Lawrence,0.04329004329004329,0.045,0.049773755656108594
Lee,0.05305039787798409,0.05362776025236593,0.0440771349862259
Livingston,0.03553299492385787,0.03125,0.03341288782816229
Logan,0.05063291139240506,0.03048780487804878,0.028368794326241134
Macon,,,
Macoupin,0.050522648083623695,0.04642166344294004,0.03473491773308958
Madison,,,
Marion,0.056338028169014086,0.04621072088724584,0.022058823529411766
Marshall,0.04081632653061224,0.023121387283236993,0.025477707006369428
Mason,0.05027932960893855,0.07462686567164178,0.025
Massac,0.0582010582010582,0.04186046511627907,0.05581395348837209
McDonough,0.02356902356902357,0.023728813559322035,0.05102040816326531
McHenry,,,
McLean,,,
Menard,0.06818181818181818,0.03305785123966942,0.04672897196261682
Mercer,0.057803468208092484,0.044585987261146494,0.03067484662576687
Monroe,0.034482758620689655,0.05138339920948617,0.05693950177935943
Montgomery,0.056,0.03418803418803419,0.0391566265060241
Morgan,0.05013927576601671,0.0650887573964497,0.049019607843137254
Moultrie,0.0440251572327044,0.03398058252427184,0.04145077720207254
Ogle,0.048672566371681415,0.05307855626326964,0.028824833702882482
Peoria,,,
Perry,0.017699115044247787,0.036,0.03896103896103896
Piatt,0.049689440993788817,0.04895104895104895,0.028901734104046242
Pike,0.05,0.05,0.0502283105022831
Pope,0.03225806451612903,0.05172413793103448,0.01639344262295082
Pulaski,0.02857142857142857,0.03488372093023256,0.011494252873563218
Putnam,0.031746031746031744,0.0625,0.058823529411764705
Randolph,0.04859335038363171,0.0626865671641791,0.09278350515463918
Richland,0.06629834254143646,0.025380710659898477,0.03333333333333333
Rock Island,,,
Saline,0.029850746268656716,0.0398936170212766,0.03058103975535168
Sangamon,,,
Schuyler,0.047058823529411764,0.06493506493506493,0.05154639175257732
Scott,0.06,0.08333333333333333,0.047619047619047616
Shelby,0.05241935483870968,0.029787234042553193,0.030303030303030304
St. Clair,,,
Stark,0.047619047619047616,0.07228915662650602,0.07407407407407407
Stephenson,0.03389830508474576,0.03868471953578337,0.04365079365079365
Suburban Cook,,,
Tazewell,,,
Union,0.0365296803652968,0.04568527918781726,0.04054054054054054
Vermilion,0.049342105263157895,0.039045553145336226,0.031568228105906315
Wabash,0.0703125,0.09375,0.0392156862745098
Warren,0.031746031746031744,0.04790419161676647,0.030927835051546393
Washington,0.05185185185185185,0.027777777777777776,0.06578947368421052
Wayne,0.014563106796116505,0.035897435897435895,0.029411764705882353
White,0.03211009174311927,0.04184100418410042,0.03664921465968586
Whiteside,0.037337662337662336,0.03064516129032258,0.036418816388467376
Will,,,
Williamson,0.030666666666666665,0.04330175913396482,0.048239895697522815
Winnebago,,,
Woodford,0.043243243243243246,0.04,0.02608695652173913
