Resident County,2009,2010,2011
Adams,0.22715736040609136,0.2538141470180305,0.25153374233128833
Alexander,0.16216216216216217,0.2967032967032967,0.26666666666666666
Bond,0.11904761904761904,0.18232044198895028,0.23163841807909605
Boone,0.16139240506329114,0.18461538461538463,0.25274725274725274
Brown,0.2711864406779661,0.30434782608695654,0.1956521739130435
Bureau,0.15406162464985995,0.17277486910994763,0.2127659574468085
Calhoun,0.1,0.02040816326530612,0.2641509433962264
Carroll,0.20994475138121546,0.2,0.23756906077348067
Cass,0.14189189189189189,0.2589928057553957,0.18309859154929578
Champaign,,,
Chicago,,,
Christian,0.20466321243523317,0.18581907090464547,0.2202970297029703
Clark,0.17757009345794392,0.14215686274509803,0.23737373737373738
Clay,0.1919191919191919,0.28,0.21022727272727273
Clinton,0.16045845272206305,0.25084745762711863,0.22884012539184953
Coles,0.17582417582417584,0.19460500963391136,0.23194748358862144
Cook,,,
Crawford,0.19047619047619047,0.20179372197309417,0.21495327102803738
Cumberland,0.24347826086956523,0.1810344827586207,0.26153846153846155
DeKalb,0.23269513991163476,0.23867069486404835,0.2518740629685157
DeWitt,0.23873873873873874,0.19631901840490798,0.17834394904458598
Douglas,0.18857142857142858,0.22598870056497175,0.17553191489361702
DuPage,,,
Edgar,0.1341991341991342,0.16942148760330578,0.171875
Edwards,0.22972972972972974,0.23076923076923078,0.16417910447761194
Effingham,0.1461038961038961,0.21987951807228914,0.23460410557184752
Fayette,0.17073170731707318,0.21052631578947367,0.19523809523809524
Ford,0.24742268041237114,0.25757575757575757,0.35678391959798994
Franklin,0.19423076923076923,0.1809872029250457,0.1948529411764706
Fulton,0.26170212765957446,0.2585812356979405,0.27705627705627706
Gallatin,0.12941176470588237,0.10112359550561797,0.1927710843373494
Greene,0.21893491124260356,0.18243243243243243,0.23972602739726026
Grundy,0.15240641711229946,0.23545706371191136,0.18689320388349515
Hamilton,0.10909090909090909,0.10434782608695652,0.14035087719298245
Hancock,0.2,0.18181818181818182,0.18324607329842932
Hardin,0.13559322033898305,0.1935483870967742,0.2222222222222222
Henderson,0.12,0.12,0.12658227848101267
Henry,0.21523809523809523,0.21869488536155202,0.26407766990291265
ILLINOIS,,,
Iroquois,0.17341040462427745,0.14210526315789473,0.15503875968992248
Jackson,0.1834862385321101,0.2374727668845316,0.23076923076923078
Jasper,0.13043478260869565,0.17,0.27835051546391754
Jefferson,0.155902004454343,0.1986455981941309,0.21149425287356322
Jersey,0.18274111675126903,0.1518987341772152,0.18702290076335878
Jo Daviess,0.1829787234042553,0.2088888888888889,0.19491525423728814
Johnson,0.1732283464566929,0.31092436974789917,0.4715447154471545
Kane,,,
Kankakee,,0.1678681771369722,
Kendall,0.2398190045248869,0.2452431289640592,0.25413223140495866
Knox,0.19666666666666666,0.19258202567760344,0.26120556414219476
LaSalle,,,
Lake,,,
Lawrence,0.26406926406926406,0.23,0.2579185520361991
Lee,0.20424403183023873,0.2082018927444795,0.2644628099173554
Livingston,0.17258883248730963,0.1778846153846154,0.2100238663484487
Logan,0.27531645569620256,0.2926829268292683,0.2375886524822695
Macon,,,
Macoupin,0.2229965156794425,0.20502901353965183,0.21572212065813529
Madison,,,
Marion,0.18309859154929578,0.1756007393715342,0.1948529411764706
Marshall,0.22448979591836735,0.17341040462427745,0.2229299363057325
Mason,0.16759776536312848,0.22388059701492538,0.245
Massac,0.2275132275132275,0.25116279069767444,0.2558139534883721
McDonough,0.18855218855218855,0.21016949152542372,0.2585034013605442
McHenry,,,
McLean,,,
Menard,0.1893939393939394,0.2892561983471074,0.2897196261682243
Mercer,0.1791907514450867,0.17834394904458598,0.17791411042944785
Monroe,0.27586206896551724,0.2490118577075099,0.24555160142348753
Montgomery,0.17866666666666667,0.18233618233618235,0.21084337349397592
Morgan,0.1977715877437326,0.21301775147928995,0.18627450980392157
Moultrie,0.2641509433962264,0.22330097087378642,0.2849740932642487
Ogle,0.18805309734513273,0.18895966029723993,0.21729490022172948
Peoria,,,
Perry,0.17256637168141592,0.204,0.19480519480519481
Piatt,0.2546583850931677,0.25874125874125875,0.23121387283236994
Pike,0.29,0.25,0.2648401826484018
Pope,0.12903225806451613,0.22413793103448276,0.26229508196721313
Pulaski,0.14285714285714285,0.20930232558139536,0.21839080459770116
Putnam,0.1746031746031746,0.2916666666666667,0.2549019607843137
Randolph,0.20971867007672634,0.2417910447761194,0.20103092783505155
Richland,0.19337016574585636,0.2893401015228426,0.3111111111111111
Rock Island,,,
Saline,0.19402985074626866,0.17553191489361702,0.25076452599388377
Sangamon,,,
Schuyler,0.12941176470588237,0.16883116883116883,0.20618556701030927
Scott,0.26,0.15,0.2857142857142857
Shelby,0.1693548387096774,0.17872340425531916,0.20346320346320346
St. Clair,,,
Stark,0.23809523809523808,0.20481927710843373,0.32098765432098764
Stephenson,0.2391713747645951,0.26305609284332687,0.23214285714285715
Suburban Cook,,,
Tazewell,,,
Union,0.228310502283105,0.2436548223350254,0.19369369369369369
Vermilion,0.1875,0.19305856832971802,0.21181262729124237
Wabash,0.21875,0.19375,0.2679738562091503
Warren,0.18518518518518517,0.17964071856287425,0.23711340206185566
Washington,0.21481481481481482,0.1597222222222222,0.23684210526315788
Wayne,0.23786407766990292,0.24615384615384617,0.27450980392156865
White,0.17889908256880735,0.18828451882845187,0.2198952879581152
Whiteside,0.18993506493506493,0.20483870967741935,0.22154779969650987
Will,,,
Williamson,0.208,0.2354533152909337,0.22164276401564537
Winnebago,,,
Woodford,0.1972972972972973,0.21714285714285714,0.2608695652173913
