Resident County,2009,2010,2011
Adams,0.02030456852791878,0.036061026352288486,0.0343558282208589
Alexander,0.009009009009009009,0.0,0.02857142857142857
Bond,0.05357142857142857,0.049723756906077346,0.05084745762711865
Boone,0.05379746835443038,0.024615384615384615,0.03571428571428571
Brown,0.0,0.0,0.021739130434782608
Bureau,0.03081232492997199,0.03926701570680628,0.02925531914893617
Calhoun,0.03333333333333333,0.02040816326530612,0.0
Carroll,0.011049723756906077,0.02,0.016574585635359115
Cass,0.013513513513513514,0.0,0.0
Champaign,,,
Chicago,,,
Christian,0.03626943005181347,0.02444987775061125,0.04455445544554455
Clark,0.04205607476635514,0.07352941176470588,0.025252525252525252
Clay,0.010101010101010102,0.005714285714285714,0.005681818181818182
Clinton,0.054441260744985676,0.02711864406779661,0.025078369905956112
Coles,0.026373626373626374,0.02697495183044316,0.024070021881838075
Cook,,,
Crawford,0.027777777777777776,0.04035874439461883,0.037383177570093455
Cumberland,0.008695652173913044,0.02586206896551724,0.015384615384615385
DeKalb,0.05154639175257732,0.04984894259818731,0.044977511244377814
DeWitt,0.04504504504504504,0.05521472392638037,0.05732484076433121
Douglas,0.04,0.03954802259887006,0.0425531914893617
DuPage,,,
Edgar,0.06493506493506493,0.0743801652892562,0.036458333333333336
Edwards,0.0,0.01098901098901099,0.0
Effingham,0.032467532467532464,0.02710843373493976,0.03225806451612903
Fayette,0.03414634146341464,0.05741626794258373,0.06190476190476191
Ford,0.09278350515463918,0.05555555555555555,0.08542713567839195
Franklin,0.07692307692307693,0.08409506398537477,0.08823529411764706
Fulton,0.036170212765957444,0.041189931350114416,0.025974025974025976
Gallatin,0.011764705882352941,0.02247191011235955,0.060240963855421686
Greene,0.01775147928994083,0.02702702702702703,0.0136986301369863
Grundy,0.0427807486631016,0.04709141274238227,0.02912621359223301
Hamilton,0.00909090909090909,0.008695652173913044,0.017543859649122806
Hancock,0.03,0.03977272727272727,0.07853403141361257
Hardin,0.0,0.03225806451612903,0.0
Henderson,0.06666666666666667,0.04,0.0759493670886076
Henry,0.01904761904761905,0.015873015873015872,0.017475728155339806
ILLINOIS,,,
Iroquois,0.07225433526011561,0.07368421052631578,0.08010335917312661
Jackson,0.04357798165137615,0.030501089324618737,0.05197505197505198
Jasper,0.043478260869565216,0.07,0.010309278350515464
Jefferson,0.051224944320712694,0.04740406320541761,0.05057471264367816
Jersey,0.07614213197969544,0.05485232067510549,0.09541984732824428
Jo Daviess,0.059574468085106386,0.04888888888888889,0.07203389830508475
Johnson,0.031496062992125984,0.01680672268907563,0.008130081300813009
Kane,,,
Kankakee,,0.04531410916580844,
Kendall,0.024886877828054297,0.019027484143763214,0.012396694214876033
Knox,0.03833333333333333,0.04850213980028531,0.04791344667697063
LaSalle,,,
Lake,,,
Lawrence,0.0735930735930736,0.075,0.07239819004524888
Lee,0.034482758620689655,0.03470031545741325,0.027548209366391185
Livingston,0.02284263959390863,0.036057692307692304,0.031026252983293555
Logan,0.04430379746835443,0.06707317073170732,0.06382978723404255
Macon,,,
Macoupin,0.036585365853658534,0.03288201160541586,0.029250457038391225
Madison,,,
Marion,0.028169014084507043,0.027726432532347505,0.042279411764705885
Marshall,0.07482993197278912,0.07514450867052024,0.07006369426751592
Mason,0.07262569832402235,0.04477611940298507,0.04
Massac,0.005291005291005291,0.023255813953488372,0.018604651162790697
McDonough,0.013468013468013467,0.01694915254237288,0.01020408163265306
McHenry,,,
McLean,,,
Menard,0.06818181818181818,0.01652892561983471,0.06542056074766354
Mercer,0.06358381502890173,0.07643312101910828,0.03067484662576687
Monroe,0.02681992337164751,0.05138339920948617,0.021352313167259787
Montgomery,0.056,0.05128205128205128,0.07228915662650602
Morgan,0.033426183844011144,0.014792899408284023,0.024509803921568627
Moultrie,0.025157232704402517,0.0048543689320388345,0.010362694300518135
Ogle,0.05088495575221239,0.055201698513800426,0.05321507760532151
Peoria,,,
Perry,0.04424778761061947,0.032,0.030303030303030304
Piatt,0.018633540372670808,0.027972027972027972,0.011560693641618497
Pike,0.01,0.015,0.0136986301369863
Pope,0.0,0.0,0.0
Pulaski,0.02857142857142857,0.011627906976744186,0.04597701149425287
Putnam,0.015873015873015872,0.041666666666666664,0.0
Randolph,0.02557544757033248,0.04776119402985075,0.04381443298969072
Richland,0.0055248618784530384,0.0,0.0
Rock Island,,,
Saline,0.050746268656716415,0.06648936170212766,0.05504587155963303
Sangamon,,,
Schuyler,0.011764705882352941,0.0,0.010309278350515464
Scott,0.0,0.0,0.015873015873015872
Shelby,0.020161290322580645,0.00851063829787234,0.030303030303030304
St. Clair,,,
Stark,0.08333333333333333,0.08433734939759036,0.07407407407407407
Stephenson,0.02071563088512241,0.030947775628626693,0.023809523809523808
Suburban Cook,,,
Tazewell,,,
Union,0.0684931506849315,0.04568527918781726,0.018018018018018018
Vermilion,0.013157894736842105,0.026030368763557483,0.034623217922606926
Wabash,0.0234375,0.00625,0.0196078431372549
Warren,0.026455026455026454,0.023952095808383235,0.010309278350515464
Washington,0.007407407407407408,0.0,0.006578947368421052
Wayne,0.009708737864077669,0.015384615384615385,0.014705882352941176
White,0.05045871559633028,0.03347280334728033,0.010471204188481676
Whiteside,0.037337662337662336,0.017741935483870968,0.024279210925644917
Will,,,
Williamson,0.02266666666666667,0.03247631935047361,0.03129074315514994
Winnebago,,,
Woodford,0.07837837837837838,0.08285714285714285,0.057971014492753624
