Resident County,2009,2010,2011
Adams,0.10152284263959391,0.05825242718446602,0.05276073619631902
Alexander,0.07207207207207207,0.04395604395604396,0.047619047619047616
Bond,0.06547619047619048,0.049723756906077346,0.03389830508474576
Boone,0.05063291139240506,0.052307692307692305,0.06868131868131869
Brown,0.06779661016949153,0.07246376811594203,0.06521739130434782
Bureau,0.07282913165266107,0.08115183246073299,0.05585106382978723
Calhoun,0.08333333333333333,0.10204081632653061,0.03773584905660377
Carroll,0.08287292817679558,0.04,0.027624309392265192
Cass,0.06756756756756757,0.07913669064748201,0.09859154929577464
Champaign,,,
Chicago,,,
Christian,0.04404145077720207,0.07090464547677261,0.0594059405940594
Clark,0.06542056074766354,0.04411764705882353,0.09090909090909091
Clay,0.10606060606060606,0.06857142857142857,0.07954545454545454
Clinton,0.02865329512893983,0.04745762711864407,0.05642633228840126
Coles,0.10329670329670329,0.0789980732177264,0.05908096280087528
Cook,,,
Crawford,0.051587301587301584,0.07174887892376682,0.09345794392523364
Cumberland,0.0782608695652174,0.0603448275862069,0.046153846153846156
DeKalb,0.047128129602356406,0.0513595166163142,0.047976011994003
DeWitt,0.07657657657657657,0.06748466257668712,0.050955414012738856
Douglas,0.09142857142857143,0.03389830508474576,0.06914893617021277
DuPage,,,
Edgar,0.1341991341991342,0.07024793388429752,0.0625
Edwards,0.06756756756756757,0.04395604395604396,0.014925373134328358
Effingham,0.05519480519480519,0.06927710843373494,0.06158357771260997
Fayette,0.0975609756097561,0.05263157894736842,0.05714285714285714
Ford,0.04639175257731959,0.05555555555555555,0.05025125628140704
Franklin,0.08846153846153847,0.04021937842778794,0.04963235294117647
Fulton,0.04468085106382979,0.05034324942791762,0.06493506493506493
Gallatin,0.07058823529411765,0.0449438202247191,0.060240963855421686
Greene,0.023668639053254437,0.060810810810810814,0.07534246575342465
Grundy,0.0374331550802139,0.07202216066481995,0.0412621359223301
Hamilton,0.06363636363636363,0.034782608695652174,0.02631578947368421
Hancock,0.08,0.056818181818181816,0.07329842931937172
Hardin,0.13559322033898305,0.016129032258064516,0.05555555555555555
Henderson,0.09333333333333334,0.04,0.08860759493670886
Henry,0.05904761904761905,0.07054673721340388,0.05048543689320388
ILLINOIS,,,
Iroquois,0.06358381502890173,0.0868421052631579,0.07493540051679587
Jackson,0.06422018348623854,0.05010893246187364,0.07068607068607069
Jasper,0.06521739130434782,0.02,0.05154639175257732
Jefferson,0.06904231625835189,0.045146726862302484,0.03218390804597701
Jersey,0.050761421319796954,0.029535864978902954,0.04580152671755725
Jo Daviess,0.0425531914893617,0.06222222222222222,0.07203389830508475
Johnson,0.09448818897637795,0.05042016806722689,0.008130081300813009
Kane,,,
Kankakee,,0.044284243048403706,
Kendall,0.05429864253393665,0.06342494714587738,0.045454545454545456
Knox,0.08,0.05135520684736091,0.05255023183925812
LaSalle,,,
Lake,,,
Lawrence,0.05627705627705628,0.025,0.058823529411764705
Lee,0.050397877984084884,0.0473186119873817,0.05509641873278237
Livingston,0.06091370558375635,0.09134615384615384,0.06443914081145585
Logan,0.08227848101265822,0.051829268292682924,0.06028368794326241
Macon,,,
Macoupin,0.059233449477351915,0.05415860735009671,0.054844606946983544
Madison,,,
Marion,0.06639839034205232,0.031423290203327174,0.042279411764705885
Marshall,0.034013605442176874,0.07514450867052024,0.10828025477707007
Mason,0.061452513966480445,0.05472636815920398,0.03
Massac,0.0582010582010582,0.04186046511627907,0.06046511627906977
McDonough,0.04713804713804714,0.061016949152542375,0.05442176870748299
McHenry,,,
McLean,,,
Menard,0.015151515151515152,0.01652892561983471,0.037383177570093455
Mercer,0.06936416184971098,0.03184713375796178,0.03680981595092025
Monroe,0.0421455938697318,0.06324110671936758,0.07473309608540925
Montgomery,0.056,0.045584045584045586,0.06325301204819277
Morgan,0.0584958217270195,0.03254437869822485,0.058823529411764705
Moultrie,0.05660377358490566,0.05339805825242718,0.04145077720207254
Ogle,0.059734513274336286,0.06794055201698514,0.04878048780487805
Peoria,,,
Perry,0.07079646017699115,0.052,0.06060606060606061
Piatt,0.037267080745341616,0.055944055944055944,0.07514450867052024
Pike,0.11,0.1,0.0410958904109589
Pope,0.06451612903225806,0.08620689655172414,0.03278688524590164
Pulaski,0.07142857142857142,0.023255813953488372,0.034482758620689655
Putnam,0.031746031746031744,0.041666666666666664,0.058823529411764705
Randolph,0.02557544757033248,0.03582089552238806,0.04381443298969072
Richland,0.049723756906077346,0.07614213197969544,0.044444444444444446
Rock Island,,,
Saline,0.06865671641791045,0.061170212765957445,0.05504587155963303
Sangamon,,,
Schuyler,0.058823529411764705,0.06493506493506493,0.041237113402061855
Scott,0.06,0.03333333333333333,0.031746031746031744
Shelby,0.036290322580645164,0.05531914893617021,0.09090909090909091
St. Clair,,,
Stark,0.047619047619047616,0.07228915662650602,0.012345679012345678
Stephenson,0.064030131826742,0.06382978723404255,0.07936507936507936
Suburban Cook,,,
Tazewell,,,
Union,0.0684931506849315,0.08121827411167512,0.05855855855855856
Vermilion,0.08771929824561403,0.05856832971800434,0.04276985743380855
Wabash,0.0546875,0.025,0.0457516339869281
Warren,0.06878306878306878,0.09580838323353294,0.06701030927835051
Washington,0.06666666666666667,0.125,0.09210526315789473
Wayne,0.06310679611650485,0.08717948717948718,0.09313725490196079
White,0.06880733944954129,0.03765690376569038,0.02617801047120419
Whiteside,0.06655844155844155,0.054838709677419356,0.06525037936267071
Will,,,
Williamson,0.05733333333333333,0.04871447902571042,0.05736636245110821
Winnebago,,,
Woodford,0.06486486486486487,0.06571428571428571,0.06956521739130435
