Resident County,2009,2010,2011
Adams,0.008883248730964468,0.005547850208044383,0.00245398773006135
Alexander,0.0,0.01098901098901099,0.0
Bond,0.005952380952380952,0.011049723756906077,0.011299435028248588
Boone,0.03164556962025317,0.036923076923076927,0.008241758241758242
Brown,0.0,0.0,0.043478260869565216
Bureau,0.0056022408963585435,0.005235602094240838,0.013297872340425532
Calhoun,0.016666666666666666,0.0,0.0
Carroll,0.0,0.015,0.0055248618784530384
Cass,0.0,0.014388489208633094,0.0
Champaign,,,
Chicago,,,
Christian,0.010362694300518135,0.012224938875305624,0.007425742574257425
Clark,0.004672897196261682,0.024509803921568627,0.010101010101010102
Clay,0.010101010101010102,0.0,0.005681818181818182
Clinton,0.0057306590257879654,0.006779661016949152,0.012539184952978056
Coles,0.01098901098901099,0.01348747591522158,0.006564551422319475
Cook,,,
Crawford,0.007936507936507936,0.008968609865470852,0.004672897196261682
Cumberland,0.0,0.0,0.007692307692307693
DeKalb,0.007363770250368188,0.010574018126888218,0.014992503748125937
DeWitt,0.0,0.0,0.012738853503184714
Douglas,0.005714285714285714,0.005649717514124294,0.010638297872340425
DuPage,,,
Edgar,0.0,0.008264462809917356,0.005208333333333333
Edwards,0.013513513513513514,0.02197802197802198,0.014925373134328358
Effingham,0.006493506493506494,0.009036144578313253,0.002932551319648094
Fayette,0.00975609756097561,0.009569377990430622,0.004761904761904762
Ford,0.0,0.005050505050505051,0.005025125628140704
Franklin,0.007692307692307693,0.005484460694698354,0.011029411764705883
Fulton,0.00851063829787234,0.004576659038901602,0.0021645021645021645
Gallatin,0.023529411764705882,0.02247191011235955,0.024096385542168676
Greene,0.011834319526627219,0.0,0.0
Grundy,0.016042780748663103,0.0110803324099723,0.019417475728155338
Hamilton,0.0,0.0,0.008771929824561403
Hancock,0.0,0.005681818181818182,0.0
Hardin,0.0,0.0,0.0
Henderson,0.013333333333333334,0.0,0.012658227848101266
Henry,0.0038095238095238095,0.012345679012345678,0.009708737864077669
ILLINOIS,,,
Iroquois,0.005780346820809248,0.010526315789473684,0.007751937984496124
Jackson,0.016055045871559634,0.006535947712418301,0.012474012474012475
Jasper,0.0,0.01,0.010309278350515464
Jefferson,0.011135857461024499,0.01805869074492099,0.006896551724137931
Jersey,0.0,0.008438818565400843,0.007633587786259542
Jo Daviess,0.01276595744680851,0.013333333333333334,0.00423728813559322
Johnson,0.031496062992125984,0.008403361344537815,0.008130081300813009
Kane,,,
Kankakee,,0.010298661174047374,
Kendall,0.00904977375565611,0.012684989429175475,0.01652892561983471
Knox,0.0,0.014265335235378032,0.0061823802163833074
LaSalle,,,
Lake,,,
Lawrence,0.008658008658008658,0.01,0.004524886877828055
Lee,0.013262599469496022,0.015772870662460567,0.011019283746556474
Livingston,0.0025380710659898475,0.009615384615384616,0.011933174224343675
Logan,0.006329113924050633,0.006097560975609756,0.0035460992907801418
Macon,,,
Macoupin,0.012195121951219513,0.007736943907156673,0.007312614259597806
Madison,,,
Marion,0.004024144869215292,0.005545286506469501,0.009191176470588236
Marshall,0.006802721088435374,0.017341040462427744,0.01910828025477707
Mason,0.01675977653631285,0.009950248756218905,0.02
Massac,0.005291005291005291,0.004651162790697674,0.0
McDonough,0.010101010101010102,0.003389830508474576,0.01020408163265306
McHenry,,,
McLean,,,
Menard,0.015151515151515152,0.0,0.009345794392523364
Mercer,0.0,0.012738853503184714,0.018404907975460124
Monroe,0.0038314176245210726,0.003952569169960474,0.0035587188612099642
Montgomery,0.016,0.011396011396011397,0.009036144578313253
Morgan,0.011142061281337047,0.0029585798816568047,0.01715686274509804
Moultrie,0.006289308176100629,0.0,0.0
Ogle,0.00663716814159292,0.008492569002123142,0.004434589800443459
Peoria,,,
Perry,0.008849557522123894,0.012,0.017316017316017316
Piatt,0.012422360248447204,0.006993006993006993,0.0
Pike,0.005,0.02,0.0228310502283105
Pope,0.0,0.0,0.03278688524590164
Pulaski,0.0,0.0,0.022988505747126436
Putnam,0.031746031746031744,0.0625,0.0
Randolph,0.0076726342710997444,0.005970149253731343,0.007731958762886598
Richland,0.011049723756906077,0.005076142131979695,0.011111111111111112
Rock Island,,,
Saline,0.020895522388059702,0.013297872340425532,0.0
Sangamon,,,
Schuyler,0.011764705882352941,0.0,0.010309278350515464
Scott,0.0,0.0,0.031746031746031744
Shelby,0.008064516129032258,0.00851063829787234,0.017316017316017316
St. Clair,,,
Stark,0.0,0.012048192771084338,0.0
Stephenson,0.011299435028248588,0.009671179883945842,0.00992063492063492
Suburban Cook,,,
Tazewell,,,
Union,0.0045662100456621,0.0,0.02252252252252252
Vermilion,0.015350877192982455,0.014099783080260303,0.007128309572301426
Wabash,0.0390625,0.01875,0.006535947712418301
Warren,0.0,0.011976047904191617,0.0
Washington,0.007407407407407408,0.006944444444444444,0.0
Wayne,0.0,0.010256410256410256,0.0
White,0.0,0.012552301255230125,0.0
Whiteside,0.006493506493506494,0.0064516129032258064,0.007587253414264037
Will,,,
Williamson,0.009333333333333334,0.010825439783491205,0.011734028683181226
Winnebago,,,
Woodford,0.008108108108108109,0.002857142857142857,0.0
