Resident County,2009,2010,2011
Adams,0.04949238578680203,0.07350901525658807,0.0638036809815951
Alexander,0.036036036036036036,0.06593406593406594,0.06666666666666667
Bond,0.05952380952380952,0.07734806629834254,0.06779661016949153
Boone,0.06645569620253164,0.055384615384615386,0.08241758241758242
Brown,0.1016949152542373,0.14492753623188406,0.06521739130434782
Bureau,0.058823529411764705,0.060209424083769635,0.08244680851063829
Calhoun,0.06666666666666667,0.12244897959183673,0.07547169811320754
Carroll,0.03314917127071823,0.105,0.055248618784530384
Cass,0.02027027027027027,0.06474820143884892,0.1056338028169014
Champaign,,,
Chicago,,,
Christian,0.05958549222797927,0.061124694376528114,0.06435643564356436
Clark,0.09345794392523364,0.0784313725490196,0.06060606060606061
Clay,0.045454545454545456,0.06285714285714286,0.09090909090909091
Clinton,0.0659025787965616,0.05084745762711865,0.02821316614420063
Coles,0.054945054945054944,0.07707129094412331,0.06564551422319474
Cook,,,
Crawford,0.08333333333333333,0.04932735426008968,0.056074766355140186
Cumberland,0.02608695652173913,0.11206896551724138,0.03076923076923077
DeKalb,0.042709867452135494,0.055891238670694864,0.05997001499250375
DeWitt,0.04054054054054054,0.12269938650306748,0.05732484076433121
Douglas,0.05714285714285714,0.05649717514124294,0.07446808510638298
DuPage,,,
Edgar,0.05194805194805195,0.08264462809917356,0.078125
Edwards,0.04054054054054054,0.06593406593406594,0.05970149253731343
Effingham,0.07467532467532467,0.07228915662650602,0.06158357771260997
Fayette,0.07317073170731707,0.0430622009569378,0.09523809523809523
Ford,0.04639175257731959,0.04040404040404041,0.05025125628140704
Franklin,0.05,0.09140767824497258,0.07536764705882353
Fulton,0.05106382978723404,0.041189931350114416,0.09090909090909091
Gallatin,0.047058823529411764,0.0449438202247191,0.060240963855421686
Greene,0.04142011834319527,0.04054054054054054,0.06164383561643835
Grundy,0.045454545454545456,0.036011080332409975,0.06796116504854369
Hamilton,0.05454545454545454,0.017391304347826087,0.043859649122807015
Hancock,0.03,0.06818181818181818,0.08900523560209424
Hardin,0.0847457627118644,0.0967741935483871,0.09259259259259259
Henderson,0.02666666666666667,0.09333333333333334,0.08860759493670886
Henry,0.06476190476190476,0.054673721340388004,0.07378640776699029
ILLINOIS,,,
Iroquois,0.06936416184971098,0.042105263157894736,0.06976744186046512
Jackson,0.06192660550458716,0.06318082788671024,0.04781704781704782
Jasper,0.06521739130434782,0.05,0.030927835051546393
Jefferson,0.0378619153674833,0.05869074492099323,0.052873563218390804
Jersey,0.04568527918781726,0.06751054852320675,0.04198473282442748
Jo Daviess,0.09361702127659574,0.05333333333333334,0.0635593220338983
Johnson,0.08661417322834646,0.04201680672268908,0.04065040650406504
Kane,,,
Kankakee,,0.057672502574665295,
Kendall,0.04072398190045249,0.048625792811839326,0.049586776859504134
Knox,0.055,0.0912981455064194,0.07727975270479134
LaSalle,,,
Lake,,,
Lawrence,0.06926406926406926,0.095,0.06787330316742081
Lee,0.03713527851458886,0.0694006309148265,0.06611570247933884
Livingston,0.04060913705583756,0.0625,0.057279236276849645
Logan,0.06329113924050633,0.021341463414634148,0.06028368794326241
Macon,,,
Macoupin,0.05400696864111498,0.07930367504835589,0.05850091407678245
Madison,,,
Marion,0.056338028169014086,0.051756007393715345,0.06801470588235294
Marshall,0.07482993197278912,0.057803468208092484,0.05732484076433121
Mason,0.0670391061452514,0.07462686567164178,0.09
Massac,0.06349206349206349,0.06976744186046512,0.11627906976744186
McDonough,0.09427609427609428,0.05423728813559322,0.05782312925170068
McHenry,,,
McLean,,,
Menard,0.05303030303030303,0.024793388429752067,0.11214953271028037
Mercer,0.04046242774566474,0.03821656050955414,0.03067484662576687
Monroe,0.08045977011494253,0.04743083003952569,0.03558718861209965
Montgomery,0.064,0.06552706552706553,0.04216867469879518
Morgan,0.0584958217270195,0.09467455621301775,0.05392156862745098
Moultrie,0.05660377358490566,0.06310679611650485,0.05181347150259067
Ogle,0.06858407079646017,0.050955414012738856,0.06651884700665188
Peoria,,,
Perry,0.05309734513274336,0.1,0.06926406926406926
Piatt,0.07453416149068323,0.04895104895104895,0.03468208092485549
Pike,0.035,0.07,0.1004566210045662
Pope,0.0967741935483871,0.08620689655172414,0.04918032786885246
Pulaski,0.11428571428571428,0.046511627906976744,0.12643678160919541
Putnam,0.06349206349206349,0.020833333333333332,0.0
Randolph,0.03580562659846547,0.08059701492537313,0.07474226804123711
Richland,0.03314917127071823,0.03553299492385787,0.06666666666666667
Rock Island,,,
Saline,0.05970149253731343,0.06648936170212766,0.07339449541284404
Sangamon,,,
Schuyler,0.07058823529411765,0.05194805194805195,0.09278350515463918
Scott,0.1,0.13333333333333333,0.06349206349206349
Shelby,0.0967741935483871,0.0851063829787234,0.030303030303030304
St. Clair,,,
Stark,0.023809523809523808,0.04819277108433735,0.04938271604938271
Stephenson,0.07721280602636535,0.06382978723404255,0.06746031746031746
Suburban Cook,,,
Tazewell,,,
Union,0.0502283105022831,0.050761421319796954,0.07207207207207207
Vermilion,0.05921052631578947,0.10412147505422993,0.0855397148676171
Wabash,0.03125,0.08125,0.08496732026143791
Warren,0.1111111111111111,0.0718562874251497,0.06701030927835051
Washington,0.08148148148148149,0.06944444444444445,0.05263157894736842
Wayne,0.06310679611650485,0.041025641025641026,0.08823529411764706
White,0.045871559633027525,0.0794979079497908,0.07853403141361257
Whiteside,0.05519480519480519,0.07096774193548387,0.07890743550834597
Will,,,
Williamson,0.050666666666666665,0.06224627875507442,0.0469361147327249
Winnebago,,,
Woodford,0.051351351351351354,0.06,0.043478260869565216
