Resident County,2009,2010,2011
Adams,0.02030456852791878,0.020804438280166437,0.025766871165644172
Alexander,0.06306306306306306,0.03296703296703297,0.0380952380952381
Bond,0.02976190476190476,0.022099447513812154,0.022598870056497175
Boone,0.00949367088607595,0.021538461538461538,0.03021978021978022
Brown,0.01694915254237288,0.014492753623188406,0.021739130434782608
Bureau,0.03361344537815126,0.007853403141361256,0.018617021276595744
Calhoun,0.03333333333333333,0.0,0.018867924528301886
Carroll,0.016574585635359115,0.02,0.04419889502762431
Cass,0.02027027027027027,0.04316546762589928,0.0
Champaign,,,
Chicago,,,
Christian,0.02849740932642487,0.022004889975550123,0.022277227722772276
Clark,0.02336448598130841,0.03431372549019608,0.020202020202020204
Clay,0.04040404040404041,0.017142857142857144,0.005681818181818182
Clinton,0.02005730659025788,0.003389830508474576,0.009404388714733543
Coles,0.02197802197802198,0.019267822736030827,0.030634573304157548
Cook,,,
Crawford,0.01984126984126984,0.013452914798206279,0.02336448598130841
Cumberland,0.008695652173913044,0.02586206896551724,0.023076923076923078
DeKalb,0.026509572901325478,0.03323262839879154,0.020989505247376312
DeWitt,0.036036036036036036,0.018404907975460124,0.03184713375796178
Douglas,0.04,0.022598870056497175,0.005319148936170213
DuPage,,,
Edgar,0.025974025974025976,0.008264462809917356,0.026041666666666668
Edwards,0.02702702702702703,0.0,0.0
Effingham,0.016233766233766232,0.0391566265060241,0.03812316715542522
Fayette,0.02926829268292683,0.028708133971291867,0.0380952380952381
Ford,0.030927835051546393,0.010101010101010102,0.01507537688442211
Franklin,0.03653846153846154,0.05301645338208409,0.051470588235294115
Fulton,0.010638297872340425,0.020594965675057208,0.012987012987012988
Gallatin,0.03529411764705882,0.02247191011235955,0.0
Greene,0.029585798816568046,0.0472972972972973,0.0410958904109589
Grundy,0.0213903743315508,0.038781163434903045,0.03155339805825243
Hamilton,0.05454545454545454,0.008695652173913044,0.02631578947368421
Hancock,0.035,0.017045454545454544,0.005235602094240838
Hardin,0.03389830508474576,0.016129032258064516,0.0
Henderson,0.0,0.013333333333333334,0.06329113924050633
Henry,0.022857142857142857,0.012345679012345678,0.027184466019417475
ILLINOIS,,,
Iroquois,0.02023121387283237,0.042105263157894736,0.041343669250646
Jackson,0.0389908256880734,0.034858387799564274,0.018711018711018712
Jasper,0.021739130434782608,0.0,0.020618556701030927
Jefferson,0.022271714922048998,0.01580135440180587,0.020689655172413793
Jersey,0.02030456852791878,0.04219409282700422,0.0648854961832061
Jo Daviess,0.029787234042553193,0.0,0.00847457627118644
Johnson,0.007874015748031496,0.008403361344537815,0.0
Kane,,,
Kankakee,,0.02059732234809475,
Kendall,0.04072398190045249,0.02536997885835095,0.022727272727272728
Knox,0.008333333333333333,0.024251069900142655,0.03554868624420402
LaSalle,,,
Lake,,,
Lawrence,0.025974025974025976,0.035,0.05429864253393665
Lee,0.015915119363395226,0.00946372239747634,0.011019283746556474
Livingston,0.03553299492385787,0.03365384615384615,0.02386634844868735
Logan,0.0189873417721519,0.018292682926829267,0.0070921985815602835
Macon,,,
Macoupin,0.02613240418118467,0.015473887814313346,0.029250457038391225
Madison,,,
Marion,0.030181086519114688,0.03512014787430684,0.027573529411764705
Marshall,0.013605442176870748,0.005780346820809248,0.01910828025477707
Mason,0.0111731843575419,0.01990049751243781,0.02
Massac,0.031746031746031744,0.027906976744186046,0.027906976744186046
McDonough,0.010101010101010102,0.020338983050847456,0.023809523809523808
McHenry,,,
McLean,,,
Menard,0.007575757575757576,0.024793388429752067,0.028037383177570093
Mercer,0.03468208092485549,0.03184713375796178,0.024539877300613498
Monroe,0.011494252873563218,0.007905138339920948,0.017793594306049824
Montgomery,0.032,0.03133903133903134,0.03313253012048193
Morgan,0.005571030640668524,0.020710059171597635,0.014705882352941176
Moultrie,0.050314465408805034,0.06796116504854369,0.031088082901554404
Ogle,0.022123893805309734,0.016985138004246284,0.015521064301552107
Peoria,,,
Perry,0.048672566371681415,0.028,0.047619047619047616
Piatt,0.018633540372670808,0.03496503496503497,0.05202312138728324
Pike,0.03,0.04,0.0547945205479452
Pope,0.0967741935483871,0.034482758620689655,0.03278688524590164
Pulaski,0.014285714285714285,0.011627906976744186,0.022988505747126436
Putnam,0.015873015873015872,0.041666666666666664,0.058823529411764705
Randolph,0.04092071611253197,0.029850746268656716,0.028350515463917526
Richland,0.022099447513812154,0.01015228426395939,0.022222222222222223
Rock Island,,,
Saline,0.041791044776119404,0.018617021276595744,0.045871559633027525
Sangamon,,,
Schuyler,0.03529411764705882,0.0,0.061855670103092786
Scott,0.02,0.016666666666666666,0.0
Shelby,0.008064516129032258,0.01276595744680851,0.025974025974025976
St. Clair,,,
Stark,0.0,0.012048192771084338,0.04938271604938271
Stephenson,0.01694915254237288,0.02127659574468085,0.02976190476190476
Suburban Cook,,,
Tazewell,,,
Union,0.0365296803652968,0.030456852791878174,0.03153153153153153
Vermilion,0.02412280701754386,0.01735357917570499,0.015274949083503055
Wabash,0.0625,0.00625,0.013071895424836602
Warren,0.005291005291005291,0.04790419161676647,0.020618556701030927
Washington,0.044444444444444446,0.027777777777777776,0.019736842105263157
Wayne,0.03398058252427184,0.02564102564102564,0.004901960784313725
White,0.013761467889908258,0.02510460251046025,0.010471204188481676
Whiteside,0.01948051948051948,0.024193548387096774,0.021244309559939303
Will,,,
Williamson,0.044,0.012178619756427604,0.01955671447196871
Winnebago,,,
Woodford,0.021621621621621623,0.02,0.020289855072463767
