Resident County,2009,2010,2011
Adams,0.25,0.21220527045769763,0.2441717791411043
Alexander,0.34234234234234234,0.3076923076923077,0.2761904761904762
Bond,0.25595238095238093,0.287292817679558,0.1977401129943503
Boone,0.25316455696202533,0.21846153846153846,0.22802197802197802
Brown,0.2542372881355932,0.2028985507246377,0.2391304347826087
Bureau,0.2605042016806723,0.25654450261780104,0.25
Calhoun,0.36666666666666664,0.2857142857142857,0.37735849056603776
Carroll,0.2541436464088398,0.23,0.2265193370165746
Cass,0.36486486486486486,0.2446043165467626,0.23943661971830985
Champaign,,,
Chicago,,,
Christian,0.24611398963730569,0.2713936430317848,0.20544554455445543
Clark,0.2336448598130841,0.27450980392156865,0.19696969696969696
Clay,0.2474747474747475,0.17714285714285713,0.1875
Clinton,0.25787965616045844,0.21694915254237288,0.30407523510971785
Coles,0.26153846153846155,0.2543352601156069,0.29540481400437635
Cook,,,
Crawford,0.25396825396825395,0.26905829596412556,0.22897196261682243
Cumberland,0.23478260869565218,0.25862068965517243,0.2
DeKalb,0.23122238586156113,0.243202416918429,0.2143928035982009
DeWitt,0.21171171171171171,0.22699386503067484,0.25477707006369427
Douglas,0.2571428571428571,0.2598870056497175,0.2872340425531915
DuPage,,,
Edgar,0.3203463203463203,0.30578512396694213,0.296875
Edwards,0.2972972972972973,0.1978021978021978,0.3283582089552239
Effingham,0.24675324675324675,0.21686746987951808,0.20234604105571846
Fayette,0.21951219512195122,0.19617224880382775,0.19523809523809524
Ford,0.21649484536082475,0.24242424242424243,0.20603015075376885
Franklin,0.17307692307692307,0.17915904936014626,0.15992647058823528
Fulton,0.24468085106382978,0.2540045766590389,0.1774891774891775
Gallatin,0.3058823529411765,0.34831460674157305,0.1927710843373494
Greene,0.22485207100591717,0.2635135135135135,0.2671232876712329
Grundy,0.2727272727272727,0.21606648199445982,0.25970873786407767
Hamilton,0.41818181818181815,0.3652173913043478,0.34210526315789475
Hancock,0.295,0.2840909090909091,0.24083769633507854
Hardin,0.1864406779661017,0.20967741935483872,0.2777777777777778
Henderson,0.3333333333333333,0.30666666666666664,0.21518987341772153
Henry,0.2571428571428571,0.24162257495590828,0.21165048543689322
ILLINOIS,,,
Iroquois,0.2774566473988439,0.2657894736842105,0.25064599483204136
Jackson,0.21788990825688073,0.23529411764705882,0.22661122661122662
Jasper,0.32608695652173914,0.25,0.29896907216494845
Jefferson,0.21380846325167038,0.1963882618510158,0.21839080459770116
Jersey,0.3096446700507614,0.28270042194092826,0.2786259541984733
Jo Daviess,0.251063829787234,0.24,0.19491525423728814
Johnson,0.1968503937007874,0.12605042016806722,0.17073170731707318
Kane,,,
Kankakee,,0.26570545829042225,
Kendall,0.2149321266968326,0.20718816067653276,0.21487603305785125
Knox,0.30333333333333334,0.24393723252496433,0.23647604327666152
LaSalle,,,
Lake,,,
Lawrence,0.23809523809523808,0.15,0.167420814479638
Lee,0.22811671087533156,0.2744479495268139,0.22589531680440772
Livingston,0.29441624365482233,0.3125,0.2863961813842482
Logan,0.1930379746835443,0.20426829268292682,0.2198581560283688
Macon,,,
Macoupin,0.23867595818815332,0.27079303675048355,0.28153564899451555
Madison,,,
Marion,0.2857142857142857,0.25693160813308685,0.25183823529411764
Marshall,0.2789115646258503,0.3063583815028902,0.27388535031847133
Mason,0.2569832402234637,0.1791044776119403,0.225
Massac,0.2751322751322751,0.25116279069767444,0.24651162790697675
McDonough,0.29292929292929293,0.30847457627118646,0.2653061224489796
McHenry,,,
McLean,,,
Menard,0.26515151515151514,0.3140495867768595,0.1588785046728972
Mercer,0.31213872832369943,0.2802547770700637,0.3558282208588957
Monroe,0.2413793103448276,0.20553359683794467,0.2313167259786477
Montgomery,0.232,0.24216524216524216,0.1927710843373494
Morgan,0.25069637883008355,0.27218934911242604,0.27941176470588236
Moultrie,0.22012578616352202,0.28640776699029125,0.25906735751295334
Ogle,0.2831858407079646,0.23354564755838642,0.2394678492239468
Peoria,,,
Perry,0.27876106194690264,0.236,0.19913419913419914
Piatt,0.2608695652173913,0.25874125874125875,0.2658959537572254
Pike,0.195,0.17,0.1735159817351598
Pope,0.2903225806451613,0.20689655172413793,0.2459016393442623
Pulaski,0.34285714285714286,0.26744186046511625,0.19540229885057472
Putnam,0.19047619047619047,0.20833333333333334,0.13725490196078433
Randolph,0.25831202046035806,0.22686567164179106,0.22164948453608246
Richland,0.287292817679558,0.27411167512690354,0.21666666666666667
Rock Island,,,
Saline,0.22686567164179106,0.2553191489361702,0.20795107033639143
Sangamon,,,
Schuyler,0.29411764705882354,0.35064935064935066,0.2268041237113402
Scott,0.24,0.21666666666666667,0.2698412698412698
Shelby,0.2620967741935484,0.31063829787234043,0.3116883116883117
St. Clair,,,
Stark,0.2976190476190476,0.1927710843373494,0.19753086419753085
Stephenson,0.20903954802259886,0.2205029013539652,0.19047619047619047
Suburban Cook,,,
Tazewell,,,
Union,0.1917808219178082,0.2182741116751269,0.23873873873873874
Vermilion,0.23355263157894737,0.2635574837310195,0.28716904276985744
Wabash,0.21875,0.2875,0.2222222222222222
Warren,0.24338624338624337,0.2874251497005988,0.25257731958762886
Washington,0.24444444444444444,0.25,0.24342105263157895
Wayne,0.2766990291262136,0.20512820512820512,0.20588235294117646
White,0.26146788990825687,0.24267782426778242,0.2513089005235602
Whiteside,0.27435064935064934,0.29516129032258065,0.23672230652503792
Will,,,
Williamson,0.23066666666666666,0.21380243572395127,0.23076923076923078
Winnebago,,,
Woodford,0.21081081081081082,0.24285714285714285,0.21159420289855072
