Resident County,2009,2010,2011
Adams,0.031725888324873094,0.036061026352288486,0.0392638036809816
Alexander,0.02702702702702703,0.0,0.01904761904761905
Bond,0.05952380952380952,0.022099447513812154,0.04519774011299435
Boone,0.012658227848101266,0.021538461538461538,0.016483516483516484
Brown,0.0,0.014492753623188406,0.0
Bureau,0.04201680672268908,0.03664921465968586,0.031914893617021274
Calhoun,0.0,0.0,0.03773584905660377
Carroll,0.0055248618784530384,0.02,0.016574585635359115
Cass,0.04054054054054054,0.02877697841726619,0.028169014084507043
Champaign,,,
Chicago,,,
Christian,0.031088082901554404,0.022004889975550123,0.034653465346534656
Clark,0.018691588785046728,0.03431372549019608,0.025252525252525252
Clay,0.025252525252525252,0.02857142857142857,0.05113636363636364
Clinton,0.022922636103151862,0.020338983050847456,0.009404388714733543
Coles,0.03296703296703297,0.015414258188824663,0.028446389496717725
Cook,,,
Crawford,0.03968253968253968,0.017937219730941704,0.04205607476635514
Cumberland,0.017391304347826087,0.0,0.015384615384615385
DeKalb,0.008836524300441826,0.021148036253776436,0.020989505247376312
DeWitt,0.013513513513513514,0.012269938650306749,0.01910828025477707
Douglas,0.04,0.03389830508474576,0.031914893617021274
DuPage,,,
Edgar,0.017316017316017316,0.01652892561983471,0.015625
Edwards,0.0,0.03296703296703297,0.014925373134328358
Effingham,0.02922077922077922,0.02710843373493976,0.011730205278592375
Fayette,0.05365853658536585,0.04784688995215311,0.03333333333333333
Ford,0.02577319587628866,0.015151515151515152,0.035175879396984924
Franklin,0.019230769230769232,0.025594149908592323,0.02389705882352941
Fulton,0.02553191489361702,0.009153318077803204,0.030303030303030304
Gallatin,0.023529411764705882,0.02247191011235955,0.060240963855421686
Greene,0.029585798816568046,0.02027027027027027,0.0136986301369863
Grundy,0.016042780748663103,0.013850415512465374,0.021844660194174758
Hamilton,0.0,0.008695652173913044,0.017543859649122806
Hancock,0.02,0.017045454545454544,0.031413612565445025
Hardin,0.01694915254237288,0.016129032258064516,0.037037037037037035
Henderson,0.02666666666666667,0.013333333333333334,0.05063291139240506
Henry,0.017142857142857144,0.010582010582010581,0.02912621359223301
ILLINOIS,,,
Iroquois,0.02601156069364162,0.007894736842105263,0.015503875968992248
Jackson,0.013761467889908258,0.017429193899782137,0.02702702702702703
Jasper,0.06521739130434782,0.07,0.041237113402061855
Jefferson,0.111358574610245,0.09480812641083522,0.04597701149425287
Jersey,0.005076142131979695,0.02109704641350211,0.007633587786259542
Jo Daviess,0.01702127659574468,0.02666666666666667,0.03389830508474576
Johnson,0.031496062992125984,0.01680672268907563,0.024390243902439025
Kane,,,
Kankakee,,0.026776519052523172,
Kendall,0.02262443438914027,0.016913319238900635,0.014462809917355372
Knox,0.025,0.039942938659058486,0.04945904173106646
LaSalle,,,
Lake,,,
Lawrence,0.017316017316017316,0.03,0.03619909502262444
Lee,0.015915119363395226,0.00946372239747634,0.01928374655647383
Livingston,0.017766497461928935,0.026442307692307692,0.014319809069212411
Logan,0.022151898734177215,0.018292682926829267,0.031914893617021274
Macon,,,
Macoupin,0.02613240418118467,0.030947775628626693,0.027422303473491772
Madison,,,
Marion,0.026156941649899398,0.036968576709796676,0.025735294117647058
Marshall,0.0,0.0,0.012738853503184714
Mason,0.01675977653631285,0.01990049751243781,0.025
Massac,0.010582010582010581,0.009302325581395349,0.027906976744186046
McDonough,0.03367003367003367,0.04067796610169491,0.027210884353741496
McHenry,,,
McLean,,,
Menard,0.05303030303030303,0.03305785123966942,0.018691588785046728
Mercer,0.03468208092485549,0.006369426751592357,0.024539877300613498
Monroe,0.007662835249042145,0.03162055335968379,0.014234875444839857
Montgomery,0.042666666666666665,0.042735042735042736,0.03614457831325301
Morgan,0.036211699164345405,0.05029585798816568,0.02696078431372549
Moultrie,0.012578616352201259,0.019417475728155338,0.046632124352331605
Ogle,0.022123893805309734,0.006369426751592357,0.0022172949002217295
Peoria,,,
Perry,0.017699115044247787,0.02,0.025974025974025976
Piatt,0.024844720496894408,0.027972027972027972,0.011560693641618497
Pike,0.015,0.03,0.0410958904109589
Pope,0.0,0.017241379310344827,0.01639344262295082
Pulaski,0.07142857142857142,0.0,0.022988505747126436
Putnam,0.0,0.0,0.0196078431372549
Randolph,0.02557544757033248,0.023880597014925373,0.020618556701030927
Richland,0.022099447513812154,0.025380710659898477,0.022222222222222223
Rock Island,,,
Saline,0.029850746268656716,0.02127659574468085,0.01834862385321101
Sangamon,,,
Schuyler,0.047058823529411764,0.025974025974025976,0.0
Scott,0.04,0.1,0.031746031746031744
Shelby,0.028225806451612902,0.029787234042553193,0.012987012987012988
St. Clair,,,
Stark,0.03571428571428571,0.024096385542168676,0.012345679012345678
Stephenson,0.032015065913371,0.02127659574468085,0.021825396825396824
Suburban Cook,,,
Tazewell,,,
Union,0.0410958904109589,0.03553299492385787,0.03153153153153153
Vermilion,0.019736842105263157,0.015184381778741865,0.017311608961303463
Wabash,0.015625,0.025,0.026143790849673203
Warren,0.026455026455026454,0.023952095808383235,0.020618556701030927
Washington,0.014814814814814815,0.027777777777777776,0.013157894736842105
Wayne,0.019417475728155338,0.035897435897435895,0.024509803921568627
White,0.01834862385321101,0.03765690376569038,0.041884816753926704
Whiteside,0.012987012987012988,0.020967741935483872,0.018209408194233688
Will,,,
Williamson,0.04133333333333333,0.02571041948579161,0.03650586701434159
Winnebago,,,
Woodford,0.032432432432432434,0.02,0.028985507246376812
