Resident County,2009,2010,2011
Adams,0.012690355329949238,0.008321775312066574,0.0098159509202454
Alexander,0.009009009009009009,0.01098901098901099,0.009523809523809525
Bond,0.0,0.016574585635359115,0.01694915254237288
Boone,0.022151898734177215,0.009230769230769232,0.005494505494505495
Brown,0.01694915254237288,0.014492753623188406,0.0
Bureau,0.011204481792717087,0.02356020942408377,0.007978723404255319
Calhoun,0.0,0.04081632653061224,0.0
Carroll,0.0,0.015,0.027624309392265192
Cass,0.0,0.007194244604316547,0.0
Champaign,,,
Chicago,,,
Christian,0.010362694300518135,0.007334963325183374,0.012376237623762377
Clark,0.004672897196261682,0.00980392156862745,0.025252525252525252
Clay,0.010101010101010102,0.011428571428571429,0.011363636363636364
Clinton,0.014326647564469915,0.010169491525423728,0.012539184952978056
Coles,0.015384615384615385,0.011560693641618497,0.00437636761487965
Cook,,,
Crawford,0.011904761904761904,0.013452914798206279,0.004672897196261682
Cumberland,0.008695652173913044,0.0,0.023076923076923078
DeKalb,0.017673048600883652,0.0030211480362537764,0.0074962518740629685
DeWitt,0.009009009009009009,0.0,0.0
Douglas,0.0,0.005649717514124294,0.010638297872340425
DuPage,,,
Edgar,0.008658008658008658,0.01652892561983471,0.005208333333333333
Edwards,0.0,0.03296703296703297,0.0
Effingham,0.0,0.0,0.0
Fayette,0.00975609756097561,0.023923444976076555,0.01904761904761905
Ford,0.015463917525773196,0.010101010101010102,0.010050251256281407
Franklin,0.0038461538461538464,0.010968921389396709,0.02022058823529412
Fulton,0.006382978723404255,0.009153318077803204,0.015151515151515152
Gallatin,0.023529411764705882,0.02247191011235955,0.024096385542168676
Greene,0.01775147928994083,0.006756756756756757,0.00684931506849315
Grundy,0.0106951871657754,0.013850415512465374,0.024271844660194174
Hamilton,0.00909090909090909,0.008695652173913044,0.008771929824561403
Hancock,0.005,0.0,0.015706806282722512
Hardin,0.0,0.03225806451612903,0.0
Henderson,0.04,0.013333333333333334,0.0
Henry,0.017142857142857144,0.015873015873015872,0.015533980582524271
ILLINOIS,,,
Iroquois,0.008670520231213872,0.013157894736842105,0.00516795865633075
Jackson,0.011467889908256881,0.006535947712418301,0.02079002079002079
Jasper,0.010869565217391304,0.02,0.020618556701030927
Jefferson,0.004454342984409799,0.013544018058690745,0.016091954022988506
Jersey,0.0,0.008438818565400843,0.011450381679389313
Jo Daviess,0.00425531914893617,0.008888888888888889,0.0211864406779661
Johnson,0.015748031496062992,0.008403361344537815,0.016260162601626018
Kane,,,
Kankakee,,0.008238928939237899,
Kendall,0.029411764705882353,0.016913319238900635,0.02066115702479339
Knox,0.013333333333333334,0.011412268188302425,0.0077279752704791345
LaSalle,,,
Lake,,,
Lawrence,0.004329004329004329,0.03,0.0
Lee,0.01856763925729443,0.012618296529968454,0.013774104683195593
Livingston,0.01015228426395939,0.007211538461538462,0.002386634844868735
Logan,0.0031645569620253164,0.006097560975609756,0.01773049645390071
Macon,,,
Macoupin,0.013937282229965157,0.005802707930367505,0.007312614259597806
Madison,,,
Marion,0.006036217303822937,0.0166358595194085,0.02022058823529412
Marshall,0.013605442176870748,0.011560693641618497,0.006369426751592357
Mason,0.01675977653631285,0.009950248756218905,0.01
Massac,0.021164021164021163,0.013953488372093023,0.023255813953488372
McDonough,0.013468013468013467,0.013559322033898305,0.0
McHenry,,,
McLean,,,
Menard,0.0,0.01652892561983471,0.0
Mercer,0.011560693641618497,0.012738853503184714,0.0
Monroe,0.011494252873563218,0.003952569169960474,0.0071174377224199285
Montgomery,0.010666666666666666,0.008547008547008548,0.009036144578313253
Morgan,0.019498607242339833,0.0,0.012254901960784314
Moultrie,0.012578616352201259,0.0048543689320388345,0.0051813471502590676
Ogle,0.011061946902654867,0.012738853503184714,0.019955654101995565
Peoria,,,
Perry,0.008849557522123894,0.016,0.017316017316017316
Piatt,0.006211180124223602,0.006993006993006993,0.03468208092485549
Pike,0.015,0.0,0.0091324200913242
Pope,0.12903225806451613,0.0,0.01639344262295082
Pulaski,0.014285714285714285,0.0,0.034482758620689655
Putnam,0.0,0.020833333333333332,0.0
Randolph,0.01278772378516624,0.011940298507462687,0.01288659793814433
Richland,0.03314917127071823,0.005076142131979695,0.0
Rock Island,,,
Saline,0.011940298507462687,0.013297872340425532,0.01529051987767584
Sangamon,,,
Schuyler,0.023529411764705882,0.012987012987012988,0.0
Scott,0.0,0.016666666666666666,0.0
Shelby,0.008064516129032258,0.00851063829787234,0.008658008658008658
St. Clair,,,
Stark,0.0,0.0,0.024691358024691357
Stephenson,0.007532956685499058,0.009671179883945842,0.003968253968253968
Suburban Cook,,,
Tazewell,,,
Union,0.0045662100456621,0.01015228426395939,0.0045045045045045045
Vermilion,0.010964912280701754,0.007592190889370932,0.013238289205702648
Wabash,0.0234375,0.0,0.013071895424836602
Warren,0.026455026455026454,0.005988023952095809,0.010309278350515464
Washington,0.014814814814814815,0.013888888888888888,0.006578947368421052
Wayne,0.019417475728155338,0.005128205128205128,0.029411764705882353
White,0.009174311926605505,0.02510460251046025,0.0
Whiteside,0.00974025974025974,0.004838709677419355,0.006069802731411229
Will,,,
Williamson,0.016,0.009472259810554804,0.010430247718383311
Winnebago,,,
Woodford,0.01891891891891892,0.005714285714285714,0.017391304347826087
