Resident County,2009,2010,2011
Adams,0.0266497461928934,0.033287101248266296,0.0196319018404908
Alexander,0.05405405405405406,0.02197802197802198,0.02857142857142857
Bond,0.02976190476190476,0.022099447513812154,0.02824858757062147
Boone,0.04746835443037975,0.033846153846153845,0.008241758241758242
Brown,0.05084745762711865,0.014492753623188406,0.0
Bureau,0.014005602240896359,0.02617801047120419,0.026595744680851064
Calhoun,0.016666666666666666,0.04081632653061224,0.0
Carroll,0.027624309392265192,0.01,0.011049723756906077
Cass,0.013513513513513514,0.0,0.028169014084507043
Champaign,,,
Chicago,,,
Christian,0.02072538860103627,0.029339853300733496,0.027227722772277228
Clark,0.02336448598130841,0.024509803921568627,0.010101010101010102
Clay,0.03535353535353535,0.005714285714285714,0.022727272727272728
Clinton,0.02865329512893983,0.0576271186440678,0.018808777429467086
Coles,0.03956043956043956,0.019267822736030827,0.028446389496717725
Cook,,,
Crawford,0.031746031746031744,0.04932735426008968,0.028037383177570093
Cumberland,0.06956521739130435,0.008620689655172414,0.007692307692307693
DeKalb,0.022091310751104567,0.0256797583081571,0.025487256371814093
DeWitt,0.04504504504504504,0.03067484662576687,0.012738853503184714
Douglas,0.017142857142857144,0.005649717514124294,0.015957446808510637
DuPage,,,
Edgar,0.012987012987012988,0.03305785123966942,0.015625
Edwards,0.013513513513513514,0.01098901098901099,0.029850746268656716
Effingham,0.04220779220779221,0.02108433734939759,0.01466275659824047
Fayette,0.04390243902439024,0.009569377990430622,0.02857142857142857
Ford,0.005154639175257732,0.03535353535353535,0.02512562814070352
Franklin,0.05576923076923077,0.03656307129798903,0.03125
Fulton,0.02553191489361702,0.020594965675057208,0.025974025974025976
Gallatin,0.023529411764705882,0.0898876404494382,0.012048192771084338
Greene,0.03550295857988166,0.04054054054054054,0.0273972602739726
Grundy,0.01871657754010695,0.019390581717451522,0.014563106796116505
Hamilton,0.01818181818181818,0.043478260869565216,0.07017543859649122
Hancock,0.015,0.0,0.015706806282722512
Hardin,0.01694915254237288,0.03225806451612903,0.05555555555555555
Henderson,0.0,0.0,0.0379746835443038
Henry,0.024761904761904763,0.019400352733686066,0.021359223300970873
ILLINOIS,,,
Iroquois,0.028901734104046242,0.02894736842105263,0.020671834625323
Jackson,0.020642201834862386,0.032679738562091505,0.02702702702702703
Jasper,0.03260869565217391,0.03,0.010309278350515464
Jefferson,0.0200445434298441,0.03160270880361174,0.041379310344827586
Jersey,0.04060913705583756,0.02531645569620253,0.015267175572519083
Jo Daviess,0.00851063829787234,0.02666666666666667,0.0211864406779661
Johnson,0.015748031496062992,0.04201680672268908,0.032520325203252036
Kane,,,
Kankakee,,0.029866117404737384,
Kendall,0.01809954751131222,0.04439746300211417,0.03305785123966942
Knox,0.02,0.017118402282453638,0.013910355486862442
LaSalle,,,
Lake,,,
Lawrence,0.03463203463203463,0.03,0.027149321266968326
Lee,0.021220159151193633,0.01892744479495268,0.024793388429752067
Livingston,0.030456852791878174,0.021634615384615384,0.028639618138424822
Logan,0.03164556962025317,0.012195121951219513,0.014184397163120567
Macon,,,
Macoupin,0.027874564459930314,0.02321083172147002,0.025594149908592323
Madison,,,
Marion,0.028169014084507043,0.033271719038817,0.03676470588235294
Marshall,0.013605442176870748,0.011560693641618497,0.025477707006369428
Mason,0.0111731843575419,0.04477611940298507,0.015
Massac,0.047619047619047616,0.023255813953488372,0.009302325581395349
McDonough,0.02356902356902357,0.023728813559322035,0.006802721088435374
McHenry,,,
McLean,,,
Menard,0.015151515151515152,0.008264462809917356,0.009345794392523364
Mercer,0.028901734104046242,0.03184713375796178,0.03067484662576687
Monroe,0.022988505747126436,0.015810276679841896,0.010676156583629894
Montgomery,0.021333333333333333,0.008547008547008548,0.015060240963855422
Morgan,0.019498607242339833,0.011834319526627219,0.0196078431372549
Moultrie,0.050314465408805034,0.038834951456310676,0.015544041450777202
Ogle,0.01327433628318584,0.036093418259023353,0.028824833702882482
Peoria,,,
Perry,0.02654867256637168,0.044,0.06060606060606061
Piatt,0.018633540372670808,0.006993006993006993,0.005780346820809248
Pike,0.03,0.02,0.0182648401826484
Pope,0.03225806451612903,0.017241379310344827,0.03278688524590164
Pulaski,0.014285714285714285,0.05813953488372093,0.022988505747126436
Putnam,0.031746031746031744,0.0,0.0
Randolph,0.030690537084398978,0.03582089552238806,0.028350515463917526
Richland,0.0,0.030456852791878174,0.005555555555555556
Rock Island,,,
Saline,0.026865671641791045,0.03723404255319149,0.045871559633027525
Sangamon,,,
Schuyler,0.011764705882352941,0.012987012987012988,0.041237113402061855
Scott,0.0,0.016666666666666666,0.0
Shelby,0.03225806451612903,0.01276595744680851,0.025974025974025976
St. Clair,,,
Stark,0.023809523809523808,0.060240963855421686,0.0
Stephenson,0.026365348399246705,0.015473887814313346,0.017857142857142856
Suburban Cook,,,
Tazewell,,,
Union,0.0228310502283105,0.025380710659898477,0.036036036036036036
Vermilion,0.023026315789473683,0.0227765726681128,0.0274949083503055
Wabash,0.0234375,0.01875,0.0196078431372549
Warren,0.042328042328042326,0.017964071856287425,0.005154639175257732
Washington,0.007407407407407408,0.05555555555555555,0.05263157894736842
Wayne,0.024271844660194174,0.02564102564102564,0.0196078431372549
White,0.045871559633027525,0.008368200836820083,0.041884816753926704
Whiteside,0.02922077922077922,0.025806451612903226,0.02276176024279211
Will,,,
Williamson,0.021333333333333333,0.04330175913396482,0.035202086049543675
Winnebago,,,
Woodford,0.024324324324324326,0.02,0.014492753623188406
