Resident County,2009,2010,2011
Adams,0.021573604060913704,0.013869625520110958,0.0196319018404908
Alexander,0.018018018018018018,0.01098901098901099,0.02857142857142857
Bond,0.023809523809523808,0.016574585635359115,0.01694915254237288
Boone,0.028481012658227847,0.012307692307692308,0.01098901098901099
Brown,0.01694915254237288,0.028985507246376812,0.021739130434782608
Bureau,0.008403361344537815,0.007853403141361256,0.010638297872340425
Calhoun,0.016666666666666666,0.02040816326530612,0.018867924528301886
Carroll,0.022099447513812154,0.005,0.022099447513812154
Cass,0.033783783783783786,0.0,0.014084507042253521
Champaign,,,
Chicago,,,
Christian,0.02072538860103627,0.017114914425427872,0.024752475247524754
Clark,0.009345794392523364,0.004901960784313725,0.03535353535353535
Clay,0.015151515151515152,0.05142857142857143,0.011363636363636364
Clinton,0.02865329512893983,0.01694915254237288,0.02821316614420063
Coles,0.02197802197802198,0.01348747591522158,0.00437636761487965
Cook,,,
Crawford,0.011904761904761904,0.017937219730941704,0.014018691588785047
Cumberland,0.017391304347826087,0.0,0.007692307692307693
DeKalb,0.016200294550810016,0.010574018126888218,0.01199400299850075
DeWitt,0.0,0.006134969325153374,0.012738853503184714
Douglas,0.005714285714285714,0.011299435028248588,0.02127659574468085
DuPage,,,
Edgar,0.008658008658008658,0.02066115702479339,0.026041666666666668
Edwards,0.04054054054054054,0.03296703296703297,0.014925373134328358
Effingham,0.003246753246753247,0.012048192771084338,0.026392961876832845
Fayette,0.0,0.019138755980861243,0.004761904761904762
Ford,0.02577319587628866,0.010101010101010102,0.0
Franklin,0.028846153846153848,0.03656307129798903,0.029411764705882353
Fulton,0.02127659574468085,0.02288329519450801,0.017316017316017316
Gallatin,0.03529411764705882,0.033707865168539325,0.012048192771084338
Greene,0.01775147928994083,0.02027027027027027,0.0273972602739726
Grundy,0.008021390374331552,0.013850415512465374,0.014563106796116505
Hamilton,0.01818181818181818,0.017391304347826087,0.008771929824561403
Hancock,0.02,0.017045454545454544,0.015706806282722512
Hardin,0.0,0.016129032258064516,0.0
Henderson,0.013333333333333334,0.013333333333333334,0.02531645569620253
Henry,0.01904761904761905,0.019400352733686066,0.013592233009708738
ILLINOIS,,,
Iroquois,0.017341040462427744,0.02894736842105263,0.025839793281653745
Jackson,0.027522935779816515,0.02832244008714597,0.018711018711018712
Jasper,0.010869565217391304,0.01,0.030927835051546393
Jefferson,0.028953229398663696,0.011286681715575621,0.016091954022988506
Jersey,0.0,0.02109704641350211,0.007633587786259542
Jo Daviess,0.01702127659574468,0.008888888888888889,0.0
Johnson,0.015748031496062992,0.06722689075630252,0.016260162601626018
Kane,,,
Kankakee,,0.015447991761071062,
Kendall,0.006787330316742082,0.008456659619450317,0.012396694214876033
Knox,0.005,0.014265335235378032,0.012364760432766615
LaSalle,,,
Lake,,,
Lawrence,0.008658008658008658,0.03,0.02262443438914027
Lee,0.01856763925729443,0.015772870662460567,0.008264462809917356
Livingston,0.02030456852791878,0.026442307692307692,0.02386634844868735
Logan,0.015822784810126583,0.012195121951219513,0.03900709219858156
Macon,,,
Macoupin,0.017421602787456445,0.015473887814313346,0.014625228519195612
Madison,,,
Marion,0.014084507042253521,0.027726432532347505,0.012867647058823529
Marshall,0.034013605442176874,0.011560693641618497,0.012738853503184714
Mason,0.027932960893854747,0.014925373134328358,0.04
Massac,0.010582010582010581,0.0,0.009302325581395349
McDonough,0.013468013468013467,0.01694915254237288,0.01020408163265306
McHenry,,,
McLean,,,
Menard,0.022727272727272728,0.008264462809917356,0.018691588785046728
Mercer,0.005780346820809248,0.006369426751592357,0.006134969325153374
Monroe,0.022988505747126436,0.019762845849802372,0.014234875444839857
Montgomery,0.005333333333333333,0.02564102564102564,0.012048192771084338
Morgan,0.022284122562674095,0.0029585798816568047,0.007352941176470588
Moultrie,0.012578616352201259,0.0,0.0051813471502590676
Ogle,0.01327433628318584,0.016985138004246284,0.008869179600886918
Peoria,,,
Perry,0.035398230088495575,0.028,0.030303030303030304
Piatt,0.006211180124223602,0.013986013986013986,0.005780346820809248
Pike,0.005,0.02,0.0091324200913242
Pope,0.03225806451612903,0.0,0.01639344262295082
Pulaski,0.014285714285714285,0.011627906976744186,0.022988505747126436
Putnam,0.047619047619047616,0.0,0.0392156862745098
Randolph,0.028132992327365727,0.011940298507462687,0.015463917525773196
Richland,0.016574585635359115,0.005076142131979695,0.022222222222222223
Rock Island,,,
Saline,0.03283582089552239,0.031914893617021274,0.01529051987767584
Sangamon,,,
Schuyler,0.023529411764705882,0.0,0.010309278350515464
Scott,0.04,0.0,0.015873015873015872
Shelby,0.008064516129032258,0.01276595744680851,0.008658008658008658
St. Clair,,,
Stark,0.023809523809523808,0.012048192771084338,0.012345679012345678
Stephenson,0.022598870056497175,0.02321083172147002,0.007936507936507936
Suburban Cook,,,
Tazewell,,,
Union,0.0228310502283105,0.01015228426395939,0.018018018018018018
Vermilion,0.023026315789473683,0.015184381778741865,0.026476578411405296
Wabash,0.0234375,0.0375,0.006535947712418301
Warren,0.015873015873015872,0.017964071856287425,0.010309278350515464
Washington,0.014814814814814815,0.020833333333333332,0.03289473684210526
Wayne,0.014563106796116505,0.010256410256410256,0.00980392156862745
White,0.009174311926605505,0.02092050209205021,0.020942408376963352
Whiteside,0.00487012987012987,0.016129032258064516,0.018209408194233688
Will,,,
Williamson,0.02,0.03112313937753721,0.02607561929595828
Winnebago,,,
Woodford,0.005405405405405406,0.011428571428571429,0.014492753623188406
