County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes,COVID_19
ILLINOIS,103069,25979,24210,5765,5584,4173,3188,2839,2663,2571,1956,1188,1144,21809,
Adams,843,199,157,49,68,27,22,27,38,26,14,14,6,196,
Alexander,111,27,26,12,2,3,1,7,3,5,4,1,0,20,
Bond,156,43,36,8,9,11,9,2,8,3,1,0,1,25,
Boone,365,95,80,24,26,17,17,13,7,4,7,5,5,65,
Brown,56,18,8,4,4,2,0,1,1,0,2,0,2,14,
Bureau,397,102,95,17,22,21,18,7,10,23,2,6,5,71,
Carroll,195,49,48,16,14,10,1,4,6,9,2,1,3,32,
Cass,166,47,37,9,16,5,6,1,2,6,2,2,1,32,
Champaign,1147,254,257,58,70,68,51,29,27,21,16,15,7,274,
Christian,388,95,90,19,25,20,9,6,15,8,7,2,3,89,
Clark,211,69,47,13,12,11,5,7,2,4,5,1,1,34,
Clay,182,43,44,13,15,10,4,4,3,2,6,5,0,33,
Clinton,360,83,85,21,24,15,21,8,10,6,6,2,4,75,
Coles,535,138,130,40,40,19,15,14,11,17,6,9,5,91,
Cook,40631,10744,9682,2164,1703,1420,939,1180,1091,1040,1004,414,477,8773,
Crawford,235,61,59,18,21,7,5,4,7,10,0,3,0,40,
Cumberland,122,21,33,8,9,4,2,3,7,4,2,4,4,21,
DeKalb,630,160,127,45,28,32,31,30,9,10,7,6,7,138,
DeWitt,187,39,45,11,15,10,14,4,1,2,2,2,1,41,
Douglas,211,49,46,16,13,11,8,6,11,5,0,3,0,43,
Edgar,244,76,45,21,19,9,13,1,4,1,0,3,4,48,
Edwards,83,32,16,5,3,5,0,0,2,4,0,0,1,15,
Effingham,300,68,69,21,18,17,9,7,4,13,1,3,1,69,
Fayette,206,52,50,10,18,4,9,10,5,2,1,2,0,43,
Ford,210,51,40,10,14,13,11,3,7,8,5,0,2,46,
Franklin,558,120,127,26,38,26,41,23,13,24,11,6,8,440,
Greene,187,51,39,11,12,12,5,6,8,9,4,0,3,27,
Grundy,371,94,96,14,10,20,16,18,10,10,5,2,5,71,
Hamilton,115,47,22,7,9,7,1,1,4,4,1,2,1,9,
Hancock,213,59,46,11,10,12,7,5,11,6,4,1,2,39,
Hardin,60,13,13,5,4,7,0,4,0,0,2,0,0,12,
Henderson,84,22,17,6,4,4,2,4,2,2,0,4,1,16,
Henry,508,141,116,24,35,27,21,12,18,11,9,7,2,85,
Iroquois,388,92,86,31,29,6,26,13,6,9,6,5,4,75,
Jackson,460,108,117,18,28,25,28,14,9,11,4,6,5,87,
Jasper,112,28,28,8,5,4,1,1,5,3,1,6,0,22,
Jefferson,459,106,98,20,41,24,20,12,35,10,9,7,3,209,
Johnson,120,27,34,5,7,3,4,2,2,5,4,0,1,26,
Kane,2677,597,660,135,137,100,81,91,60,66,62,34,34,0,
Kankakee,1104,305,236,53,60,44,81,24,31,33,18,10,10,199,
Kendall,393,83,96,13,19,29,15,15,4,10,5,11,4,89,
Knox,684,148,121,44,70,36,42,14,24,10,7,9,2,157,
Lake,3960,864,1030,226,211,183,118,106,78,82,56,74,54,878,
LaSalle,1293,348,305,70,71,56,43,34,38,19,13,9,20,267,
Lawrence,196,51,30,9,14,13,17,2,4,8,5,2,2,39,
Lee,352,69,98,21,25,13,14,10,7,12,7,4,3,69,
Livingston,396,111,87,23,24,27,10,14,10,12,8,7,4,320,
McDonough,295,84,69,33,21,6,6,4,7,2,2,3,2,56,
McHenry,1863,448,466,108,94,80,65,59,38,27,24,24,32,398,
McLean,1157,299,260,57,71,54,66,33,22,20,12,19,21,223,
Macon,1239,307,300,84,73,33,28,32,14,49,32,16,5,266,
