County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Accidents,Alzheimers_Disease,Diabetes_Mellitus,Influenza_and_Pneumonia,Nephritis_Nephrotic_Syndrome_Nephrosis,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes
ILLINOIS,103069,2008,25979,24210,5765,5584,4173,3188,2839,2663,2571,1956,1188,1144,21809
Adams,843,2008,199,157,49,68,27,22,27,38,26,14,14,6,196
Alexander,111,2008,27,26,12,2,3,1,7,3,5,4,1,0,20
Bond,156,2008,43,36,8,9,11,9,2,8,3,1,0,1,25
Boone,365,2008,95,80,24,26,17,17,13,7,4,7,5,5,65
Brown,56,2008,18,8,4,4,2,0,1,1,0,2,0,2,14
Bureau,397,2008,102,95,17,22,21,18,7,10,23,2,6,5,69
Calhoun,71,2008,20,17,7,4,5,2,2,0,1,2,0,0,11
Carroll,195,2008,49,48,16,14,10,1,4,6,9,2,1,3,32
Cass,166,2008,47,37,9,16,5,6,1,2,6,2,2,1,32
Champaign,1147,2008,254,257,58,70,68,51,29,27,21,16,15,7,274
Christian,388,2008,95,90,19,25,20,9,6,15,8,7,2,3,89
Clark,211,2008,69,47,13,12,11,5,7,2,4,5,1,1,34
Clay,182,2008,43,44,13,15,10,4,4,3,2,6,5,0,33
Clinton,360,2008,83,85,21,24,15,21,8,10,6,6,2,4,75
Coles,535,2008,138,130,40,40,19,15,14,11,17,6,9,5,91
Cook,40631,2008,10744,9682,2164,1703,1420,939,1180,1091,1040,1004,414,477,8773
Chicago,20066,2008,5465,4625,1030,753,800,377,627,529,520,566,187,267,4320
Suburban Cook,20567,2008,5279,5058,1134,950,620,562,553,562,520,438,227,210,4454
Crawford,235,2008,61,59,18,21,7,5,4,7,10,0,3,0,40
Cumberland,122,2008,21,33,8,9,4,2,3,7,4,2,4,4,21
DeKalb,630,2008,160,127,45,28,32,31,30,9,10,7,6,7,138
DeWitt,187,2008,39,45,11,15,10,14,4,1,2,2,2,1,41
Douglas,211,2008,49,46,16,13,11,8,6,11,5,0,3,0,43
DuPage,5878,2008,1409,1486,344,324,197,226,98,164,160,84,70,55,1261
Edgar,244,2008,76,45,21,19,9,13,1,4,1,0,3,4,48
Edwards,83,2008,32,16,5,3,5,0,0,2,4,0,0,1,15
Effingham,300,2008,68,69,21,18,17,9,7,4,13,1,3,1,69
Fayette,206,2008,52,50,10,18,4,9,10,5,2,1,2,0,43
Ford,210,2008,51,40,10,14,13,11,3,7,8,5,0,2,46
Franklin,558,2008,120,127,26,38,26,41,23,13,24,11,6,8,95
Fulton,440,2008,117,104,31,24,17,10,4,11,7,6,7,0,102
Gallatin,86,2008,27,18,5,5,5,5,1,2,5,3,0,2,8
Greene,187,2008,51,39,11,12,12,5,6,8,9,4,0,3,27
Grundy,371,2008,94,96,14,10,20,16,18,10,10,5,2,5,71
Hamilton,115,2008,47,22,7,9,7,1,1,4,4,1,2,1,9
Hancock,213,2008,59,46,11,10,12,7,5,11,6,4,1,2,39
Hardin,60,2008,13,13,5,4,7,0,4,0,0,2,0,0,12
Henderson,84,2008,22,17,6,4,4,2,4,2,2,0,4,1,16
Henry,508,2008,141,116,24,35,27,21,12,18,11,9,7,2,85
Iroquois,388,2008,92,86,31,29,6,26,13,6,9,6,5,4,75
Jackson,460,2008,108,117,18,28,25,28,14,9,11,4,6,5,87
Jasper,112,2008,28,28,8,5,4,1,1,5,3,1,6,0,22
