County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes
ILLINOIS,101291,2011,24607,23852,5324,5369,3510,2896,2361,2658,2394,1828,1041,1121,24330
Adams,815,2011,199,167,43,52,26,28,16,21,32,16,8,2,205
Alexander,105,2011,29,19,5,7,1,3,3,4,2,3,1,0,28
Bond,177,2011,35,42,6,12,7,9,5,4,8,3,3,2,41
Boone,364,2011,83,82,25,30,10,13,3,11,6,4,2,3,92
Brown,46,2011,11,12,3,3,3,1,0,1,0,1,0,2,9
Bureau,376,2011,94,85,21,31,13,11,10,7,12,4,3,5,80
Calhoun,53,2011,20,8,2,4,1,0,0,1,2,1,0,0,14
Carroll,181,2011,41,52,5,10,4,3,2,8,3,4,5,1,43
Cass,142,2011,34,37,14,15,6,0,4,0,4,2,0,0,26
Champaign,1209,2011,260,273,54,63,48,62,26,25,28,20,8,12,330
Christian,404,2011,83,98,24,26,14,18,11,9,14,10,5,3,89
Clark,198,2011,39,45,18,12,7,5,2,4,5,7,5,2,47
Clay,176,2011,33,45,14,16,11,1,4,1,9,2,2,1,37
Clinton,319,2011,97,72,18,9,13,8,6,3,3,9,4,4,73
Coles,457,2011,135,83,27,30,18,11,13,14,13,2,2,3,106
Cook,38871,2011,10114,9221,1981,1655,1148,858,949,1092,967,805,336,451,9294
Chicago,18743,2011,5008,4333,889,718,639,370,455,566,472,415,160,239,4479
Suburban Cook,20128,2011,5106,4888,1092,937,509,488,494,526,495,390,176,212,4815
Crawford,214,2011,49,43,20,12,11,8,6,5,9,3,1,1,46
Cumberland,130,2011,26,39,6,4,8,2,1,3,2,1,3,1,34
DeKalb,667,2011,143,157,32,40,29,30,17,14,14,8,5,10,168
DeWitt,157,2011,40,42,8,9,7,9,2,5,3,2,0,2,28
Douglas,188,2011,54,40,13,14,8,8,3,1,6,4,2,2,33
DuPage,5976,2011,1304,1469,299,292,160,216,122,122,152,103,73,60,1604
Edgar,192,2011,57,41,12,15,9,7,3,5,3,5,1,1,33
Edwards,67,2011,22,21,1,4,3,0,2,0,1,1,0,1,11
Effingham,341,2011,69,84,21,21,23,11,5,13,4,9,0,1,80
Fayette,210,2011,41,45,12,20,11,13,6,8,7,1,4,1,41
Ford,199,2011,41,27,10,10,5,17,5,3,7,0,2,1,71
Franklin,544,2011,87,126,27,41,18,48,17,28,13,16,11,6,106
Fulton,462,2011,82,102,30,42,18,12,12,6,14,8,7,1,128
Gallatin,83,2011,16,18,5,5,7,5,1,0,5,1,2,2,16
Greene,146,2011,39,28,11,9,5,2,4,6,2,4,1,0,35
Grundy,412,2011,107,97,17,28,22,12,6,13,9,6,10,8,77
Hamilton,114,2011,39,31,3,5,2,2,8,3,2,1,1,1,16
Hancock,191,2011,46,39,14,17,9,15,3,1,6,3,3,0,35
Hardin,54,2011,15,11,3,5,3,0,3,0,2,0,0,0,12
Henderson,79,2011,17,16,7,7,1,6,3,5,4,2,0,1,10
Henry,515,2011,109,117,26,38,20,9,11,14,15,7,8,5,136
Iroquois,387,2011,97,84,29,27,14,31,8,16,6,10,2,3,60
Jackson,481,2011,109,94,34,23,25,25,13,9,13,9,10,6,111
Jasper,97,2011,29,17,5,3,2,1,1,2,4,3,2,1,27
Jefferson,435,2011,95,101,14,23,24,22,18,9,20,7,7,3,92
Jersey,262,2011,73,51,12,11,11,25,4,17,2,2,3,2,49
Jo Daviess,236,2011,46,60,17,15,14,17,5,2,8,0,5,1,46
Johnson,123,2011,21,23,1,5,2,1,4,0,3,2,2,1,58
Kane,2867,2011,529,716,145,163,109,66,75,85,65,40,36,47,791
Kankakee,1037,2011,271,232,46,58,48,46,27,23,23,25,12,9,217
Kendall,484,2011,104,129,22,24,18,6,16,11,7,6,10,8,123
Knox,647,2011,153,114,34,50,15,31,9,23,32,8,5,4,169
Lake,4041,2011,880,1007,218,206,120,104,81,138,90,64,55,45,1033
LaSalle,1318,2011,361,299,66,85,61,40,17,36,30,15,19,15,274
Lawrence,221,2011,37,40,13,15,11,16,6,12,8,5,0,1,57
Lee,363,2011,82,83,20,24,16,10,9,4,7,3,5,4,96
Livingston,419,2011,120,89,27,24,14,13,12,10,6,10,1,5,88
Logan,282,2011,62,59,17,17,8,18,4,2,9,11,5,1,67
McDonough,294,2011,78,66,16,17,15,3,2,7,8,3,0,3,76
McHenry,1892,2011,389,487,86,142,80,58,46,41,33,22,22,29,457
McLean,1064,2011,238,244,54,56,22,71,18,29,21,18,14,16,263
Macon,1180,2011,321,267,80,55,35,13,26,24,26,20,4,10,299
Macoupin,547,2011,154,117,30,32,19,16,14,16,15,8,4,4,118
Madison,2666,2011,646,585,146,153,146,88,61,67,58,43,18,31,624
Marion,544,2011,137,134,23,37,12,23,20,15,14,7,11,5,106
Marshall,157,2011,43,23,17,9,4,11,4,3,2,2,1,3,35
Mason,200,2011,45,43,6,18,5,8,3,4,5,8,2,4,49
Massac,215,2011,53,32,13,25,12,4,2,6,6,2,5,0,55
Menard,107,2011,17,22,4,12,5,7,1,3,2,2,0,1,31
Mercer,163,2011,58,38,6,5,5,5,5,4,4,1,0,3,29
Monroe,281,2011,65,75,21,10,16,6,3,5,4,4,2,1,69
Montgomery,332,2011,64,88,21,14,13,24,5,11,12,4,3,3,70
Morgan,408,2011,114,102,24,22,20,10,8,6,11,3,5,7,76
Moultrie,193,2011,50,40,8,10,8,2,3,6,9,1,1,0,55
Ogle,451,2011,108,120,22,30,13,24,13,7,1,4,9,2,98
Peoria,1742,2011,366,422,110,104,50,54,32,46,42,36,10,23,447
Perry,231,2011,46,48,14,16,9,7,14,11,6,7,4,4,45
Piatt,173,2011,46,42,13,6,5,2,1,9,2,1,6,0,40
Pike,219,2011,38,44,9,22,11,3,4,12,9,2,2,5,58
Pope,61,2011,15,15,2,3,1,0,2,2,1,1,1,2,16
Pulaski,87,2011,17,19,3,11,1,4,2,2,2,2,3,2,19
Putnam,51,2011,7,19,3,0,3,0,0,3,1,2,0,0,13
Randolph,388,2011,86,81,17,29,36,17,11,11,8,6,5,3,78
Richland,180,2011,39,44,8,12,6,0,1,4,4,4,0,2,56
Rock Island,1583,2011,475,346,70,97,44,43,35,31,35,26,17,13,351
St. Clair,2460,2011,562,526,139,160,105,71,54,91,30,57,39,29,597
Saline,327,2011,68,61,18,24,10,18,15,15,6,5,5,0,82
Sangamon,1770,2011,399,440,70,100,84,43,28,39,35,29,18,21,464
Schuyler,97,2011,22,24,4,9,5,1,4,6,0,1,0,1,20
Scott,63,2011,17,13,2,4,3,1,0,0,2,1,0,2,18
Shelby,231,2011,72,47,21,7,7,7,6,6,3,2,2,4,47
Stark,81,2011,16,14,1,4,6,6,0,4,1,1,2,0,26
Stephenson,504,2011,96,137,40,34,22,12,9,15,11,4,2,5,117
Tazewell,1403,2011,307,341,69,86,35,45,36,43,41,33,4,11,352
Union,222,2011,53,52,13,16,9,4,8,7,7,4,1,5,43
Vermilion,982,2011,282,196,42,84,31,34,27,15,17,26,13,7,208
Wabash,153,2011,34,36,7,13,6,3,3,2,4,1,2,1,41
Warren,194,2011,49,52,13,13,6,2,1,4,4,2,2,0,46
Washington,152,2011,37,27,14,8,10,1,8,3,2,5,1,0,36
Wayne,204,2011,42,42,19,18,6,3,4,1,5,2,6,0,56
White,191,2011,48,50,5,15,7,2,8,2,8,4,0,0,42
Whiteside,659,2011,156,160,43,52,24,16,15,14,12,12,4,5,146
Will,3869,2011,985,979,184,192,164,79,108,82,63,50,60,47,876
Williamson,767,2011,177,172,44,36,37,24,27,15,28,20,8,9,170
Winnebago,2669,2011,615,707,169,146,106,66,54,43,43,27,20,46,627
Woodford,345,2011,73,81,24,15,9,20,5,7,10,5,6,0,90
