County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis
ILLINOIS,105296,2014,25020,24504,5633,5490,4642,3267,2712,2517,2483,1804,1396,1321
Adams,786,2014,171,164,58,25,47,44,12,13,32,20,9,8
Alexander,109,2014,30,26,6,3,6,2,6,4,4,1,0,0
Bond,160,2014,36,24,6,9,15,8,6,5,5,1,2,3
Boone,413,2014,101,114,29,17,21,8,6,13,7,4,3,6
Brown,51,2014,7,7,3,5,4,0,1,3,0,1,3,0
Bureau,380,2014,109,75,26,11,22,18,5,19,13,4,3,5
Calhoun,52,2014,17,14,2,1,2,2,4,2,1,1,1,0
Carroll,188,2014,56,45,11,7,9,2,5,2,2,4,3,0
Cass,171,2014,56,43,9,9,8,2,2,5,4,2,3,1
Champaign,1301,2014,286,287,79,59,74,34,18,31,28,16,18,21
Christian,408,2014,91,102,16,24,23,7,8,7,13,9,10,6
Clark,223,2014,49,50,17,18,9,11,7,3,4,2,4,4
Clay,146,2014,37,26,8,6,4,2,6,24,2,4,2,1
Clinton,329,2014,84,74,17,19,12,8,7,4,10,9,4,2
Coles,465,2014,127,106,32,20,19,14,14,8,9,6,5,3
Cook,39997,2014,10035,9414,1719,2138,1490,1150,1083,1007,949,770,452,551
Chicago,19003,2014,4859,4429,723,970,796,440,577,498,435,397,201,283
Suburban Cook,20994,2014,5176,4985,996,1168,694,710,506,509,514,373,251,268
Crawford,227,2014,63,50,15,16,8,15,4,5,3,4,0,2
Cumberland,114,2014,23,34,12,4,7,2,1,1,2,3,1,0
DeKalb,714,2014,144,164,36,29,30,29,20,18,21,9,13,7
DeWitt,189,2014,47,47,10,8,7,7,5,6,5,0,3,1
Douglas,205,2014,41,33,19,8,7,12,9,8,4,7,6,4
DuPage,6048,2014,1375,1465,315,296,213,224,94,127,137,76,78,58
Edgar,226,2014,83,43,26,13,6,6,4,6,2,3,1,1
Edwards,74,2014,20,20,1,6,4,1,0,4,1,0,4,2
Effingham,347,2014,82,81,11,18,22,14,11,5,9,5,1,0
Fayette,194,2014,42,35,16,11,18,5,8,5,7,3,2,2
Ford,200,2014,54,46,16,9,10,6,3,2,2,1,1,2
Franklin,532,2014,83,116,47,29,28,29,30,19,9,23,7,6
Fulton,470,2014,106,108,32,28,10,4,12,12,20,6,8,5
Gallatin,86,2014,24,14,10,0,10,4,1,1,0,2,0,0
Greene,165,2014,46,30,11,4,17,4,6,7,4,1,2,2
Grundy,414,2014,102,91,23,23,23,6,21,7,9,5,8,4
Hamilton,100,2014,27,19,8,4,5,2,3,8,2,3,0,1
Hancock,227,2014,62,53,19,16,8,6,2,7,5,2,2,0
Hardin,65,2014,15,17,6,2,5,0,4,1,3,1,0,0
Henderson,89,2014,18,25,12,4,3,3,2,1,0,1,1,1
Henry,495,2014,119,108,41,23,25,9,13,6,16,7,4,5
Iroquois,371,2014,101,84,20,19,16,20,8,6,3,11,6,4
Jackson,453,2014,107,104,15,30,22,16,12,14,4,13,6,5
Jasper,100,2014,30,18,10,5,1,4,2,3,3,1,1,1
Jefferson,450,2014,85,102,33,17,18,35,13,13,16,11,7,3
Jersey,239,2014,50,52,12,14,9,10,14,5,4,2,3,4
Jo Daviess,262,2014,69,74,10,17,14,9,3,2,7,3,2,2
Johnson,121,2014,20,38,15,7,8,4,0,0,2,2,1,0
Kane,3084,2014,619,782,153,166,124,66,78,89,70,45,46,52
Kankakee,1097,2014,272,248,55,46,59,47,21,32,40,22,15,20
Kendall,572,2014,120,141,35,24,20,15,19,12,9,7,13,11
Knox,650,2014,153,111,62,36,21,35,17,11,14,12,10,8
Lake,4455,2014,956,1039,240,212,211,135,129,99,94,74,70,62
LaSalle,1350,2014,361,304,80,80,62,43,33,16,27,12,23,22
Lawrence,197,2014,46,40,10,9,13,18,5,6,4,5,4,1
Lee,380,2014,93,92,17,18,25,16,8,9,5,4,6,3
Livingston,412,2014,107,100,21,25,18,7,15,9,10,10,6,5
Logan,349,2014,72,85,27,15,13,18,10,5,9,4,8,5
McDonough,314,2014,75,54,21,22,17,9,7,7,12,10,5,3
McHenry,2036,2014,435,495,140,99,114,46,69,43,39,27,38,32
McLean,1161,2014,286,268,79,62,61,64,27,15,15,16,19,13
Macon,1315,2014,317,282,60,58,55,26,21,34,38,47,13,14
Macoupin,543,2014,143,119,33,30,19,18,14,7,17,13,7,2
Madison,2942,2014,685,607,184,174,207,117,82,75,76,39,40,31
Marion,473,2014,132,90,40,26,24,12,11,6,16,6,11,8
Marshall,162,2014,41,38,8,8,10,11,3,5,7,3,1,0
Mason,180,2014,38,42,15,8,9,8,6,4,2,1,4,4
Massac,201,2014,49,40,16,5,7,7,8,8,5,2,5,3
Menard,138,2014,25,29,10,11,6,4,1,3,3,2,1,1
Mercer,167,2014,45,43,10,9,4,12,7,1,1,7,4,1
Monroe,290,2014,65,62,15,12,21,6,10,7,4,6,3,7
Montgomery,364,2014,71,87,20,34,20,11,5,10,13,9,3,2
Morgan,377,2014,107,90,24,16,15,4,5,3,9,4,13,6
Moultrie,191,2014,48,43,16,14,5,2,7,1,5,4,3,2
Ogle,511,2014,95,126,32,27,29,31,18,9,13,6,10,9
Peoria,1753,2014,379,386,97,120,92,46,32,40,48,36,18,20
Perry,259,2014,42,69,15,7,15,15,5,12,7,6,3,3
Piatt,188,2014,42,47,12,10,13,2,2,1,2,3,3,2
Pike,207,2014,39,38,21,11,9,11,6,6,4,5,5,0
Pope,49,2014,8,12,2,4,2,2,1,3,0,1,1,0
Pulaski,84,2014,29,19,9,3,2,4,1,1,4,0,2,0
Putnam,62,2014,19,17,3,1,1,2,1,3,0,1,2,2
Randolph,371,2014,87,81,23,25,24,6,16,10,7,5,7,3
Richland,223,2014,44,45,12,8,16,2,1,8,15,3,4,1
Rock Island,1569,2014,381,364,83,80,53,44,37,29,39,20,28,20
St. Clair,2544,2014,556,557,158,130,142,99,91,56,64,55,33,15
Saline,355,2014,75,82,27,16,15,22,7,10,17,11,0,4
Sangamon,1910,2014,443,471,104,121,101,42,50,27,39,32,22,17
Schuyler,71,2014,15,23,5,1,4,0,2,0,2,2,1,0
Scott,54,2014,11,13,3,3,0,1,1,3,3,1,0,2
Shelby,254,2014,63,66,16,8,10,3,12,3,5,3,3,1
Stark,92,2014,22,17,7,3,2,5,1,4,2,0,2,3
