County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Accidents,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia
ILLINOIS,106879,2015,25653,24713,5709,5544,4853,3687,2818,2543,2343,1819
Adams,832,2015,162,159,33,60,52,41,11,18,29,37
Alexander,97,2015,17,32,5,3,3,2,3,12,2,2
Bond,192,2015,51,42,4,7,15,16,4,7,2,4
Boone,398,2015,94,94,28,30,21,10,10,17,6,3
Brown,47,2015,13,9,1,2,1,0,2,0,1,2
Bureau,379,2015,101,83,26,25,24,15,8,9,13,3
Calhoun,50,2015,18,7,2,1,4,2,2,4,2,1
Carroll,192,2015,48,41,8,11,11,1,2,5,3,0
Cass,144,2015,34,26,6,12,10,4,4,5,7,2
Champaign,1256,2015,220,271,79,71,78,73,14,20,28,17
Christian,448,2015,112,98,24,25,20,12,6,10,23,10
Clark,209,2015,54,40,10,18,7,2,3,11,5,1
Clay,198,2015,43,38,7,19,7,2,4,25,8,5
Clinton,376,2015,109,63,22,26,19,8,9,6,15,8
Coles,558,2015,169,130,29,35,22,21,12,14,8,10
Cook,40287,2015,10156,9553,2239,1595,1607,1369,1190,927,873,649
Chicago,19308,2015,4939,4536,1052,703,828,563,637,457,421,332
Suburban Cook,20979,2015,5217,5017,1187,892,779,806,553,470,452,317
Crawford,242,2015,73,47,23,13,7,9,3,6,8,4
Cumberland,125,2015,25,20,13,10,3,7,6,3,3,1
DeKalb,701,2015,137,165,36,27,44,29,21,19,17,9
DeWitt,197,2015,37,44,13,9,19,14,6,4,5,5
Douglas,201,2015,52,49,10,11,10,10,4,5,6,5
DuPage,6099,2015,1356,1455,344,309,240,218,110,138,129,83
Edgar,254,2015,66,55,20,17,6,17,4,8,6,3
Edwards,70,2015,17,15,7,5,1,0,2,2,2,2
Effingham,405,2015,98,81,35,21,22,22,10,4,8,8
Fayette,255,2015,50,71,13,26,12,17,8,4,6,3
Ford,190,2015,48,36,14,14,6,10,0,2,1,1
Franklin,561,2015,77,133,22,56,41,31,21,14,18,15
Fulton,466,2015,107,82,21,31,21,17,7,12,9,6
Gallatin,74,2015,20,13,4,6,3,0,2,1,3,2
Greene,163,2015,39,40,8,10,12,5,5,2,4,1
Grundy,396,2015,98,99,17,23,19,11,15,7,10,4
Hamilton,94,2015,30,27,6,10,2,2,2,1,3,0
Hancock,168,2015,47,45,5,7,3,8,3,3,5,4
Hardin,54,2015,11,13,3,10,0,2,2,2,2,0
Henderson,79,2015,21,19,7,5,2,3,3,2,1,4
Henry,559,2015,131,142,23,36,19,7,15,16,13,9
Iroquois,394,2015,90,93,16,25,18,23,14,7,8,7
Jackson,471,2015,108,99,19,26,35,16,8,14,12,12
Jasper,98,2015,33,24,5,5,8,4,0,0,3,1
Jefferson,433,2015,122,74,17,19,30,24,21,19,9,15
Jersey,239,2015,54,44,10,21,21,16,19,3,0,4
Jo Daviess,238,2015,57,58,16,10,17,10,4,4,5,0
Johnson,116,2015,25,25,8,7,6,1,4,1,0,1
Kane,3143,2015,672,699,179,170,118,66,116,97,80,48
Kankakee,1108,2015,284,267,51,63,41,42,30,15,30,17
Kendall,587,2015,137,154,31,37,24,15,13,15,9,7
Knox,705,2015,172,136,31,69,25,41,22,18,21,7
Lake,4557,2015,1003,1098,222,237,196,158,153,116,81,87
LaSalle,1356,2015,346,293,56,89,69,47,42,16,37,24
Lawrence,221,2015,61,44,7,10,8,16,6,2,4,2
Lee,366,2015,100,85,26,19,23,21,7,4,11,4
Livingston,432,2015,113,87,26,11,22,10,10,7,10,4
Logan,359,2015,74,91,16,29,7,9,5,9,8,5
McDonough,325,2015,86,71,14,23,12,6,5,2,12,7
McHenry,2060,2015,456,482,112,115,112,77,49,68,30,28
McLean,1195,2015,277,269,52,75,79,60,32,26,20,19
Macon,1249,2015,280,275,62,73,55,35,26,28,26,22
Macoupin,545,2015,128,116,27,32,30,13,14,14,13,9
Madison,2813,2015,677,657,139,176,175,116,55,67,62,48
Marion,559,2015,145,128,19,51,24,17,17,18,13,13
Marshall,165,2015,42,45,8,7,9,7,2,4,2,1
Mason,181,2015,37,36,4,10,7,10,5,6,4,3
Massac,220,2015,57,46,9,20,8,5,5,1,1,4
Menard,118,2015,17,35,6,6,6,1,5,4,4,2
Mercer,184,2015,48,43,12,9,7,10,8,2,0,2
Monroe,310,2015,69,77,16,15,12,5,6,4,5,5
Montgomery,366,2015,88,79,26,14,12,28,6,8,9,5
Morgan,415,2015,124,96,17,23,23,4,10,7,8,7
Moultrie,198,2015,50,39,8,10,11,3,5,3,3,2
Ogle,513,2015,114,122,35,28,19,31,10,14,8,9
Peoria,1887,2015,394,427,116,112,83,57,35,35,66,48
Perry,252,2015,61,47,13,14,7,9,9,10,4,6
Piatt,136,2015,37,33,5,9,5,1,2,2,6,1
Pike,209,2015,42,52,7,15,12,9,4,3,4,6
Pope,50,2015,14,14,1,1,1,1,3,2,0,1
Pulaski,106,2015,34,30,0,10,2,3,2,4,2,3
Putnam,55,2015,16,15,3,1,1,4,1,0,1,0
Randolph,386,2015,96,89,28,22,28,14,8,8,3,5
Richland,226,2015,52,43,14,12,12,2,3,6,10,7
Rock Island,1564,2015,424,318,78,95,63,59,39,35,38,28
St. Clair,2509,2015,552,588,136,139,122,84,86,76,46,68
Saline,374,2015,72,84,12,35,20,19,4,13,16,10
Sangamon,2010,2015,444,496,112,89,110,45,51,43,51,48
Schuyler,95,2015,26,23,5,6,6,0,3,3,3,3
Scott,63,2015,18,17,1,1,2,1,1,2,1,3
Shelby,263,2015,74,58,14,13,16,3,8,3,9,3
Stark,92,2015,18,14,4,9,5,8,3,2,1,2
Stephenson,542,2015,119,117,31,35,21,18,17,9,2,9
Tazewell,1498,2015,365,343,82,85,75,50,33,24,38,29
Union,230,2015,47,54,12,15,7,9,6,10,7,5
Vermilion,1019,2015,289,218,50,84,47,28,19,35,7,14
Wabash,136,2015,32,26,5,7,6,2,3,1,2,1
Warren,192,2015,46,38,8,22,8,6,3,4,3,2
Washington,157,2015,38,27,11,12,22,3,1,3,4,3
Wayne,192,2015,48,52,8,19,4,4,5,4,6,2
White,238,2015,53,45,13,18,7,4,5,8,5,11
Whiteside,646,2015,182,139,26,56,29,15,14,16,7,11
Will,4331,2015,1031,1046,243,214,211,122,109,110,74,59
Williamson,740,2015,124,148,40,66,48,22,16,24,22,34
Winnebago,3003,2015,718,690,137,169,191,98,50,75,60,41
Woodford,412,2015,97,98,25,29,16,23,8,5,13,2
