County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia
ILLINOIS,108937,2019,25655,23875,6144,6086,5532,3949,2822,2548,2106,1746
Adams,786,2019,150,191,39,26,49,36,23,15,12,17
Alexander,111,2019,20,26,6,6,6,2,1,5,5,5
Bond,178,2019,49,36,7,14,7,6,7,3,3,4
Boone,395,2019,96,98,16,17,24,25,11,3,2,5
Brown,53,2019,12,14,5,2,2,0,0,1,0,2
Bureau,432,2019,109,99,28,28,20,14,2,13,7,6
Calhoun,62,2019,15,20,1,2,3,8,2,0,1,1
Carroll,184,2019,45,43,10,7,9,5,7,3,1,1
Cass,148,2019,37,29,6,12,12,0,2,2,3,2
Champaign,1390,2019,303,265,48,120,68,77,34,29,23,23
Christian,449,2019,125,95,12,13,38,12,9,11,10,5
Clark,204,2019,52,32,13,9,12,6,8,3,2,4
Clay,156,2019,43,30,14,4,7,3,7,7,2,3
Clinton,341,2019,106,71,19,14,18,11,7,6,8,10
Coles,528,2019,117,99,23,20,43,18,11,5,8,6
Cook,40771,2019,10083,9001,2469,2352,1519,1219,1116,1000,831,572
Chicago,19630,2019,4847,4175,1195,1333,702,446,601,493,422,305
Suburban Cook,21141,2019,5236,4826,1274,1019,817,773,515,507,409,267
Crawford,194,2019,51,47,6,6,12,4,4,5,5,2
Cumberland,111,2019,26,18,11,4,9,0,5,3,5,1
DeKalb,745,2019,164,176,35,42,37,36,15,15,20,4
DeWitt,221,2019,54,45,8,9,17,21,6,2,9,5
Douglas,184,2019,47,42,7,13,13,7,6,3,4,4
DuPage,6397,2019,1438,1491,406,290,277,263,135,137,100,82
Edgar,246,2019,68,46,7,10,11,7,7,9,6,2
Edwards,78,2019,28,16,4,2,8,1,0,2,2,5
Effingham,370,2019,76,69,22,14,30,21,20,7,3,8
Fayette,226,2019,52,55,8,9,18,16,6,7,8,5
Ford,175,2019,37,34,12,6,13,5,5,1,4,1
Franklin,531,2019,96,112,29,32,62,22,20,12,11,10
Fulton,499,2019,117,111,22,18,27,31,12,7,11,9
Gallatin,72,2019,17,15,3,4,9,1,2,6,1,1
Greene,151,2019,35,30,7,9,11,12,7,4,6,0
Grundy,451,2019,93,108,20,30,30,17,18,13,10,4
Hamilton,110,2019,25,24,6,4,13,2,4,3,1,1
Hancock,202,2019,55,42,15,11,11,7,3,5,4,3
Hardin,58,2019,12,12,3,3,13,0,0,0,2,1
Henderson,87,2019,28,14,2,10,6,4,4,1,0,2
Henry,538,2019,146,119,29,31,29,12,14,4,8,4
