County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,COVID_19,Accidents,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia
ILLINOIS,132701,2020,27466,24020,15715,7159,6762,5432,4639,3487,2651,2430
Adams,877,2020,156,141,70,45,38,62,24,20,22,23
Alexander,114,2020,18,25,11,4,6,5,6,1,5,3
Bond,200,2020,67,37,11,9,11,12,7,5,4,3
Boone,488,2020,94,83,57,29,24,32,24,9,9,9
Brown,70,2020,15,16,9,3,5,0,0,3,2,2
Bureau,476,2020,103,91,57,38,22,25,15,4,11,10
Calhoun,68,2020,18,13,5,4,6,2,2,2,2,2
Carroll,255,2020,56,44,26,17,10,20,3,3,3,4
Cass,163,2020,37,26,27,8,11,6,3,1,4,4
Champaign,1517,2020,328,280,66,113,75,57,70,33,29,27
Christian,481,2020,94,74,61,25,22,24,8,8,7,10
Clark,228,2020,53,37,18,9,11,15,6,8,3,2
Clay,194,2020,51,26,29,7,8,13,3,4,3,2
Clinton,420,2020,114,67,41,15,24,20,14,10,9,7
Coles,623,2020,125,110,49,27,19,36,26,11,13,16
Cook,52037,2020,10915,8863,7636,3044,2714,1556,1473,1476,1051,1011
Chicago,25769,2020,5350,4071,4125,1842,1369,708,528,816,499,479
Suburban Cook,26268,2020,5565,4792,3511,1202,1345,848,945,660,552,532
Crawford,235,2020,61,52,29,6,9,9,6,4,11,2
Cumberland,133,2020,27,23,20,8,5,9,3,5,4,2
DeKalb,897,2020,181,171,56,46,53,32,39,26,8,17
DeWitt,243,2020,60,42,21,12,9,18,18,4,2,8
Douglas,226,2020,44,38,29,11,6,14,13,4,4,4
DuPage,7624,2020,1513,1525,821,294,471,260,326,148,146,128
Edgar,287,2020,57,62,36,14,9,20,2,7,7,2
Edwards,93,2020,25,22,10,6,4,4,0,3,2,4
Effingham,445,2020,64,86,44,14,16,23,36,19,5,11
Fayette,273,2020,50,44,34,11,17,16,20,7,4,7
Ford,236,2020,49,40,24,6,18,9,10,2,4,3
Franklin,614,2020,110,101,60,30,26,45,30,26,12,14
Fulton,547,2020,115,120,32,18,32,36,29,14,10,8
Gallatin,83,2020,20,13,8,0,6,6,3,2,4,2
Greene,199,2020,41,30,26,7,10,17,11,3,3,2
Grundy,544,2020,110,101,44,39,26,34,17,17,10,9
Hamilton,131,2020,19,22,11,3,4,10,7,8,2,2
Hancock,274,2020,65,41,32,16,13,11,7,6,7,5
Hardin,73,2020,16,8,10,1,2,8,1,2,1,1
Henderson,107,2020,26,15,15,4,2,9,1,7,1,0
Henry,689,2020,183,125,63,28,36,36,23,16,9,8
Iroquois,443,2020,98,83,44,23,25,21,23,10,7,6
Jackson,616,2020,137,114,68,32,25,30,16,10,15,16
Jasper,102,2020,18,23,13,5,5,2,2,4,3,0
Jefferson,559,2020,118,100,65,28,31,30,24,19,8,13
Jersey,324,2020,77,60,36,17,12,15,20,11,12,9
Jo Daviess,303,2020,76,57,23,20,13,18,14,4,3,2
Johnson,164,2020,30,27,14,11,6,17,4,4,1,1
Kane,4190,2020,782,835,512,200,269,145,101,108,76,62
Kankakee,1354,2020,370,242,124,81,66,49,65,31,33,19
Kendall,768,2020,147,160,74,34,51,30,22,16,15,10
Knox,816,2020,172,139,106,28,27,58,52,20,14,10
