County,Total_Deaths,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,COVID_19,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes,Year
ILLINOIS,125102,26282,23613,11297,7616,6768,4927,4028,3388,2648,1779,0,0,0,0,2021
Adams,936,177,184,103,32,36,41,21,23,19,9,0,0,0,0,2021
Alexander,104,21,21,12,5,5,5,4,2,3,3,0,0,0,0,2021
Bond,220,52,37,28,14,16,7,4,3,4,3,0,0,0,0,2021
Boone,502,113,117,38,21,19,27,9,18,12,14,0,0,0,0,2021
Brown,67,16,6,7,0,7,6,0,1,0,0,0,0,0,0,2021
Bureau,447,92,86,51,34,24,23,13,6,13,8,0,0,0,0,2021
Calhoun,69,16,16,5,7,2,1,2,4,3,1,0,0,0,0,2021
Carroll,215,55,54,13,8,11,12,2,6,2,1,0,0,0,0,2021
Cass,148,36,25,16,8,5,7,2,2,2,0,0,0,0,0,2021
Champaign,1643,332,305,128,108,78,59,82,32,33,18,0,0,0,0,2021
Christian,501,101,103,40,32,18,25,14,10,19,7,0,0,0,0,2021
Clark,235,51,38,30,8,10,13,9,5,4,5,0,0,0,0,2021
Clay,182,32,39,19,6,11,11,3,4,6,1,0,0,0,0,2021
Clinton,365,99,60,35,22,16,20,16,8,7,6,0,0,0,0,2021
Coles,596,106,91,64,34,19,40,14,12,9,8,0,0,0,0,2021
Cook,47077,10259,8720,4196,3285,2657,1317,1323,1308,976,622,0,0,0,0,2021
Chicago,22882,4974,3946,2143,1946,1263,579,433,728,461,342,0,0,0,0,2021
Suburban Cook,24195,5285,4774,2053,1339,1394,738,890,580,515,280,0,0,0,0,2021
Crawford,238,45,54,27,9,12,12,6,2,3,1,0,0,0,0,2021
Cumberland,157,29,30,19,4,8,13,4,8,3,1,0,0,0,0,2021
DeKalb,894,180,172,70,57,43,41,34,23,14,11,0,0,0,0,2021
DeWitt,229,63,40,20,5,8,8,16,4,4,8,0,0,0,0,2021
Douglas,247,62,49,17,8,12,12,4,6,5,3,0,0,0,0,2021
Edgar,278,53,43,42,13,10,10,7,7,8,8,0,0,0,0,2021
Edwards,89,17,20,17,3,11,2,2,1,2,0,0,0,0,0,2021
Effingham,430,68,79,54,29,22,14,19,15,5,2,0,0,0,0,2021
Fayette,244,44,47,30,10,13,13,13,6,6,2,0,0,0,0,2021
Ford,236,55,43,20,14,11,9,7,5,6,9,0,0,0,0,2021
Franklin,643,114,140,88,28,26,42,13,22,9,15,0,0,0,0,2021
Fulton,514,106,93,55,18,20,37,14,12,14,3,0,0,0,0,2021
Gallatin,91,24,18,8,4,4,7,6,0,2,0,0,0,0,0,2021
Grundy,527,95,108,55,25,33,27,19,19,9,9,0,0,0,0,2021
Hamilton,103,21,19,18,5,3,9,4,1,1,2,0,0,0,0,2021
Hancock,238,53,37,24,11,12,11,5,10,12,1,0,0,0,0,2021
Hardin,83,20,16,11,3,4,5,1,1,1,0,0,0,0,0,2021
Henderson,109,25,23,10,7,3,5,2,5,3,2,0,0,0,0,2021
Henry,600,139,113,41,43,24,29,22,12,14,8,0,0,0,0,2021
Iroquois,418,89,88,43,23,21,14,19,19,5,5,0,0,0,0,2021
Jackson,612,135,111,65,30,25,21,16,17,15,8,0,0,0,0,2021
Jasper,124,26,28,13,4,7,3,2,2,2,1,0,0,0,0,2021
Jefferson,550,108,88,67,36,28,37,23,8,14,10,0,0,0,0,2021
Jersey,317,55,56,29,20,13,19,11,17,14,5,0,0,0,0,2021
Jo Daviess,260,55,61,18,13,12,7,9,7,6,2,0,0,0,0,2021
Johnson,176,24,37,32,6,4,12,1,7,3,3,0,0,0,0,2021
Kane,3908,725,787,326,231,256,130,122,91,91,83,0,0,0,0,2021
Kankakee,1378,346,257,132,68,77,54,38,25,23,25,0,0,0,0,2021
Kendall,782,144,169,61,46,36,31,17,16,26,13,0,0,0,0,2021
Knox,730,158,143,73,38,39,47,39,19,8,13,0,0,0,0,2021
Lake,5215,1034,1091,373,286,246,179,222,150,125,65,0,0,0,0,2021
LaSalle,1435,293,304,129,86,62,75,73,33,13,30,0,0,0,0,2021
Lawrence,197,42,41,20,5,12,23,3,5,3,2,0,0,0,0,2021
Lee,420,94,72,39,17,36,15,10,7,8,7,0,0,0,0,2021
Livingston,483,87,84,64,37,20,22,30,9,10,6,0,0,0,0,2021
Logan,332,58,61,30,11,20,17,21,5,10,4,0,0,0,0,2021
McDonough,323,66,43,32,14,25,18,11,8,8,3,0,0,0,0,2021
McHenry,2539,556,570,183,120,127,102,75,60,58,43,0,0,0,0,2021
McLean,1413,291,284,145,69,60,70,79,34,26,17,0,0,0,0,2021
Macon,1434,289,261,136,63,60,59,44,30,28,33,0,0,0,0,2021
Macoupin,647,133,119,70,38,43,33,14,20,16,5,0,0,0,0,2021
Madison,3381,717,586,319,228,239,162,89,101,62,46,0,0,0,0,2021
Marion,594,119,109,67,23,31,50,14,13,22,10,0,0,0,0,2021
Marshall,184,34,23,17,11,13,8,11,3,3,3,0,0,0,0,2021
Mason,222,49,44,20,16,11,10,5,8,2,2,0,0,0,0,2021
Massac,238,34,37,29,8,14,24,20,9,5,2,0,0,0,0,2021
Mercer,206,50,35,16,14,9,15,4,4,6,2,0,0,0,0,2021
Monroe,358,86,63,35,24,27,11,4,17,6,6,0,0,0,0,2021
Montgomery,460,68,82,69,37,32,32,14,7,7,3,0,0,0,0,2021
Morgan,438,97,86,31,17,15,29,14,10,6,7,0,0,0,0,2021
Moultrie,216,45,37,19,8,7,18,9,9,5,0,0,0,0,0,2021
Ogle,592,119,110,49,29,17,42,30,26,15,11,0,0,0,0,2021
Peoria,2150,449,384,212,132,97,103,82,49,33,31,0,0,0,0,2021
Perry,302,57,50,40,19,12,20,6,10,7,7,0,0,0,0,2021
Piatt,209,47,42,10,14,6,11,10,8,2,7,0,0,0,0,2021
Pike,236,43,43,32,12,13,7,2,13,4,1,0,0,0,0,2021
Pope,72,20,12,12,6,2,5,0,0,3,1,0,0,0,0,2021
Pulaski,107,21,13,16,5,6,6,5,3,6,1,0,0,0,0,2021
Putnam,71,15,16,8,7,5,0,1,0,1,1,0,0,0,0,2021
Randolph,444,97,86,50,28,23,24,14,27,5,6,0,0,0,0,2021
Richland,266,59,44,42,13,17,10,2,3,6,5,0,0,0,0,2021
Rock Island,1776,367,323,160,70,78,93,50,59,40,29,0,0,0,0,2021
St. Clair,3076,532,507,295,225,210,153,108,124,63,31,0,0,0,0,2021
Saline,423,67,61,53,17,16,31,5,21,10,4,0,0,0,0,2021
Sangamon,2119,458,427,141,144,75,109,60,43,44,38,0,0,0,0,2021
Schuyler,108,21,23,9,6,11,6,1,5,1,3,0,0,0,0,2021
Scott,69,20,11,6,4,3,5,3,0,0,1,0,0,0,0,2021
Shelby,321,56,67,48,13,10,13,10,11,2,4,0,0,0,0,2021
Stark,97,25,17,8,5,6,6,3,2,1,1,0,0,0,0,2021
Stephenson,654,98,122,93,39,31,29,13,25,18,10,0,0,0,0,2021
Tazewell,1718,367,281,165,102,93,85,75,46,34,22,0,0,0,0,2021
Union,278,59,51,32,12,19,12,6,7,8,4,0,0,0,0,2021
Vermilion,1186,194,226,157,64,51,90,29,39,18,11,0,0,0,0,2021
Wabash,161,28,34,15,7,8,9,8,3,9,1,0,0,0,0,2021
Warren,216,49,47,28,9,12,15,9,7,3,5,0,0,0,0,2021
Washington,167,31,31,21,9,17,8,5,1,4,2,0,0,0,0,2021
Wayne,242,51,41,29,14,13,9,6,5,5,3,0,0,0,0,2021
White,253,55,37,22,10,14,16,10,2,4,3,0,0,0,0,2021
Whiteside,757,162,139,79,37,34,35,17,12,20,11,0,0,0,0,2021
Williamson,889,154,150,97,46,29,67,23,21,35,20,0,0,0,0,2021
Winnebago,3541,765,621,303,264,187,191,148,82,84,54,0,0,0,0,2021
Woodford,421,90,72,58,14,25,13,24,11,4,4,0,0,0,0,2021
