County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,Accidents,COVID_19,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia
ILLINOIS,122977,2022,26791,23622,7482,7149,6622,5324,4238,3526,2879,1969
Adams,837,2022,164,156,45,53,42,61,18,28,20,11
Alexander,96,2022,18,21,4,7,4,9,1,6,1,0
Bond,193,2022,53,43,8,16,10,6,3,7,3,1
Boone,502,2022,115,95,28,27,30,28,13,12,6,5
Brown,56,2022,12,8,2,3,3,4,2,2,0,0
Bureau,425,2022,94,84,36,28,24,25,14,2,16,6
Calhoun,87,2022,19,11,7,7,5,6,3,6,0,0
Carroll,240,2022,58,56,10,16,11,8,4,7,3,1
Cass,128,2022,20,26,2,6,11,8,2,7,1,7
Champaign,1524,2022,330,271,116,72,66,63,71,35,28,26
Christian,447,2022,122,79,10,33,20,31,10,5,9,14
Clark,217,2022,50,46,12,10,6,10,8,7,6,0
Clay,190,2022,57,41,10,13,10,9,7,2,7,4
Clinton,371,2022,107,77,16,23,15,17,9,11,8,6
Coles,588,2022,121,107,29,36,16,33,16,19,13,9
Cook,45837,2022,10270,8451,3268,2757,2578,1444,1451,1363,1080,764
Chicago,22108,2022,5018,3893,1959,1319,1164,623,506,739,505,375
Suburban Cook,23729,2022,5252,4558,1309,1438,1414,821,945,624,575,389
Crawford,277,2022,57,39,13,16,14,19,7,12,6,3
Cumberland,125,2022,30,19,4,8,6,5,5,4,1,2
DeKalb,835,2022,181,177,49,56,39,43,27,15,22,9
DeWitt,186,2022,49,35,5,11,6,12,13,4,1,3
Douglas,239,2022,42,50,17,18,18,8,11,3,3,8
DuPage,7310,2022,1551,1507,306,339,505,273,298,147,173,122
Edgar,254,2022,77,62,12,13,10,10,5,3,2,1
Edwards,76,2022,19,20,1,6,2,2,5,2,4,1
Effingham,391,2022,59,77,16,28,15,16,24,22,9,7
Fayette,275,2022,46,49,13,25,8,9,14,5,9,10
Ford,195,2022,52,29,5,13,11,11,9,6,5,5
Franklin,591,2022,104,113,25,45,30,51,13,35,12,8
Fulton,532,2022,105,99,20,41,13,38,22,14,12,8
Gallatin,97,2022,23,18,3,6,4,7,2,1,5,2
Greene,198,2022,43,35,10,17,12,11,5,9,6,7
Grundy,518,2022,119,110,28,34,32,14,9,13,12,10
Hamilton,119,2022,31,26,4,10,6,4,4,6,6,0
Hancock,227,2022,56,44,13,16,10,14,8,7,7,3
Hardin,74,2022,11,18,2,7,1,8,1,3,1,2
Henderson,83,2022,21,21,6,2,2,4,7,1,2,2
Henry,580,2022,132,127,19,42,24,40,8,14,10,11
Iroquois,452,2022,110,86,23,31,21,32,21,18,9,7
Jackson,567,2022,131,101,33,43,21,37,16,14,12,10
Jasper,134,2022,27,31,6,6,9,10,5,3,2,3
Jefferson,506,2022,113,105,33,30,13,40,26,15,11,10
Jersey,295,2022,70,61,10,21,15,24,10,13,4,3
Jo Daviess,309,2022,65,73,17,13,16,12,12,5,8,2
Johnson,162,2022,37,30,10,6,3,13,5,8,2,3
Kane,3992,2022,755,789,195,235,292,140,146,103,121,49
Kankakee,1231,2022,330,218,79,59,77,41,40,31,29,16
Kendall,757,2022,133,165,38,45,45,25,34,26,29,6
Knox,742,2022,161,139,33,55,30,42,37,16,24,13
Lake,5433,2022,1080,1165,282,290,237,201,219,142,147,89
LaSalle,1383,2022,338,250,101,78,63,89,83,23,21,20
Lawrence,186,2022,37,29,10,6,13,16,8,4,4,2
Lee,415,2022,104,84,16,17,17,17,12,8,12,7
Livingston,497,2022,126,87,24,37,25,39,20,9,7,10
Logan,378,2022,75,85,17,16,15,27,16,9,7,9
McDonough,333,2022,93,62,13,28,11,15,9,8,7,5
McHenry,2620,2022,570,602,120,109,149,112,88,76,57,34
