County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,72.1801853115778,118.52846905666156,62.59034618422425,64.21130596836623,70.32790761007814,70.47195216303912,87.14387453686035,49.683830171635044,51.294894347604384,58.95976827299279,77.26078696928657,59.204294284812114,106.48493238206794,156.68497193361424,136.9091987769445
Alexander,131.30060544168063,92.07396608608917,48.555474629764504,62.98657126300673,39.27524088814411,109.01261821055787,85.24180257998522,0.0,46.58963846440552,130.30589308401474,0.0,108.30715910321673,209.9236641221374,229.00763358778627,152.67175572519085
Bond,45.253988007693174,62.066241606951415,50.65285907248987,33.96796820598176,39.864687859494055,74.47680047665153,34.58053807317242,23.193111645841185,93.33691124826451,35.21560755726938,53.14876931071952,41.594124532808856,65.76980568011957,167.41405082212256,95.66517189835575
Boone,52.273535796481696,31.97527245596739,31.38558109480292,46.216444550434154,29.617782516622977,50.04643196743645,53.82510922785097,0.0,37.219827746637186,40.99651343288032,0.0,29.89553379409825,106.64571171980243,71.09714114653495,104.77473432120941
Brown,57.58986418390363,57.62581636573186,72.07726683004181,43.68274677111697,73.54671687455873,14.860828342571814,45.046397789723414,0.0,61.33840397472858,108.49517196484759,0.0,79.197883832544,144.1383728379244,112.10762331838565,64.0614990390775
Bureau,48.12047101449276,73.96239296788325,88.62713705757905,60.336852025306996,43.313543856406945,78.35671459002025,75.83624038921492,0.0,82.50436094479281,62.1960538084717,0.0,83.78868493658992,171.45951149079534,153.4111418601853,216.58043556732042
Calhoun,0.0,98.28331804481721,98.25112988799373,39.810502010430355,40.33396523212197,20.435688887072384,41.423304751253056,0.0,21.286559666226744,21.586150325950868,0.0,22.211363333481412,112.6887536623845,112.6887536623845,315.5285102546766
Carroll,98.49184364419821,94.84066767830046,51.99194124910638,32.42857606122515,77.66990291262137,71.05254658786293,70.90827048282085,0.0,57.781201848998464,70.47893640877783,0.0,63.814173127851696,165.58400203795696,82.79200101897848,127.37230925996688
Cass,65.80230064340027,73.20822860489518,80.63333822020232,103.07760270946841,51.76749001626978,74.2831674342594,67.15415609610505,0.0,75.28986598403854,52.942066253214335,0.0,45.794535185467865,207.02346265910137,122.68057046465266,30.670142616163165
Champaign,31.048197866239367,30.42120478283213,29.341409680675948,26.7911097175324,21.28314602514975,34.07134836620478,38.91729139592876,0.0,32.36065062559022,25.925770117663866,0.0,23.37056068896413,32.05984504408229,62.176669176402015,182.6439657056809
Chicago,0.0,25.919452766503376,32.7200124054106,32.917672124433984,33.595047003499204,26.965861072326422,26.620872384029834,0.0,39.21393125346653,43.75444638542505,0.0,43.59231301542438,150.19727729658007,78.02976127189604,142.660104835879
Christian,54.00591222618055,48.58438440727051,83.33333333333334,69.11805363560963,77.93017456359101,60.747014718133855,46.38649225345579,0.0,37.85760879694344,46.69842159335014,0.0,35.181536729524346,179.24306535025858,117.53643629525152,58.76821814762576
Clark,77.45625707533117,84.54446636338018,55.09641873278236,110.7896842493999,68.07351940095303,74.66865783087549,106.36301069886754,0.0,82.24204466375656,82.70246198867612,0.0,83.63893714212185,116.46716273050794,194.11193788417987,155.2895503073439
Clay,90.83498311400956,149.32448447499408,86.86210640608036,101.72718222971453,80.23574721363131,87.86767128704172,58.80536893018332,0.0,66.6725931193884,44.622604323930354,0.0,104.94201953420733,218.24202287778448,142.98615291992778,150.51173991571343
Clinton,57.887386062922666,27.012668941733672,37.0743075048991,47.77615279875358,42.565191250724936,58.66181728977071,45.43413653759808,58.93304402566266,42.95970916276897,67.28044372798247,56.64713689185252,51.37176121323876,111.1141223339386,94.85351906555732,86.7232174313667
Coles,74.87598664711572,87.60920083011271,76.10491340745828,50.77860528097495,45.73955137123363,88.85454896658297,62.66032230903288,0.0,66.4425070972678,61.26700159294204,0.0,48.355899419729205,104.56010071911743,136.56829481680643,123.76501717773084
Cook,40.70689798200507,30.14063536738434,38.077454316198796,38.075932597026934,60.66190913026405,32.5545358412985,32.88679858858048,0.0,42.779262856274684,72.68702350199794,0.0,46.87273609810462,144.74344906048498,79.53686645597107,123.89250694857647
Crawford,88.93134171044613,64.90696668109042,80.73875965080487,101.50635429777904,81.67682522180363,61.61555998274765,77.47213585513744,119.49293433083957,88.84614982596607,52.575129860570755,37.024107983455515,31.927121025073433,155.25456394881954,144.5473526420044,139.1937469885968
Cumberland,71.5264946057102,80.96194788449428,63.35988414192614,54.604029777397564,27.45141100252553,27.60245109765747,111.02064984087042,120.94148292864453,74.84189649365715,75.26294993132257,37.84438389343021,104.66421815829037,191.38755980861245,181.8181818181818,76.55502392344498
DeKalb,47.68666680796049,32.07602016779768,32.33168505135033,30.567602162657852,41.262042758991285,30.84694133297345,34.86210102262163,0.0,27.36619883498182,0.0,0.0,34.689872539496896,55.765783708424614,69.70722963553077,97.59012148974308
DeWitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,80.23535704733887,80.15764336528505,30.03003003003003,65.14331529364603,45.153521974714025,65.30038175607795,95.55421444377389,0.0,55.45472877596289,70.66424389259035,0.0,35.41793159279498,146.9098277608916,86.11955420466059,172.23910840932118
DuPage,37.86814107790636,31.77491381511164,34.24493196818929,32.55239165905387,0.0,29.835851822791533,34.116562973976535,0.0,38.96401904898004,41.159752528604145,0.0,43.59583142243642,88.00731500508643,42.23493558100371,65.60350399891946
Edgar,108.65066225165562,163.5711270578303,91.51593453919035,65.19967400162999,76.7796424262367,94.11504179815091,145.31634249944108,0.0,39.88603988603989,69.04885206283446,0.0,41.087045841404006,213.44717182497334,249.02170046246886,142.29811454998222
Edwards,72.59352465760054,73.4825846274433,59.51495313197441,14.98486528606108,60.37006852002777,91.21036149706607,15.312528710991332,107.97470306956657,108.77334742207168,109.58389429850652,63.08949244503328,63.56672917395034,160.12810248198556,272.2177742193755,32.02562049639712
Effingham,61.301936362751775,49.63600264725347,67.16897377489632,61.251990689697415,78.65482765853318,55.28108979394701,31.965221838639557,0.0,57.97504753953898,69.48425313113415,0.0,63.537172133751525,126.918195454021,155.76323987538942,92.3041421483789
Fayette,45.63154052080798,90.79628340546594,49.683830171635044,54.36062840886441,81.78249491131143,0.0,0.0,0.0,55.175457956301045,41.50602298511318,0.0,37.11745819646271,158.2278481012658,139.61280714817573,120.99776619508562
