County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,39.77275517168572,31.113723127373657,35.765912105271006,23.89257896497348,19.452399977255652,20.991645325160587,18.029767145557315,16.56127672387835,16.59540699481318,36.282934321841715,13.634256523991747,34.915353039760994,36.50911967385186,31.94547971462038,54.7636795107778
Alexander,76.59201984098037,69.05547456456686,24.277737314882252,37.79194275780404,26.18349392542941,40.8797318289592,85.24180257998522,0.0,31.05975897627034,65.15294654200737,0.0,18.051193183869458,114.50381679389314,76.33587786259542,38.16793893129771
Bond,11.313497001923293,28.211928003159734,22.512381809995496,28.306640171651466,11.389910816998302,34.37390791230071,34.58053807317242,23.193111645841185,35.00134171809919,23.477071704846253,5.905418812302169,41.594124532808856,41.85351270553064,23.916292974588938,35.874439461883405
Boone,28.31483188976092,29.976817927469426,20.308317178990123,5.545973346052099,12.957779851022554,20.38928709784448,11.136229495417442,0.0,33.49784497197347,27.952168249691127,0.0,20.55317948344255,44.903457566232596,16.838796587337225,48.64541236341865
Brown,14.397466045975907,43.21936227429889,14.41545336600836,0.0,14.709343374911745,0.0,15.015465929907807,0.0,15.334600993682145,30.99862056138502,0.0,0.0,0.0,0.0,64.0614990390775
Bureau,19.8143115942029,14.22353710920832,28.589399050831954,28.731834297765243,23.100556723417036,17.412603242226723,14.58389238254133,0.0,29.46584319456886,11.846867392089848,0.0,5.9849060668992795,45.120924076525085,39.10480086632174,84.22572494284684
Calhoun,0.0,19.65666360896344,39.30045195519749,0.0,40.33396523212197,61.307066661217156,82.84660950250611,0.0,42.57311933245349,43.172300651901736,0.0,44.422726666962824,45.075501464953796,45.075501464953796,135.2265043948614
Carroll,24.622960911049553,31.61355589276682,12.997985312276596,12.97143042449006,12.944983818770226,6.4593224170784485,32.231032037645846,0.0,25.680534155110426,38.44305622296972,0.0,44.669921189496186,19.105846388995033,12.73723092599669,50.94892370398676
Cass,7.311366738155585,14.641645720979039,0.0,29.45074363127669,7.395355716609969,14.85663348685188,14.923145799134458,0.0,45.17391959042313,37.815761609438816,0.0,15.264845061822625,23.00260696212237,15.335071308081583,30.670142616163165
Champaign,15.524098933119683,19.077704694318456,17.903233025497187,12.899423197330416,18.313404719314903,16.788780354361773,8.86723095097111,0.0,6.864380435731258,12.229136847954653,0.0,16.554147154682923,34.002865955844854,39.83192869113254,108.80917105870351
Chicago,0.0,22.589020288125848,18.697149945948915,16.84762746526149,22.766280477618825,21.100509621574165,21.245149883243723,0.0,23.25690590710737,22.591207882683896,0.0,21.9238327383013,19.22525149396225,15.76616268349556,36.84839869676098
Christian,17.054498597741226,22.863239721068478,34.48275862068965,31.67910791632108,34.63563313937378,23.141719892622422,23.193246126727896,0.0,26.209113782499305,40.861118894181374,0.0,26.386152547143258,23.507287259050305,41.13775270333804,58.76821814762576
Clark,41.70721534825525,30.194452272635775,30.609121518212426,12.309964916599986,55.69651587350702,18.667164457718872,43.79653381718076,0.0,50.61048902385019,25.446911381131113,0.0,51.47011516438268,38.82238757683597,58.23358136525397,103.52636687156262
Clay,27.9492255735414,49.77482815833135,7.238508867173362,29.06490920848986,43.76495302561709,29.289223762347238,44.104026697637494,0.0,22.2241977064628,37.1855036032753,0.0,52.471009767103666,22.576760987357012,22.576760987357012,105.3582179409994
Clinton,22.052337547780063,27.012668941733672,45.01880197023463,15.925384266251191,15.961946719021851,34.6638011257736,18.70817386842274,24.108972555952906,26.849818226730605,16.147306494715792,16.18489625481501,18.926438341719546,37.94140762622293,43.36160871568335,48.78180980514377
Coles,26.2065953264905,33.55245989238359,18.56217400181909,24.448958098247196,28.58721960702102,23.179447556499905,27.413891010201887,0.0,16.107274447822498,26.549034023608215,0.0,23.12673450508788,55.48086976932761,29.87431449117641,68.28414740840321
Cook,22.196922189817922,22.11074387430594,20.34775996573414,18.24031299070094,31.703092022523318,21.460317917748274,20.71925705144425,0.0,21.87597614629829,32.468266982160465,0.0,21.18670453037049,27.921307028037504,25.07799674004998,55.00857637159867
Crawford,19.762520380099144,39.94274872682488,55.50789725992834,30.451906289333714,35.73361103453909,46.21166998706074,20.65923622803665,15.586034912718205,26.131220537048844,10.51502597211415,21.156633133403155,21.284747350048956,32.12163392044542,32.12163392044542,74.95047914770598
Cumberland,26.822435477141326,71.96617589732826,9.051412020275162,9.10067162956626,73.20376267340141,46.00408516276245,9.251720820072535,55.81914596706671,56.13142237024286,9.40786874141532,28.383287920072664,47.574644617404715,28.70813397129187,38.27751196172249,95.69377990430623
DeKalb,31.791111205306997,15.035634453655165,16.165842525675163,16.239038648911983,19.191647794879668,11.567602999865045,19.36783390145646,0.0,25.411470346768834,0.0,0.0,14.867088231212955,38.836885082652856,33.857797251543516,53.77414857598088
DeWitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,30.088258892752073,15.029558130990946,5.005005005005005,15.033072760072159,10.034115994380896,25.115531444645367,45.26252263126131,0.0,25.20669489816495,10.094891984655764,0.0,30.35822707953856,65.85612968591693,20.263424518743665,111.44883485309018
DuPage,10.78801693498495,10.737729496141174,15.050320419140517,13.282246763894891,0.0,14.2127148683116,10.180815617631094,0.0,12.952028492735748,14.438237797992029,0.0,14.496150842435753,34.94565735890155,32.15858039162719,63.88837971136603
Edgar,5.173841059602649,15.829463908822287,43.066322136089575,16.299918500407497,21.937040693210484,33.21707357581797,22.3563603845294,0.0,45.58404558404558,40.27849703665343,0.0,41.087045841404006,11.858176212498517,41.50361674374481,59.29088106249259
Edwards,0.0,14.696516925488659,14.878738282993602,29.96973057212216,60.37006852002777,60.80690766471071,0.0,30.849915162733303,31.078099263449047,15.65484204264379,15.77237311125832,0.0,0.0,32.02562049639712,160.12810248198556
Effingham,20.43397878758393,37.95694320084089,20.442731148881492,14.583807307070815,32.04455941643944,37.8239035432269,31.965221838639557,0.0,11.595009507907797,37.63730377936434,0.0,57.761065576137746,103.84215991692626,54.805584400599976,138.45621322256838
Fayette,45.63154052080798,40.858327532459676,9.033423667570009,27.180314204432204,36.34777551613841,0.0,0.0,0.0,32.185683807842274,64.56492464350939,0.0,27.838093647347026,93.0752047654505,60.49888309754281,130.30528667163068
Ford,21.145126048445835,7.074971110534632,49.71237838221717,35.64731967803341,35.78688196054854,21.556524800781784,21.64158647256568,0.0,29.084986330056427,43.801695125601356,0.0,36.79527842987188,73.88798581350673,51.721590069454706,132.99837446431212
Franklin,58.6749661981173,73.64144235652616,50.55483936199793,43.163312200237144,66.31029135721863,53.799389761207564,77.20378195593209,0.0,38.95415874598772,41.74156233450123,0.0,52.65971031893354,79.3566818326103,34.3878954607978,68.7757909215956
Fulton,0.0,32.031889525572126,24.27904718228169,32.67706886692263,8.24696923880474,27.753878604534982,33.62757461118117,0.0,22.861715200182893,34.635033336219585,0.0,35.34089235753203,86.28641137790473,41.655508941057455,130.917313814752
Gallatin,0.0,34.046416614651314,143.13830738951512,18.100530345539124,36.62735330745,18.531902670447174,18.755392175250382,0.0,38.43788437884379,0.0,0.0,39.91776939504621,60.655074807925594,121.31014961585119,80.87343307723413
Greene,41.46701068927386,42.32008087837679,43.208987469393634,29.20582072006951,51.8295843267337,30.039727539671215,45.71219601389651,0.0,15.691935914133726,87.61240273032107,0.0,57.49439429655609,91.7813934084272,33.37505214851898,83.43763037129746
Grundy,43.15408405456594,15.254865212369518,13.98238219842998,11.926058437686345,23.73558557667583,35.4302810802299,41.135335252982316,0.0,0.0,28.962001853568115,0.0,34.42604138775198,32.360611425199394,36.16774218110521,34.26417680315231
Hamilton,11.67360597688626,23.497160759741533,59.12262031453234,95.11806529855183,0.0,24.044819543629327,36.26955533525159,24.316109422492403,24.45406304257452,36.8903863653132,49.46944025328354,49.754956837574944,87.576629550857,50.04378831477543,100.08757662955087
Hancock,25.27550298250935,15.429717636167258,0.0,15.826457616746502,37.21978816623421,16.078204386134157,10.804736796611634,16.338089532730642,21.961611103790577,38.74853309124726,0.0,16.88390626055244,39.727582292849036,28.37684449489217,90.80590238365494
Hardin,86.20689655172414,22.32142857142857,46.2962962962963,70.5401020480143,0.0,24.279505669264573,98.72642906506071,0.0,102.1085413794864,77.91600654494454,0.0,0.0,27.40476842970677,27.40476842970677,54.80953685941354
Henderson,50.51142821063266,0.0,0.0,41.45593234391841,56.00515247402761,14.188824881523313,28.76290735467541,0.0,14.782840079236022,29.98410842253606,0.0,61.715061560773904,15.65680288085173,31.31360576170346,219.19524033192423
