County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,100.16842043239367,57.7826286651225,78.98305589914013,77.6508816361638,70.32790761007814,70.47195216303912,37.562014886577735,90.33423667570008,72.41632143191207,39.306512181995195,72.71603479462266,39.46952952320808,68.45459938847225,48.67882623180249,161.24861189284573
Alexander,21.883434240280106,46.036983043044586,72.83321194464676,88.18119976820942,78.55048177628822,81.7594636579184,42.62090128999261,0.0,77.64939744067586,16.288236635501843,0.0,108.30715910321673,76.33587786259542,95.41984732824427,267.17557251908397
Bond,50.91073650865483,56.42385600631947,78.79333633498423,67.93593641196352,28.474777042495756,68.74781582460142,51.87080710975862,40.587945380222074,64.16912648318184,58.69267926211563,76.7704445599282,83.18824906561771,53.81165919282512,83.70702541106128,191.3303437967115
Boone,56.62966377952184,41.967545098457194,33.231791747438386,55.45973346052099,53.68223081137915,40.77857419568896,31.55265023701609,0.0,68.85668133127879,48.450424966131294,0.0,31.76400465622939,54.25834455919773,39.29052537045352,101.03277952402335
Brown,57.58986418390363,86.43872454859778,144.15453366008362,43.68274677111697,44.12803012473523,44.58248502771544,75.07732964953902,0.0,122.67680794945716,30.99862056138502,0.0,31.679153533017598,48.04612427930814,0.0,96.09224855861628
Bureau,62.27355072463767,59.73885585867494,65.75561781691349,89.06868632307224,46.20111344683407,46.43360864593792,32.08456324159092,0.0,97.23728254207722,59.234336960449234,0.0,83.78868493658992,114.30634099386354,102.27409457345686,168.45144988569368
Calhoun,0.0,78.62665443585377,117.90135586559245,79.62100402086071,60.500947848182946,61.307066661217156,20.711652375626528,0.0,42.57311933245349,64.7584509778526,0.0,44.422726666962824,90.15100292990759,157.7642551273383,315.5285102546766
Carroll,86.18036318867344,37.93626707132018,136.47884577890426,64.8571521224503,129.44983818770226,96.88983625617672,45.12344485270418,0.0,57.781201848998464,57.66458433445459,0.0,44.669921189496186,108.26646287097185,50.94892370398676,203.79569481594703
Cass,116.98186781048936,21.96246858146856,65.97273127107462,110.44028861728759,110.93033574914952,29.71326697370376,67.15415609610505,0.0,60.23189278723084,45.37891393132657,0.0,91.58907037093573,61.34028523232633,61.34028523232633,92.01042784848948
Champaign,37.47196294201303,26.296295659736245,41.27689836434074,31.25629467045447,30.687326826960106,28.14589647643003,29.064812561516412,0.0,38.244405284788435,41.57906528304582,0.0,58.426401722410326,54.8903407572924,52.4615646175892,107.83766060282223
Chicago,0.0,33.77492937311124,25.485996057275603,26.585926417709334,25.094650071920753,35.30277571301831,35.71541661481181,0.0,24.687535765746464,46.17100995148199,0.0,48.62640439293783,67.06991146189104,70.856703422823,96.05343454748564
Christian,71.06041082392177,65.73181419807187,71.83908045977012,74.8778914385771,77.93017456359101,34.71257983893363,69.57973838018368,0.0,75.71521759388688,67.12898104044083,0.0,38.1133314569847,73.46027268453221,94.02914903620122,193.93511988716503
Clark,71.49808345415185,120.7778090905431,97.94918885827977,73.85978949959993,68.07351940095303,74.66865783087549,112.61965838703622,0.0,82.24204466375656,44.532094916979446,0.0,57.90387955993051,58.23358136525397,51.76318343578131,129.40795858945327
Clay,104.80959590078027,63.99620763214032,79.62359753890698,116.25963683395943,109.41238256404272,51.25614158410767,44.104026697637494,0.0,59.264527217234125,44.622604323930354,0.0,29.98343415263067,52.6791089704997,45.153521974714025,195.66526189042747
Clinton,66.1570126433402,62.12913856598745,39.72247232667761,23.88807639937679,63.847786876087405,47.99603232799422,50.779329071433146,69.64814293941951,45.64469098544203,53.824354982385984,53.949654182716685,37.85287668343909,40.65150817095314,59.622211984064606,124.66462505758963
Coles,74.87598664711572,46.600638739421655,74.24869600727637,56.4206725344166,78.13840025919079,36.70079196445818,39.162701443145544,0.0,68.45591640324562,51.05583466078503,0.0,42.04860819106888,57.61474937584022,72.55190662142842,153.63933166890723
Cook,32.03504956716942,37.40939970472071,30.569766154764253,31.81002950433093,48.5333654509452,38.2645132872708,40.90283617358062,0.0,31.412147090630587,61.984873329579074,0.0,44.65154933282383,57.70024344422686,62.26849530692681,104.52008618642145
Crawford,103.7532319955205,104.84971540791531,55.50789725992834,60.90381257866743,71.46722206907818,77.01944997843457,82.6369449121466,67.53948462177888,73.16741750373676,73.60518180479905,58.18074111685866,31.927121025073433,32.12163392044542,48.18245088066813,171.31538090904223
Cumberland,80.46730643142398,26.987315961498098,117.66835626357712,36.40268651826504,54.90282200505106,55.20490219531494,37.00688328029014,93.03190994511117,18.710474123414286,28.223606224245962,56.76657584014533,38.05971569392377,76.55502392344498,38.27751196172249,153.11004784688996
DeKalb,29.671703791619862,29.068893277066646,35.18448079117535,38.209502703322315,38.383295589759335,41.45057741618307,28.083359157111868,0.0,46.913483717111696,0.0,0.0,41.62784704739627,45.807608046205935,56.76160127464649,111.53156741684923
DeWitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,65.19122760096283,50.09852710330316,50.05005005005005,70.15433954700342,70.23881196066627,80.36970062286518,40.23335345001006,0.0,40.33071183706392,60.56935190793458,0.0,65.77615867233354,55.72441742654509,40.52684903748733,182.370820668693
DuPage,35.666504968725754,33.528012508359176,30.755002595634974,31.79029553325662,0.0,32.33121397524319,32.058738540625576,0.0,30.437266957929005,31.785672764236182,0.0,31.13987958745458,31.51540878379465,32.694556731487644,72.67839168507744
Edgar,98.30298013245033,63.31785563528915,107.66580534022395,81.49959250203749,76.7796424262367,132.86829430327188,72.65817124972054,0.0,102.56410256410257,63.29478105759826,0.0,58.69577977343429,83.00723348748961,77.07814538124036,154.15629076248072
Edwards,43.55611479456032,44.089550776465984,89.27242969796161,59.93946114424432,45.27755139002083,106.41208841324374,91.875172265948,77.12478790683325,93.23429779034714,62.61936817057516,78.8618655562916,31.78336458697517,96.07686148919134,48.03843074459567,192.1537229783827
Effingham,52.544516882358664,67.15459181687234,70.08936393902226,61.251990689697415,78.65482765853318,61.10015187752038,52.30672664504655,0.0,49.27879040860813,37.63730377936434,0.0,40.43274590329642,40.38306218991577,83.65062882196838,161.53224875966308
Fayette,82.13677293745437,68.09721255409946,40.65040650406504,90.60104734810734,63.608607153242225,0.0,0.0,0.0,45.979548296917535,46.11780331679242,0.0,41.75714047102054,51.191362620997765,46.53760238272525,232.68801191362618
Ford,98.67725489274721,63.67473999481168,56.81414672253391,71.29463935606682,78.7311403132068,129.3391488046907,64.92475941769705,0.0,116.33994532022571,51.10197764653492,0.0,44.154334115846254,44.33279148810403,103.44318013890941,192.10876311511748
Franklin,96.94124850123727,66.02336211274759,126.38709840499482,104.09975295351312,122.41899942871134,58.92314116703685,74.63032255740102,0.0,127.25025190355989,83.48312466900246,0.0,84.25553651029367,79.3566818326103,74.06623637710295,238.07004549783093
Fulton,0.0,64.06377905114425,48.55809436456338,114.36974103422922,71.4737334029744,72.16008437179096,78.46434075942273,0.0,122.88171920098304,75.04257222847578,0.0,53.01133853629804,53.55708292421673,53.55708292421673,243.98226665476508
Gallatin,0.0,68.09283322930263,71.56915369475756,90.50265172769562,109.88205992235001,129.7233186931302,0.0,0.0,153.75153751537516,58.378252155130475,0.0,79.83553879009241,0.0,80.87343307723413,242.62029923170238
Greene,82.93402137854773,49.373427691439595,43.208987469393634,65.71309662015639,81.44648965629582,30.039727539671215,30.47479734259767,0.0,156.91935914133728,143.36574992234355,0.0,73.9213640955721,58.40634125990822,66.75010429703796,283.68794326241135
Grundy,23.974491141425524,37.047529801468826,25.967281225655675,55.6549393758696,33.62541290029076,45.27202582473821,45.05298622945682,0.0,0.0,28.962001853568115,0.0,57.376735646253294,74.23904974016332,47.58913444882265,129.44244570079758
Hamilton,105.06245379197634,70.4914822792246,23.649048125812936,59.44879081159488,83.69001219483033,84.15686840270264,48.35940711366879,121.58054711246201,110.04328369158536,49.1871818204176,98.93888050656707,49.754956837574944,37.53284123608157,62.55473539346928,250.21894157387712
Hancock,50.5510059650187,30.859435272334515,62.814070351758794,89.68325982823018,58.48823854693947,53.59401462044718,86.43789437289307,38.12220890970483,71.37523608731938,66.42605672785244,0.0,61.90765628869228,90.80590238365494,62.42905788876277,181.61180476730988
Hardin,86.20689655172414,111.60714285714285,138.88888888888889,117.5668367466905,95.56118304744612,97.11802267705829,49.36321453253036,0.0,127.63567672435798,77.91600654494454,0.0,80.72979736820861,27.40476842970677,82.2143052891203,383.66675801589474
Henderson,50.51142821063266,26.229508196721312,95.48492702223434,96.7305088024763,70.00644059253452,28.377649763046627,57.52581470935082,0.0,177.39408095083226,74.96027105634015,0.0,154.28765390193476,62.62721152340692,109.59762016596211,62.62721152340692
Henry,68.84072223752017,67.10879519974736,61.403161272431966,75.4480222690794,51.74582451000684,53.864906813711215,45.995216497484265,0.0,92.4348133620551,36.25771987285626,0.0,62.74770161241352,56.81357032708384,87.2494115737359,170.44071098125153
ILLINOIS,89.13110782528834,78.07177675384214,74.80233144921773,77.24613146233494,58.68424097259618,78.30582470639457,81.54783913045257,1726.1770334359512,80.2630055369554,67.05682572527192,466.27968441832286,92.35609464419095,110.58793747887775,117.73351983605882,105.0226279978029
Iroquois,94.17011235468578,79.32136168337556,53.83942391816407,91.66867545554238,68.51708473507868,79.51406534673319,66.29078627850504,88.03591865481117,85.3078547207234,82.52808646072918,61.58260037963861,87.7799357011971,84.94294050300994,84.94294050300994,228.97662222550503
Jackson,46.811783194569834,44.988003199146895,48.15835796605666,38.6596205306117,45.942432430592895,27.5649153757098,52.337387736303306,0.0,60.85381481826188,63.46650419241594,0.0,61.45434500841738,60.406992109336656,56.631555102503114,162.34379129384226
