County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,39.77275517168572,47.41138762266462,41.7268974561495,38.8254408180819,52.37184609261137,56.97732302543587,70.61658798676613,78.28967178560676,57.329587800263724,66.51871292337648,84.83537392705976,74.38488256296908,57.80610615026545,54.7636795107778,127.78191885848152
Alexander,32.82515136042016,23.018491521522293,72.83321194464676,12.597314252601347,52.36698785085882,27.25315455263947,85.24180257998522,0.0,108.70915641694621,195.4588396260221,0.0,108.30715910321673,114.50381679389314,95.41984732824427,152.67175572519085
Bond,62.22423351057812,28.211928003159734,95.67762269248087,39.62929624031205,56.94955408499151,34.37390791230071,86.45134518293105,86.97416867190444,52.50201257714879,29.346339631057816,47.24335049841735,41.594124532808856,65.76980568011957,95.66517189835575,119.58146487294471
Boone,37.0270878558412,21.98299981347758,29.53937044216745,18.48657782017366,46.27778518222341,25.950001760892974,38.97680323396104,0.0,42.802801908632766,54.04085861606952,0.0,44.84330069114738,44.903457566232596,35.548570573267476,112.2586439155815
Brown,28.794932091951814,0.0,28.83090673201672,43.68274677111697,0.0,74.30414171285908,60.061863719631226,0.0,15.334600993682145,30.99862056138502,0.0,31.679153533017598,80.07687379884689,112.10762331838565,96.09224855861628
Bureau,59.4429347826087,45.51531874946662,62.896677911830295,37.35138458709481,40.42597426597982,72.55251350927801,64.16912648318184,0.0,73.66460798642214,79.96635489660648,0.0,59.849060668992806,66.1773553122368,72.19347852244013,144.38695704488026
Calhoun,0.0,78.62665443585377,98.25112988799373,19.905251005215177,60.500947848182946,20.435688887072384,41.423304751253056,0.0,63.85967899868023,86.34460130380347,0.0,66.63409000044423,135.2265043948614,45.075501464953796,225.377507324769
Carroll,61.55740227762388,63.22711178553364,97.48488984207448,25.94286084898012,64.72491909385113,71.05254658786293,58.015857667762525,0.0,44.940934771443246,83.29328848310108,0.0,57.43275581506652,63.68615462998344,70.05477009298178,140.10954018596357
Cass,36.55683369077793,65.88740574440567,21.990910423691542,44.176115446915034,110.93033574914952,44.56990046055564,59.69258319653783,0.0,7.528986598403855,75.63152321887763,0.0,91.58907037093573,84.34289219444871,38.33767827020396,168.68578438889742
Champaign,36.40133542938408,32.48365934438007,29.83872170916198,23.81431974891769,35.141938785712384,36.04649899612969,36.454171687325676,0.0,40.20565683785451,33.263252226436656,0.0,33.108294309365846,36.43164209554806,37.88890777936997,102.00859786753455
Chicago,0.0,27.0416637103045,24.929533261265217,23.66073395670789,29.455723280295782,30.212093321799372,29.308733634422886,0.0,41.781728435639266,26.87511602251212,0.0,25.608203963872732,49.84729033188319,45.987675448625616,84.76588158701539
Christian,56.848328659137415,31.436954616469155,45.97701149425287,40.31886462077228,63.49866075551861,52.06886975840045,66.6805826143427,0.0,72.80309384027585,67.12898104044083,0.0,111.40819964349375,64.64503996238834,52.891396332863195,117.53643629525152
Clark,65.53990983297253,72.46668545432587,79.58371594735232,43.084877208099954,61.88501763723002,56.00149337315662,56.30982919351811,0.0,63.26311127981274,44.532094916979446,0.0,77.20517274657402,71.17437722419929,64.70397929472664,77.64477515367194
Clay,69.8730639338535,56.88551789523583,94.10061527325371,79.92850032334712,65.64742953842563,51.25614158410767,29.40268446509166,0.0,66.6725931193884,81.80810792720565,0.0,52.471009767103666,60.20469596628537,82.78145695364239,150.51173991571343
Clinton,41.34813290208762,48.622804095120614,37.0743075048991,34.504999243544255,39.904866797554625,42.663139847105974,32.071155203010406,50.89671984034503,48.3296728081151,59.20679048062457,53.949654182716685,48.667984307278836,65.04241307352503,43.36160871568335,81.30301634190629
Coles,35.566093657379966,35.41648544196046,48.261652404729645,33.852403520649965,32.39884888795716,54.08537763183311,37.204566370988275,0.0,42.28159542553406,61.26700159294204,0.0,90.40450761079808,40.54371252373941,40.54371252373941,68.28414740840321
Cook,26.711550431814786,24.983998887232097,24.6598680379427,22.065204755874266,40.550020244304946,28.262472257748843,28.505718381026714,0.0,39.07922852987375,50.197273762448674,0.0,28.837458944115397,51.4449608106543,50.36450290121904,97.73405229909122
Crawford,34.5844106651735,49.9284359085311,35.323207347227125,55.82849486377847,61.25761891635272,87.28870997555916,41.3184724560733,36.36741479634248,88.84614982596607,73.60518180479905,79.33737425026182,63.854242050146865,48.18245088066813,64.24326784089084,149.90095829541195
Cumberland,35.7632473028551,62.970403910162226,90.51412020275163,72.80537303653009,36.60188133670071,36.80326813020996,64.76204574050773,27.909572983533355,56.13142237024286,84.67081867273788,75.68876778686042,85.63436031132848,47.84688995215311,76.55502392344498,114.83253588516747
DeKalb,33.91051861899413,41.097400839990776,21.87143400532522,27.701889459908678,25.90872452308755,28.919007499662612,29.051750852184693,0.0,39.094569764259745,0.0,0.0,36.67215097032529,52.778331009759015,42.820155347540336,77.67377016530571
DeWitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,55.16180797004547,20.039410841321263,40.04004004004004,40.08819402685909,65.22175396347582,45.20795660036166,35.2041842687588,0.0,55.45472877596289,85.806581869574,0.0,65.77615867233354,30.395136778115504,60.79027355623101,182.370820668693
