County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,288.7207412463112,265.2074495142802,272.7150798026914,306.12366798872273,279.8152919805236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander,218.83434240280107,207.1664236937006,327.74945375091045,352.7247990728377,248.74319229157942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bond,141.41871252404118,112.84771201263894,185.72714993246285,232.11444940754203,216.40830552296774,0.0,0.0,545.0381236772679,0.0,0.0,596.447300042519,0.0,0.0,0.0,0.0
Boone,141.57415944880458,101.92118095339603,110.77263915812794,170.0765159455977,174.00447228516003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown,201.5645246436627,230.50326546292743,302.72452068617554,131.0482403133509,205.9308072487644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bureau,195.3125,156.4589082012915,188.69003373549086,229.85467438212194,190.57959296819055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calhoun,0.0,117.93998165378063,19.650225977598744,278.6735140730124,161.33586092848788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carroll,196.98368728839642,240.26302478502782,259.95970624553195,278.8857541265363,291.2621359223301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cass,233.96373562097872,153.73728007027992,263.8909250842985,191.42983360329848,273.62816151456883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Champaign,146.6759692301653,152.62163755454765,130.79306349182667,163.7234482738091,125.71904861367527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicago,0.0,149.90566188001463,150.09656484386767,165.84730421298067,161.35970870987626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,252.9750625331615,225.77449224555122,218.39080459770113,256.31278223205237,184.72337674332687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark,202.5779031200969,229.4778372720319,177.53290480563209,289.28417554009974,198.03205643913608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clay,230.58111098171653,270.20621000237026,354.68693449149475,268.85041017853126,299.06051234171673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinton,206.74066451043808,151.2709460737086,195.96419681160953,193.75884190605618,178.24173836241067,0.0,0.0,348.2407146970976,0.0,0.0,264.3533054953118,0.0,0.0,0.0,0.0
Coles,170.34286962218826,149.12204396614928,187.47795741837282,199.35304295493867,194.39309332774295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook,165.02847319599374,160.4836607882068,162.58957490122097,178.63589982673818,268.5551269752974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crawford,197.62520380099141,239.6564923609493,227.0777615178887,233.46461488489177,204.19206305450905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumberland,187.7570483399893,251.8816156406489,190.07965242577842,309.4228354052529,210.46081768602906,0.0,0.0,1535.0265140943343,0.0,1571.1140798163585,1636.769603390857,0.0,0.0,0.0,0.0
DeKalb,146.2391115444122,158.37534957850104,150.2472422974515,160.47991135395372,165.04817103596514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeWitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,215.6325220647232,165.32513944090041,200.2002002002002,165.36380036079376,260.8870158539033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuPage,138.81315668383698,140.79573880144295,150.0669630198359,174.62888368268364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edgar,248.34437086092717,163.5711270578303,220.7149009474591,179.29910350448247,224.8546671054075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edwards,217.78057397280165,249.84078773330722,312.45350394286567,164.83351814667188,211.29523982009718,0.0,0.0,1249.4215640906987,0.0,0.0,993.6595060092741,0.0,0.0,0.0,0.0
Effingham,201.42064804904157,131.38941877214154,213.18848198119267,233.34091691313304,262.1827588617773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fayette,196.21562423947432,158.8934959595654,198.73532068654018,185.73214706362006,213.54318115731317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ford,324.2252660761695,339.5986133056623,362.1901853561537,506.1919394280744,357.86881960548544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franklin,242.3531212530932,256.4753682072118,250.24645484188974,269.1359466603022,262.6907696074431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulton,0.0,328.3268676371143,304.83692573309236,348.5554012471748,346.37270802979907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallatin,0.0,187.2552913805822,161.0305958132045,289.608485528626,146.5094132298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greene,186.6015481017324,260.97383208332354,194.44044361227134,255.5509313006082,266.55214796605907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grundy,170.21888710412122,124.21818815786605,169.786069552364,153.05108328364142,152.3033407836699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamilton,105.06245379197634,140.9829645584492,141.8942887548776,190.23613059710365,83.69001219483033,0.0,0.0,0.0,0.0,0.0,556.5312028494398,0.0,0.0,0.0,0.0
Hancock,197.14892326357295,205.72956848223012,167.50418760469012,184.6420055287092,170.1476030456421,0.0,0.0,70.79838797516611,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hardin,258.6206896551724,178.57142857142856,277.77777777777777,282.1604081920572,262.79325338047687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henderson,202.04571284253063,118.03278688524591,122.76633474287274,138.1864411463947,168.01545742208285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry,167.18461114826323,223.03805463445443,245.61264508972786,270.0245007524947,252.7584504911873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILLINOIS,351.5712895207776,320.44414054867633,324.3632114097627,360.96194385876635,269.2322189578543,1.15851761019642,1.0398174493995251,378.27911233671296,0.0,1.371488352969787,89.51972146364595,0.0,0.0,0.0,0.0
