County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,32.40743013989207,23.70569381133231,38.74640478071025,41.812013188703595,44.89015379366689,47.98090360036706,66.10914620037681,61.72839506172839,51.294894347604384,72.56586864368343,74.23095218617729,54.65011780136504,94.31522582411732,62.36974610949694,185.58802500874697
Alexander,10.941717120140053,11.509245760761146,0.0,37.79194275780404,26.18349392542941,54.50630910527894,28.41393419332841,0.0,0.0,65.15294654200737,0.0,36.102386367738916,95.41984732824427,95.41984732824427,343.51145038167937
Bond,50.91073650865483,50.78147040568753,50.65285907248987,50.95195230897263,22.779821633996605,28.644923260250586,46.10738409756323,92.77244658336474,29.16778476508266,41.08487548348094,41.33793168611518,35.65210674240759,71.74887892376681,41.85351270553064,71.74887892376681
Boone,37.0270878558412,33.973726984465344,14.769685221083725,24.03255116622576,22.213336887467236,29.657144869591974,14.848305993889923,0.0,29.77586219730975,31.679124016316614,0.0,46.71177155327852,59.871276754976805,50.51638976201168,104.77473432120941
Brown,0.0,0.0,0.0,14.560915590372321,14.709343374911745,14.860828342571814,0.0,0.0,30.66920198736429,30.99862056138502,0.0,0.0,0.0,96.09224855861628,128.122998078155
Bureau,50.951086956521735,31.291781640258296,42.88409857624793,31.60501772754176,25.988126313844166,23.21680432296896,52.50201257714879,0.0,53.038517750223946,23.693734784179696,0.0,41.89434246829496,75.20154012754182,69.18541691733847,150.40308025508364
Calhoun,0.0,39.31332721792688,19.650225977598744,0.0,40.33396523212197,40.87137777414477,41.423304751253056,0.0,42.57311933245349,86.34460130380347,0.0,177.6909066678513,45.075501464953796,22.537750732476898,270.4530087897228
Carroll,6.155740227762388,12.645422357106728,25.99597062455319,19.457145636735092,25.88996763754045,32.29661208539224,12.89241281505834,0.0,12.840267077555213,12.81435207432324,0.0,31.907086563925848,127.37230925996688,76.42338555598013,101.89784740797352
Cass,43.86820042893351,14.641645720979039,0.0,0.0,14.790711433219938,0.0,14.923145799134458,0.0,7.528986598403855,15.126304643775526,0.0,0.0,46.00521392424474,53.67274957828554,122.68057046465266
Champaign,27.301001572038064,26.296295659736245,24.865601424301648,30.76016300901868,30.1923699426543,18.763930984286688,16.749214018500986,0.0,26.967208854658516,36.19824506994578,0.0,37.49027443854662,27.688047992616518,28.6595584484978,101.03708741165326
Chicago,0.0,12.959726383251688,12.79864430823884,13.700268488234618,11.457056733866617,12.948039995056874,16.200807536615667,0.0,21.862958865356454,19.698654523312698,0.0,16.269599669355042,25.779314503267564,21.082236013265426,45.368680608857886
Christian,25.581747896611837,40.010669511869835,28.735632183908045,51.83854022670722,75.04387180197654,31.819864852355828,20.29409036088691,0.0,55.33035131860964,23.34921079667507,0.0,35.181536729524346,70.52186177715092,73.46027268453221,182.18147625763987
