County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,55.976470241631766,23.70569381133231,22.353695065794376,31.359009891527695,31.423107655566827,23.99045180018353,19.532247741020424,27.100271002710027,24.138773810637357,31.747567531611505,30.29834783109277,22.77088241723543,30.42426639487655,34.987906354108034,85.18794590565435
Alexander,32.82515136042016,80.56472032532801,36.41660597232338,50.38925701040539,117.82572266443236,54.50630910527894,56.82786838665682,0.0,77.64939744067586,65.15294654200737,0.0,90.25596591934729,19.083969465648856,38.16793893129771,229.00763358778627
Bond,45.253988007693174,28.211928003159734,22.512381809995496,22.64531213732117,11.389910816998302,22.91593860820047,28.817115060977013,40.587945380222074,11.667113906033064,17.60780377863469,29.527094061510848,17.826053371203795,29.895366218236177,17.937219730941703,83.70702541106128
Boone,15.246447940640495,5.995363585493886,12.92347456844826,20.33523560219103,16.660002665600427,14.828572434795987,24.128497240071127,0.0,29.77586219730975,18.63477883312742,0.0,5.605412586393422,16.838796587337225,33.67759317467445,44.903457566232596
Brown,14.397466045975907,14.406454091432964,14.41545336600836,14.560915590372321,29.41868674982349,29.72165668514363,45.046397789723414,0.0,30.66920198736429,30.99862056138502,0.0,15.839576766508799,48.04612427930814,16.015374759769376,64.0614990390775
Bureau,28.306159420289855,34.13648906209996,8.576819715249584,20.11228400843567,31.763265494698427,34.825206484453446,55.41879105365705,0.0,53.038517750223946,44.425752720336924,0.0,38.901889434845316,12.03224642040669,18.048369630610033,12.03224642040669
Calhoun,0.0,39.31332721792688,0.0,19.905251005215177,0.0,61.307066661217156,41.423304751253056,0.0,42.57311933245349,43.172300651901736,0.0,0.0,45.075501464953796,90.15100292990759,270.4530087897228
Carroll,36.934441366574326,18.96813353566009,25.99597062455319,51.88572169796024,25.88996763754045,19.377967251235347,12.89241281505834,0.0,25.680534155110426,32.035880185808104,0.0,19.14425193835551,19.105846388995033,38.211692777990066,89.16061648197682
Cass,14.62273347631117,21.96246858146856,43.981820847383084,0.0,36.97677858304984,29.71326697370376,37.30786449783614,0.0,37.64493299201927,52.942066253214335,0.0,15.264845061822625,7.667535654040791,15.335071308081583,107.34549915657108
Champaign,14.453471420490738,14.437181930835587,10.940864626692726,12.40329153589463,12.373922107645203,11.850903779549487,15.271342193339132,0.0,10.296570653596886,11.25080590011828,0.0,14.119713749582495,16.029922522041144,15.544167294100504,54.40458552935176
Chicago,0.0,20.380798753549445,22.18431680094732,20.95770801173187,17.48125108102874,16.56316227287902,18.33636853007864,0.0,16.58063323345825,16.549798967541523,0.0,17.98410905155165,29.711752308850752,26.507543726523714,53.816139598629185
Christian,42.63624649435306,31.436954616469155,25.862068965517242,25.91927011335361,8.658908284843445,20.24900490604462,20.29409036088691,0.0,17.472742521666202,40.861118894181374,0.0,32.249742002063975,23.507287259050305,29.38410907381288,29.38410907381288
Clark,11.916347242358642,30.194452272635775,42.85277012549739,24.619929833199972,6.188501763723003,37.334328915437744,18.769943064506037,0.0,63.26311127981274,25.446911381131113,0.0,19.301293186643505,51.76318343578131,32.35198964736332,90.58557101261727
