County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,293.1399362653874,291.87635505202906,228.00768967110264,297.16395087685765,269.3409227620014,284.88661512717937,256.92418182419175,243.90243902439025,307.7693660856263,291.7752635048105,274.2000478713896,227.7088241723543,237.30927788003711,269.2547575946575,498.9579688759755
Alexander,295.42636224378145,437.35133890892354,339.88832240835154,365.32211332543903,340.38542103058234,299.78470007903417,426.20901289992617,0.0,496.95614362032546,342.05296934553866,0.0,361.02386367738916,343.51145038167937,400.76335877862596,687.0229007633587
Bond,243.24018554135085,242.62258082717375,292.66096352994145,198.14648120156025,222.1032609314669,252.07532469020518,207.4832284390345,295.7121734844751,303.3449615568597,281.72486045815504,224.40591486748244,291.158871729662,400.5979073243647,310.9118086696562,633.7817638266068
Boone,206.9160791944067,159.87636227983694,131.08095633711807,153.4385959074414,155.49335821227064,177.94286921755182,187.45986317286028,0.0,132.130388500562,177.0303989147105,0.0,179.3732027645895,175.87187546774433,211.42044604101181,430.32480167639574
Brown,259.1543888275663,216.09681137149443,201.81634712411704,160.17007149409557,191.22146387385268,193.19076845343358,105.10826150935462,0.0,153.34600993682145,201.49103364900265,0.0,190.07492119810559,240.2306213965407,256.24599615631,384.3689942344651
Bureau,288.7228260869565,264.55779023127474,280.17611069815314,270.07924239899324,274.31911109057734,325.0352605215655,317.928853939401,0.0,321.17769082080054,278.40138371411143,0.0,326.17738064601076,309.83034532547225,276.7416676693539,565.5155817591144
Calhoun,0.0,432.44659939719566,275.1031636863824,398.10502010430355,363.0056870890977,429.14946662852003,352.098090385651,0.0,319.29839499340113,259.0338039114104,0.0,333.1704500022212,405.67951318458415,360.60401171963036,856.434527834122
Carroll,301.6312711603571,290.8447142134547,298.95366218236177,265.91432370204626,220.06472491909383,297.12883118560865,360.98755882163346,0.0,391.628145865434,281.9157456351113,0.0,287.1637790753326,356.64246592790727,350.27385046490895,738.7593937078079
Cass,343.6342366933125,395.324434466434,249.2303181351708,250.33132086585184,177.48853719863925,259.9910860199079,417.8480823757648,0.0,376.4493299201927,287.399788231735,0.0,282.3996336437185,283.6988191995093,276.0312835454685,306.7014261616317
Champaign,135.96969410387584,121.68481913132852,114.38176655178759,128.99423197330415,123.73922107645204,144.679783642,140.89044733209653,0.0,137.77792160289167,137.4554981710103,0.0,147.52666434908608,159.32771476453016,161.27073567629273,528.5016879994171
Chicago,0.0,190.08805373870004,188.3441076896481,185.43498537588908,184.97602888065293,181.75211696765018,178.9084632282171,0.0,180.73623880807256,175.16424393964303,0.0,176.81333990440334,194.80131722101902,181.1106078238035,365.425424229934
Christian,270.0295611309027,271.50097168768815,318.96551724137936,239.03326882314997,337.6974231088944,309.5205035638249,263.8231746915298,0.0,279.56388034665923,288.946483608854,0.0,366.4743409325452,276.2106252938411,296.77950164551015,716.9722614010343
Clark,411.11397986137314,301.9445227263578,342.82216100397915,240.04431587369973,278.4825793675351,385.78806545952335,306.5757367202653,0.0,221.4208894793446,337.1715757999873,0.0,334.5557485684874,342.9310902620511,329.9902944031058,647.0397929472662
Clay,300.45417491557004,348.4237971083195,224.39377488237423,239.78550097004137,299.06051234171673,278.2476257422988,271.97483130209787,0.0,303.7307019883249,275.1727266642372,0.0,322.3219171407797,383.80493678506923,240.81878386514148,857.9169175195665
Clinton,228.79300205821815,243.11402047560307,169.48254859382448,257.46037897106095,289.97536539556364,282.6433014870771,224.49808642107288,291.98644539987407,265.813200444633,298.7251701522422,237.37847840395347,286.6003520317531,308.9514620992439,268.29995392829073,579.9615165722648
Coles,258.3221539325492,221.81904039964704,245.02069682401205,253.89302640487472,259.19079110365726,220.2047517867491,248.68315416397422,0.0,249.66275394124872,255.27917330392518,0.0,245.9843579177529,266.7349508140751,226.19123829033566,516.3988647760493
Cook,202.10485763339298,196.73234158042092,197.25969382107638,194.39676036664838,291.3729093086995,192.4147433303823,191.9831435930222,0.0,189.7316571084354,286.1777807671012,0.0,191.42073636176136,206.89821195589232,194.46346829642684,389.34395543509186
Crawford,301.3784357965119,319.54198981459905,302.77034869051823,248.69056802955865,229.7160709363227,277.2700199223644,325.38297059157725,379.26018287614295,365.8370875186838,278.648188261025,306.7711804343457,271.3805287131242,326.5699448578618,240.91225440334065,610.311044488463
Cumberland,187.7570483399893,242.88584365348285,271.5423606082549,236.6174623687228,210.46081768602906,174.8155236184973,212.78957886166828,232.57977486277792,215.17045241926428,272.82819350104427,189.22191946715108,247.38815201050448,258.3732057416268,277.511961722488,574.1626794258373
DeKalb,169.55259309497063,157.37297394825737,153.10003803727653,136.5989721643773,166.9673358154531,146.5229713316239,139.44840409048652,0.0,138.7857226631221,0.0,0.0,162.54683132792832,180.24297948615813,179.24716191993627,360.48595897231627
DeWitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,245.72078095747526,225.4433719648642,230.2302302302302,270.5953096812989,195.66526189042747,236.08599557966647,206.19593643130153,0.0,231.90159306311756,272.56208358570564,0.0,237.80611212305203,222.89766970618035,314.08308004052685,425.53191489361706
DuPage,155.10526389177343,139.70005211816323,137.41596904432646,141.96762114851586,0.0,146.57540295487766,148.9215050451357,0.0,143.11991484473,149.55428405681295,0.0,154.41085119572307,162.18644044177313,165.9382748207963,332.5197212494252
Edgar,393.2119205298013,390.46010975094975,398.3634797588286,309.69845150774245,422.2880333443019,359.8516304046947,463.89447797898504,0.0,364.67236467236467,258.9331952356292,0.0,399.1313024593532,337.9580220562077,314.2416696312107,913.079568362386
Edwards,464.5985578086435,323.3233723607505,267.8172890938848,329.66703629334376,286.7578254701319,334.43799215590894,306.25057421982666,262.22427888323307,295.241943002766,375.716209023451,346.992208447683,444.9671042176525,400.3202562049639,272.2177742193755,608.4867894315453
Effingham,198.50150822224387,221.90212948183904,210.26809181706676,201.25654083757723,209.7462070894218,235.67201438472145,238.2861991607676,0.0,173.92514261861695,266.35630366934765,0.0,219.49204918932344,184.6082842967578,196.14630206530518,340.3715241721472
Fayette,237.2840107082015,204.29163766229837,185.1851851851852,185.73214706362006,186.28234952020938,0.0,0.0,0.0,262.0834252924299,216.75367558892435,0.0,241.26347827700755,232.68801191362618,204.76545048399106,428.1459419210722
Ford,359.4671428235792,297.1487866424545,340.88488033520343,292.308021359874,271.9803029001689,359.2754133463631,389.54855650618225,0.0,298.12110988307836,394.21525613041223,0.0,272.2850603810519,362.05113048618296,406.3839219742869,768.4350524604699
Franklin,306.1302584249598,228.54240731335702,247.71871287378985,220.89459773062538,249.93879050028565,240.8163160739767,213.59713007807878,0.0,231.12800855952716,300.0174792792276,0.0,252.766609530881,290.9745000529045,301.55539096391914,550.2063273727648
Fulton,0.0,306.9722746200662,299.4415819148075,223.29330392397134,288.64392335816586,260.88645888262886,297.0435757321003,0.0,311.4908696024919,285.73902502381156,0.0,344.5737004859373,342.1702520158291,315.39171055372077,624.8326341158618
Gallatin,0.0,442.603415990467,554.6609411343711,289.608485528626,384.58720972822505,333.5742480680491,450.12941220600925,0.0,403.59778597785976,447.5665998560003,0.0,339.30103985789276,404.36716538617065,485.24059846340475,930.0444803881925
