County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,20.622910089022227,25.187299674540583,14.90246337719625,23.89257896497348,17.956061517466757,19.492242087649117,30.049611909262193,55.70611261668172,45.260200894945044,42.33009004214867,39.3878521804206,25.80700007286682,34.987906354108034,13.69091987769445,33.46669303436421
Alexander,43.76686848056021,23.018491521522293,12.138868657441126,37.79194275780404,78.55048177628822,13.626577276319734,14.206967096664204,0.0,0.0,48.864709906505524,0.0,90.25596591934729,57.25190839694657,57.25190839694657,0.0
Bond,5.656748500961647,22.569542402527787,16.884286357496624,16.98398410299088,22.779821633996605,22.91593860820047,5.763423012195403,23.193111645841185,5.833556953016532,17.60780377863469,29.527094061510848,23.768071161605057,17.937219730941703,17.937219730941703,11.958146487294469
Boone,15.246447940640495,17.986090756481655,7.384842610541862,7.394631128069465,0.0,9.267857771747492,7.424152996944962,0.0,5.582974161995578,5.590433649938226,0.0,9.342354310655702,16.838796587337225,26.193683580302352,18.709773985930248
Brown,28.794932091951814,14.406454091432964,28.83090673201672,14.560915590372321,14.709343374911745,14.860828342571814,15.015465929907807,0.0,30.66920198736429,30.99862056138502,0.0,31.679153533017598,32.03074951953875,0.0,0.0
Bureau,5.661231884057971,8.53412226552499,8.576819715249584,11.492733719106095,14.437847952135648,14.510502701855602,11.667113906033064,0.0,35.35901183348263,23.693734784179696,0.0,17.95471820069784,30.080616051016726,24.06449284081338,36.096739261220065
Calhoun,0.0,19.65666360896344,19.650225977598744,19.905251005215177,0.0,20.435688887072384,20.711652375626528,0.0,0.0,21.586150325950868,0.0,22.211363333481412,45.075501464953796,22.537750732476898,0.0
Carroll,12.311480455524777,25.290844714213456,6.498992656138298,25.94286084898012,32.362459546925564,12.918644834156897,25.78482563011668,0.0,25.680534155110426,6.40717603716162,0.0,6.381417312785169,25.47446185199338,6.368615462998345,12.73723092599669
Cass,14.62273347631117,36.60411430244759,0.0,14.725371815638345,14.790711433219938,7.42831674342594,14.923145799134458,0.0,15.05797319680771,7.563152321887763,0.0,15.264845061822625,30.670142616163165,0.0,107.34549915657108
Champaign,8.56502010103155,14.437181930835587,7.956992455776528,9.922633228715704,13.36383587625682,8.394390177180886,7.881983067529875,0.0,14.70938664799555,8.80497853052735,0.0,11.198393663461978,13.1153911543973,8.743594102931532,42.74646005877638
Chicago,0.0,18.67938216133484,17.064859077651786,15.366517358425313,15.337672724369824,13.501375037580672,14.617546800082772,0.0,10.931479432678227,11.460369639027649,0.0,11.12607152276522,17.441089896984696,12.452719717680093,27.30859587210547
Christian,19.896915030698096,22.863239721068478,20.114942528735632,28.799189014837346,37.52193590098827,28.927149865778023,26.09240189256888,0.0,37.85760879694344,23.34921079667507,0.0,14.65897363730181,29.38410907381288,20.56887635166902,82.27550540667607
Clark,29.790868105896607,12.077780909054312,6.1218243036424855,43.084877208099954,18.565505291169007,12.444776305145915,12.513295376337359,0.0,25.305244511925096,12.723455690565556,0.0,25.73505758219134,12.940795858945327,32.35198964736332,0.0
Clay,41.923838360312104,21.33206921071344,65.14657980456026,14.53245460424493,36.47079418801424,29.289223762347238,29.40268446509166,0.0,44.4483954129256,0.0,0.0,22.487575614473002,15.051173991571343,7.525586995785671,60.20469596628537
Clinton,16.53925316083505,27.012668941733672,13.240824108892536,23.88807639937679,15.961946719021851,21.331569923552987,24.053366402257808,21.430197827513695,13.424909113365302,21.529741992954392,24.277344382222513,27.037769059599352,18.970703813111466,16.260603268381256,32.52120653676251
Coles,11.231397997067358,18.64025549576866,12.993521801273365,3.761378168961107,3.8116292809361365,11.589723778249953,11.748810432943666,0.0,18.120683753800307,16.337867091451212,0.0,12.614582457320662,34.14207370420161,17.071036852100804,38.40983291722681
Cook,18.886194812353555,18.914009820189417,16.632416849947305,15.472552115399637,19.824027880911977,12.588775778536265,14.731143055966825,0.0,11.843924312860715,17.69092083661412,0.0,10.859135296928246,19.163911341035924,11.790259994188274,28.96385413363293
Crawford,0.0,14.978530772559331,20.184689912701216,15.225953144666857,25.52400788181363,41.077039988498434,20.65923622803665,20.781379883624272,20.904976429639074,26.287564930285377,26.44579141675394,10.642373675024478,10.70721130681514,5.35360565340757,32.12163392044542
Cumberland,17.88162365142755,17.991543974332064,0.0,9.10067162956626,0.0,18.40163406510498,27.755162460217605,9.303190994511118,0.0,37.63147496566128,18.922191946715106,9.514928923480943,19.138755980861244,9.569377990430622,38.27751196172249
DeKalb,7.4179259479049655,11.026131932680451,6.656523392925067,7.641900540664463,7.676659117951867,7.711735333243363,8.715525255655407,0.0,10.751006685171431,0.0,0.0,3.9645568616567886,16.928898625771758,10.95399322844055,17.924716191993628
DeWitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,0.0,5.009852710330316,10.01001001001001,20.044097013429546,10.034115994380896,10.046212577858148,35.2041842687588,0.0,15.124016938898972,20.189783969311527,0.0,20.238818053025703,20.263424518743665,15.197568389057752,81.05369807497466
DuPage,9.246871658558529,9.31333680787755,10.142607238986,11.213700136730932,0.0,7.486086457354966,8.231297733403864,0.0,9.498154228006214,8.404347374950584,0.0,8.805069400590606,13.720994300427602,10.07635518937652,26.15564538519012
Edgar,0.0,10.552975939214859,26.91645133505599,27.166530834012494,5.484260173302621,11.07235785860599,16.76727028839705,0.0,5.698005698005698,11.50814201047241,0.0,11.739155954686858,11.858176212498517,47.43270484999407,11.858176212498517
Edwards,0.0,44.089550776465984,44.636214848980806,14.98486528606108,0.0,0.0,0.0,30.849915162733303,0.0,0.0,31.54474622251664,79.45841146743794,64.05124099279423,0.0,32.02562049639712
Effingham,2.9191398267977036,2.9197648616031455,11.68156065650371,26.250853152727466,11.652567060523435,34.91437250144021,14.529646290290708,0.0,20.291266638838646,14.475886068986284,0.0,23.104426230455097,31.72954886350525,5.769008884273681,40.38306218991577
Fayette,4.563154052080798,0.0,18.066847335140018,4.530052367405368,13.630415818551906,0.0,0.0,0.0,13.793864489075261,23.05890165839621,0.0,23.198411372789188,32.57632166790767,9.307520476545049,93.0752047654505
Ford,35.24187674740973,35.37485555267316,14.203536680633478,0.0,28.62950556843883,21.556524800781784,7.213862157521894,0.0,29.084986330056427,21.900847562800678,0.0,7.359055685974376,22.166395744052014,66.49918723215606,73.88798581350673
Franklin,28.061940355621314,38.09040121889284,50.55483936199793,40.62429383551731,48.45752060719824,61.4850168699515,59.189566166214604,0.0,51.93887832798362,33.91501939678225,0.0,26.32985515946677,37.03311818855148,39.67834091630515,42.32356364405883
Fulton,0.0,26.693241271310104,26.976719091424105,21.784712577948426,30.23888720895071,16.65232716272099,16.813787305590584,0.0,25.719429600205753,14.431263890091493,0.0,26.50566926814902,23.803147966318544,8.926180487369455,47.60629593263709
Gallatin,0.0,51.06962492197697,53.676865271068166,18.100530345539124,36.62735330745,18.531902670447174,37.510784350500764,0.0,38.43788437884379,38.91883477008699,0.0,19.958884697523104,40.43671653861706,0.0,80.87343307723413
Greene,27.644673792849243,21.160040439188396,21.604493734696817,29.20582072006951,14.808452664781058,15.019863769835608,7.618699335649418,0.0,62.767743656534904,23.894291653723926,0.0,0.0,16.68752607425949,33.37505214851898,116.81268251981643
Grundy,11.987245570712762,6.537799376729793,9.987415856021412,11.926058437686345,9.889827323614929,15.74679159121329,9.794127441186264,0.0,0.0,15.446400988569664,0.0,7.6502314195004395,17.132088401576155,17.132088401576155,38.07130755905812
