County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,8.838390038152383,10.371241042457886,5.9609853508785005,2.986572370621685,8.978030758733379,7.497016187557353,12.019844763704876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander,0.0,0.0,12.138868657441126,0.0,0.0,13.626577276319734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bond,5.656748500961647,5.642385600631947,11.256190904997748,11.322656068660585,0.0,11.457969304100235,17.29026903658621,545.0381236772679,0.0,0.0,690.9340010393538,0.0,0.0,0.0,0.0
Boone,10.890319957600353,19.984545284979617,22.15452783162559,5.545973346052099,5.553334221866809,9.267857771747492,11.136229495417442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown,28.794932091951814,0.0,0.0,29.121831180744643,0.0,14.860828342571814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bureau,14.153079710144928,5.689414843683328,5.717879810166391,14.365917148882621,8.662708771281387,23.21680432296896,14.58389238254133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calhoun,0.0,19.65666360896344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carroll,18.467220683287163,0.0,19.496977968414896,6.48571521224503,6.472491909385113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cass,7.311366738155585,0.0,14.660606949127693,0.0,7.395355716609969,7.42831674342594,7.461572899567229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Champaign,3.7471962942013026,3.6092954827088968,3.978496227888264,5.9535799372294225,7.91931014889293,8.888177834662116,10.345102776132961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicago,0.0,9.122488962512362,8.38403945988979,8.849632888346145,9.202603634621894,10.845366833466441,10.420064847414167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,8.527249298870613,11.431619860534239,14.367816091954023,8.639756704451203,5.772605523228965,2.892714986577803,17.39493459504592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark,5.958173621179321,6.038890454527156,30.609121518212426,12.309964916599986,6.188501763723003,18.667164457718872,25.026590752674718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clay,0.0,14.221379473808957,0.0,7.266227302122465,0.0,0.0,7.350671116272915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinton,11.026168773890031,5.4025337883467355,5.296329643557015,10.616922844167462,0.0,2.6664462404441234,5.3451925338350685,452.71292910622685,0.0,0.0,296.7230980049418,0.0,0.0,0.0,0.0
Coles,9.359498330889465,9.32012774788433,12.993521801273365,5.642067253441661,13.340702483276477,13.521344407958278,5.874405216471833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
