County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,231.2712059983207,220.75927361803215,225.0271969956634,249.3787929469107,233.42879972706783,248.9009374269041,246.40681765594994,239.38572719060525,185.56682366927467,257.00411811304554,245.41661743185148,289.94923611279785,214.49107808387973,279.9032508328643,474.61855576007423
Alexander,284.48464512364137,241.69416097598403,145.66642388929353,239.34897079942556,274.9266862170088,354.29100918431305,369.3811445132693,0.0,264.00795129829794,325.7647327100368,0.0,469.33102278060585,477.0992366412214,400.76335877862596,801.5267175572519
Bond,203.6429460346193,253.9073520284376,151.9585772174696,237.7757774418723,267.66290419946006,194.785478169704,138.32215229268968,243.52767228133246,239.1758350736778,240.6399849746741,212.5950772428781,213.91264045444552,221.22571001494768,221.22571001494768,514.2002989536621
Boone,174.24511932160564,143.88872605185324,168.0051693898274,151.58993812542403,181.40891791431577,163.11429678275584,211.58836041293142,0.0,171.21120763453106,158.39562008158308,0.0,183.11014448885177,155.29112408322106,218.90435563538392,355.4857057326747
Brown,115.17972836780726,172.87744909719555,158.56998702609195,174.73098708446787,132.3840903742057,222.91242513857722,105.10826150935462,0.0,230.01901490523218,278.9875850524652,0.0,221.75407473112315,256.24599615631,96.09224855861628,256.24599615631
Bureau,268.9085144927536,267.40249765311637,245.8688318371548,244.22059153100454,213.68014969160757,264.09114917377195,218.75838573811993,0.0,256.35283579274903,281.36310056213387,0.0,296.25285031151435,273.73360606425217,258.6932980387438,505.35434965708095
Calhoun,0.0,235.87996330756127,235.8027117311849,159.24200804172142,342.8387044730367,245.22826664486863,289.9631332587714,0.0,191.57903699604068,302.2061045633121,0.0,444.2272666696282,292.9907595221997,360.60401171963036,495.83051611449173
Carroll,295.4755309325946,322.45827010622156,318.4506401507766,337.2571910367416,355.9870550161813,297.12883118560865,290.0792883388126,0.0,199.02413970210583,333.1731539324043,0.0,274.40094444976233,280.21908037192713,343.90523500191057,713.2849318558145
Cass,270.5205693117567,241.58715439615415,241.90001466060696,272.41937858930936,266.23280579795886,207.9928688159263,320.84763468139084,0.0,316.21743713296195,143.6998941158675,0.0,221.340253396428,199.35592700506058,191.6883913510198,398.71185401012116
Champaign,137.57563537281928,141.79375110642093,129.30112740636858,135.44394357196936,135.1232294154856,123.94070202778839,141.38307127381714,0.0,136.30698293809212,151.6412969146377,0.0,129.02497047032278,136.01146382337942,148.15534452189542,411.9204332936633
Chicago,0.0,160.40376425750904,166.71625368471115,160.44125232302864,163.6511200566496,167.32851685919653,163.07585586288815,0.0,162.57824444842248,156.271110605016,0.0,152.29950363129439,148.2310583937885,143.6796257484376,283.4996366136176
Christian,255.8174789661184,285.79049651335595,278.735632183908,282.232052345406,268.42615683014685,248.77348884569102,295.71388811578066,0.0,288.3002516074923,265.5972728121789,0.0,278.5204991087344,217.44240714621534,302.6563234602727,464.2689233662435
Clark,280.03416019542806,320.0611940899392,238.75114784205692,276.97421062349974,284.6710811312581,248.89552610291827,312.83238440843394,0.0,227.74720060732585,254.46911381131116,0.0,205.88046065753073,239.40472339048853,245.87512131996118,595.276609511485
Clay,307.4414813089554,312.8703484237971,275.06333695258775,326.98022859551094,160.47149442726263,263.60301386112513,191.1174490230958,0.0,385.21942691202185,208.23882017834165,0.0,224.87575614473002,195.66526189042747,293.49789283564115,617.098133654425
Clinton,234.3060864451632,245.81528736977643,190.66786716805254,191.10461119501431,183.5623872687513,229.3143766781946,197.77212375189754,168.76280789167035,198.6886548778065,164.16428269627724,213.1011340217309,191.96816032315542,181.57673649692404,162.60603268381257,417.3554838884523
