County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,38.29969016532699,37.04014658020674,38.74640478071025,47.78515792994696,46.38649225345579,32.98687122525235,48.079379054819505,43.661547726588374,24.138773810637357,36.282934321841715,27.268513047983493,18.216705933788344,33.46669303436421,28.903053075132725,60.8485327897531
Alexander,54.70858560070027,34.52773728228343,0.0,25.194628505202694,0.0,13.626577276319734,56.82786838665682,0.0,93.17927692881103,32.576473271003685,0.0,90.25596591934729,95.41984732824427,57.25190839694657,38.16793893129771
Bond,16.97024550288494,56.42385600631947,22.512381809995496,45.29062427464234,17.084866225497453,28.644923260250586,28.817115060977013,11.596555822920593,29.16778476508266,11.738535852423126,17.716256436906505,17.826053371203795,23.916292974588938,23.916292974588938,35.874439461883405
Boone,8.712255966080283,7.993818113991847,12.92347456844826,11.091946692104198,14.808891258311489,12.975000880446487,12.992267744653683,0.0,14.887931098654875,9.31738941656371,0.0,3.736941724262281,16.838796587337225,22.451728783116298,22.451728783116298
Brown,0.0,0.0,14.41545336600836,0.0,0.0,14.860828342571814,0.0,0.0,15.334600993682145,0.0,0.0,0.0,32.03074951953875,0.0,0.0
Bureau,65.10416666666666,42.670611327624954,40.02515867116473,34.47820115731829,46.20111344683407,31.923105944082327,37.91812019460746,0.0,38.305596152939515,53.31090326440431,0.0,20.94717123414748,33.0886776561184,39.10480086632174,96.25797136325352
Calhoun,0.0,0.0,0.0,39.810502010430355,0.0,0.0,20.711652375626528,0.0,63.85967899868023,0.0,0.0,22.211363333481412,45.075501464953796,67.6132521974307,0.0
Carroll,55.4016620498615,6.322711178553364,25.99597062455319,19.457145636735092,12.944983818770226,45.21525691954914,12.89241281505834,0.0,19.26040061633282,19.22152811148486,0.0,6.381417312785169,19.105846388995033,12.73723092599669,38.211692777990066
Cass,43.86820042893351,43.92493716293712,29.321213898255387,29.45074363127669,36.97677858304984,7.42831674342594,29.846291598268916,0.0,7.528986598403855,37.815761609438816,0.0,22.897267592733932,30.670142616163165,15.335071308081583,15.335071308081583
Champaign,11.241588882603908,15.984022851996542,9.94624056972066,13.891686520201986,12.373922107645203,11.357116122068259,13.79347036817728,0.0,10.786883541863405,16.631626113218328,0.0,11.198393663461978,14.08690161027858,16.029922522041144,39.83192869113253
Chicago,0.0,17.991575453843826,16.063226044833094,17.477099260666865,17.370376338442934,15.862271219015543,16.016707450972305,0.0,15.773611261918246,15.963965375770142,0.0,15.394105516744009,18.16931912024084,16.785683596054163,36.77557577443537
Christian,22.739331463654967,34.294859581602715,25.862068965517242,40.31886462077228,31.749330377759303,37.605294825511436,37.68902495593283,0.0,20.384866275277236,23.34921079667507,0.0,29.31794727460362,20.56887635166902,55.82980724024448,52.891396332863195
Clark,23.832694484717283,24.155561818108623,42.85277012549739,30.77491229149997,24.75400705489201,43.556717068010705,25.026590752674718,0.0,44.28417789586892,12.723455690565556,0.0,12.86752879109567,19.411193788417986,25.881591717890654,77.64477515367194
Clay,13.9746127867707,35.5534486845224,36.19254433586681,65.39604571910219,51.05911186321993,51.25614158410767,14.70134223254583,0.0,44.4483954129256,44.622604323930354,0.0,14.991717076315336,22.576760987357012,45.153521974714025,105.3582179409994
Clinton,16.53925316083505,21.610135153386942,15.888988930671044,7.9626921331255955,21.282595625362468,13.332231202220617,26.72596266917534,40.18162092658818,32.21978187207673,24.22095974207369,21.579861673086675,21.63021524767948,24.390904902571886,18.970703813111466,43.36160871568335
Coles,31.82229432502418,27.96038324365299,14.849739201455275,24.448958098247196,19.05814640468068,17.384585667374928,17.623215649415496,0.0,22.147502365755933,30.63350079647102,0.0,16.819443276427553,27.740434884663806,19.204916458613404,55.48086976932761
Cook,19.563389048653082,18.72372803125391,17.19068084143859,18.586283100113604,26.44483099699584,17.5706352951564,18.155655532613657,0.0,17.14603535790947,26.279301135121084,0.0,15.77612138417373,19.9221274178326,18.500472273838835,40.943668147020375
Crawford,49.406300950247854,49.9284359085311,20.184689912701216,45.67785943400057,10.209603152725453,5.134629998562304,15.494427171027487,41.562759767248544,26.131220537048844,31.545077916342454,10.578316566701577,26.605934187561193,58.88966218748327,16.06081696022271,64.24326784089084
Cumberland,35.7632473028551,17.991543974332064,0.0,18.20134325913252,27.45141100252553,27.60245109765747,18.50344164014507,27.909572983533355,28.06571118512143,18.81573748283064,85.14986376021798,47.574644617404715,38.27751196172249,28.70813397129187,19.138755980861244
DeKalb,10.597037068435665,6.014253781462065,13.313046785850133,13.37332594616281,14.393735846159752,9.639669166554203,20.33622559652928,0.0,6.841549708745455,0.0,0.0,19.822784308283943,7.966540529774945,13.941445927106153,43.8159729137622
DeWitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,25.073549077293393,35.06896897231221,30.03003003003003,30.066145520144318,20.06823198876179,20.092425155716295,20.11667672500503,0.0,30.248033877797944,5.047445992327882,0.0,20.238818053025703,20.263424518743665,25.329280648429588,30.395136778115504
DuPage,17.61308887344482,13.696083540996396,11.015089582124581,16.548373017311665,0.0,18.877957153329916,14.8379972299517,0.0,12.412360638871757,13.360757365306057,0.0,10.737889512915373,15.650509123925232,16.079290195813595,37.08956271834336
Edgar,5.173841059602649,21.105951878429718,21.533161068044787,16.299918500407497,38.38982121311835,38.75325250512096,11.1781801922647,0.0,11.396011396011396,23.01628402094482,0.0,35.21746786406057,41.50361674374481,47.43270484999407,23.716352424997034
Edwards,58.074819726080435,0.0,44.636214848980806,14.98486528606108,30.185034260013886,30.403453832355353,15.312528710991332,30.849915162733303,62.156198526898095,46.96452612793137,31.54474622251664,31.78336458697517,32.02562049639712,32.02562049639712,128.10248198558847
