County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,1241.7938003604097,1167.5054202081162,1074.4676094958495,1217.0282410283367,1153.6769524972392,1195.024380296642,1180.949748034004,1252.634748569708,1166.2045097264174,1230.5961890824651,1319.4930480440903,1193.1942386631365,1334.1040814153369,1423.8556672802226,2546.5110972511675
Alexander,1214.530600335546,1277.5262794444873,1104.6370478271426,1322.7179965231412,1296.0829493087558,1321.7779958030142,1548.5594135363983,0.0,1568.5178283016523,1563.6707170081768,0.0,2003.6824434095095,2175.5725190839694,1984.7328244274809,3664.1221374045804
Bond,882.4527661500169,947.9207809061671,1018.6852769022963,1002.0550620764618,916.8878207683632,991.1143448046703,922.1476819512644,1113.2693590003769,1067.5409224020254,1021.252619160812,956.6778475929515,1057.679166691425,1195.814648729447,1315.3961136023916,2307.922272047833
Boone,794.9933569048258,631.5116310053559,600.0184621065264,672.9114326543213,727.4867830645519,700.6500475441104,766.5437969345672,0.0,757.4234946440667,803.1589677077918,0.0,738.0459905418005,913.0369705133962,939.2306540936986,1878.4613081873972
Brown,806.2580985746508,849.9807913945449,994.6662822545769,669.8021171571269,735.4671687455873,906.5105288968806,765.788762425298,0.0,889.4068576335644,1100.4510299291683,0.0,839.4975686249663,1121.0762331838564,1073.0301089045483,1793.7219730941704
Bureau,1123.7545289855072,1015.5605495974738,1092.1150437417807,1080.316969595973,970.2233823835155,1210.1759253347573,1108.375821073141,0.0,1317.1231907972278,1146.1844201846927,0.0,1292.7397104502445,1431.837324028396,1344.6035374804476,2556.8523643364215
Calhoun,0.0,1179.3998165378064,962.8610729023384,1054.9783032764044,1129.3510264994152,1185.2699554501983,1077.0059235325796,0.0,1064.3279833113372,1100.8936666234943,0.0,1377.1045266758474,1532.5670498084291,1555.104800540906,3921.5686274509803
Carroll,1200.3693444136657,1144.410723318159,1299.7985312276596,1173.9144534163504,1275.0809061488674,1220.8119368278267,1211.886804615484,0.0,1136.3636363636365,1242.9921512093545,0.0,1174.1807855524712,1623.9969430645776,1369.2523245446441,3056.9354222392053
Cass,1213.6868785338272,1083.481783352449,1018.9121829643747,1045.5013989103225,1146.2801360745452,921.1112761848165,1275.928965825996,0.0,1197.1088691462128,1043.715020420511,0.0,1129.598534574874,1249.8083116086489,1134.795276798037,1962.8891274344426
Champaign,614.0048784926992,611.5177774989645,558.978720018301,599.8231786758644,573.1600720261258,614.2718459066484,640.903748178523,0.0,642.8001965174057,669.1783683200787,0.0,676.7724866179195,736.890680785952,798.0958395064728,2376.3145750856143
Chicago,0.0,695.6259837445934,689.9396720134085,694.0111683107606,698.9174190133922,694.4354783673665,699.6907854961534,0.0,726.6499197379967,722.8454230469132,0.0,716.0812589897746,938.2869427043812,833.1670543273565,1609.9691667746874
Christian,1102.8575759872658,1103.151316541554,1175.287356321839,1163.4872361994287,1229.5649764477694,1090.5535499398316,1182.8555524631226,0.0,1208.531357748579,1190.8097506304287,0.0,1316.3758326297025,1413.3756464503997,1472.1438645980254,2626.939351198872
Clark,1257.1746340688367,1292.3225572688111,1248.8521579430671,1218.6865267433989,1157.2498298162016,1275.5895712774563,1395.2324344616156,0.0,1126.0833807806669,1176.919651377314,0.0,1312.4879366917585,1475.250727919767,1520.5435134260756,2808.1527013911355
Clay,1271.6897635961336,1407.916567907087,1266.7390517553386,1278.856005173554,1261.8894789052927,1281.4035396026918,1073.1979829758457,0.0,1340.8599282899222,1152.7506117015341,0.0,1169.353931952596,1459.9638771824202,1369.656833232992,2859.723058398555
