County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,41.07,59.33,80.62,79.1,71.5,71.5,38.03,79.1,73.02,39.55,77.58,39.55,57.81,54.76,63.89
Alexander,57.25,76.34,114.5,133.59,114.5,114.5,57.25,57.25,95.42,19.08,76.34,114.5,114.5,95.42,76.34
Bond,65.77,59.79,83.71,71.75,29.9,71.75,53.81,89.69,65.77,59.79,53.81,83.71,65.77,95.67,59.79
Boone,31.81,39.29,33.68,56.13,54.26,41.16,31.81,39.29,69.23,48.65,50.52,31.81,44.9,35.55,56.13
Brown,32.03,96.09,160.15,48.05,48.05,48.05,80.08,16.02,128.12,32.03,32.03,32.03,80.08,112.11,48.05
Bureau,63.17,63.17,69.19,93.25,48.13,48.13,33.09,72.19,99.27,60.16,72.19,84.23,66.18,72.19,72.19
Calhoun,112.69,90.15,135.23,90.15,67.61,67.61,22.54,90.15,45.08,67.61,22.54,45.08,135.23,45.08,112.69
Carroll,63.69,38.21,133.74,63.69,127.37,95.53,44.58,70.05,57.32,57.32,95.53,44.58,63.69,70.05,70.05
Cass,38.34,23.0,69.01,115.01,115.01,30.67,69.01,76.68,61.34,46.01,69.01,92.01,84.34,38.34,84.34
Champaign,33.03,24.77,40.32,30.6,30.12,27.69,28.66,37.89,37.89,41.29,47.6,58.29,36.43,37.89,32.06
Chicago,29.13,33.97,25.01,26.14,24.72,34.85,35.32,30.15,24.5,45.91,47.48,48.54,49.85,45.99,42.38
Christian,58.77,67.58,73.46,76.4,79.34,35.26,70.52,58.77,76.4,67.58,44.08,38.2,64.65,52.89,58.77
Clark,71.17,129.41,103.53,77.64,71.17,77.64,116.47,45.29,84.12,45.29,84.12,58.23,71.17,64.7,38.82
Clay,75.26,67.73,82.78,120.41,112.88,52.68,45.15,52.68,60.2,45.15,37.63,30.1,60.2,82.78,75.26
Clinton,40.65,62.33,40.65,24.39,65.04,48.78,51.49,51.49,46.07,54.2,56.91,37.94,65.04,43.36,40.65
Coles,40.54,53.35,85.36,64.02,87.49,40.54,42.68,46.95,72.55,53.35,55.48,42.68,40.54,40.54,34.14
Cook,26.92,37.27,30.1,31.37,30.4,37.85,40.53,30.46,31.22,42.8,42.29,44.58,51.44,50.36,48.87
Crawford,37.48,112.43,58.89,64.24,74.95,80.3,85.66,37.48,74.95,74.95,37.48,32.12,48.18,64.24,74.95
Cumberland,38.28,28.71,124.4,38.28,57.42,57.42,38.28,28.71,19.14,28.71,38.28,38.28,47.85,76.56,57.42
DeKalb,31.87,28.88,36.85,39.83,39.83,42.82,28.88,43.82,47.8,0.0,42.82,41.82,52.78,42.82,38.84
DeWitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,55.72,50.66,50.66,70.92,0.0,81.05,40.53,50.66,40.53,60.79,65.86,65.86,30.4,60.79,91.19
DuPage,21.12,0.0,0.0,0.0,0.0,0.0,0.0,25.73,0.0,0.0,30.66,0.0,0.0,0.0,0.0
Edgar,53.36,71.15,118.58,88.94,83.01,142.3,77.08,35.57,106.72,65.22,53.36,59.29,53.36,59.29,59.29
Edwards,80.06,48.04,96.08,64.05,48.04,112.09,96.08,16.01,96.08,64.05,64.05,32.03,64.05,176.14,32.03
Effingham,49.04,66.34,69.23,60.57,77.88,60.57,51.92,63.46,49.04,37.5,72.11,40.38,46.15,63.46,43.27
Fayette,18.62,69.81,41.88,93.08,65.15,0.0,0.0,55.85,46.54,46.54,65.15,41.88,79.11,60.5,37.23
Ford,96.05,66.5,59.11,73.89,81.28,133.0,66.5,44.33,118.22,51.72,66.5,44.33,133.0,81.28,81.28
Franklin,68.78,68.78,132.26,108.45,126.97,60.84,76.71,108.45,129.62,84.65,71.42,84.65,68.78,68.78,79.36
Fulton,50.58,71.41,53.56,124.97,77.36,77.36,83.31,62.48,127.94,77.36,65.46,53.56,95.21,59.51,38.68
Gallatin,101.09,80.87,80.87,101.09,121.31,141.53,0.0,60.66,161.75,60.66,80.87,80.87,121.31,80.87,80.87
Greene,100.13,58.41,50.06,75.09,91.78,33.38,33.38,100.13,166.88,150.19,75.09,0.0,0.0,0.0,100.13
Grundy,38.07,32.36,24.75,53.3,32.36,43.78,43.78,36.17,0.0,28.55,45.69,57.11,49.49,62.82,60.91
Hamilton,87.58,75.07,25.02,62.55,87.58,87.58,50.04,25.02,112.6,50.04,37.53,50.04,50.04,37.53,75.07
Hancock,68.1,34.05,68.1,96.48,62.43,56.75,90.81,17.03,73.78,68.1,90.81,62.43,73.78,68.1,56.75
Hardin,191.83,137.02,164.43,137.02,109.62,109.62,54.81,0.0,137.02,82.21,82.21,82.21,54.81,109.62,27.4
Henderson,62.63,31.31,109.6,109.6,78.28,31.31,62.63,31.31,187.88,78.28,93.94,156.57,31.31,46.97,31.31
Henry,54.78,68.99,62.9,77.1,52.76,54.78,46.67,38.55,93.34,36.52,50.73,62.9,73.05,48.7,48.7
ILLINOIS,32.57,40.92,40.73,41.9,41.48,41.33,42.85,37.88,43.96,46.96,46.93,47.5,52.78,52.82,51.68
Iroquois,22.16,88.64,59.09,99.72,73.86,84.94,70.17,66.48,88.64,84.94,103.41,88.64,92.33,77.56,77.56
Jackson,47.19,50.97,54.74,43.42,50.97,30.2,56.63,66.07,64.18,66.07,67.96,62.29,47.19,47.19,39.64
Jasper,43.07,64.61,53.84,32.3,86.14,96.91,53.84,86.14,107.68,53.84,53.84,53.84,53.84,75.37,96.91
Jefferson,64.67,45.81,70.06,61.97,80.83,53.89,45.81,80.83,72.75,78.14,94.31,67.36,83.53,75.45,35.03
Jersey,41.84,41.84,74.38,51.13,79.03,55.78,65.08,97.62,102.27,116.21,106.92,69.73,55.78,60.43,69.73
Jo Daviess,49.92,99.84,54.46,68.07,40.84,77.15,77.15,77.15,40.84,72.61,40.84,77.15,59.0,54.46,72.61
Johnson,22.54,82.66,37.57,37.57,52.6,37.57,52.6,45.09,75.14,60.11,82.66,30.06,45.09,30.06,22.54
Kane,19.36,29.23,22.07,31.56,31.75,25.56,32.14,22.85,27.49,36.2,30.59,36.2,52.08,49.56,56.53
Kankakee,40.93,40.93,52.09,53.95,51.16,59.53,42.79,38.14,53.95,70.7,65.12,62.32,61.39,71.63,71.63
Kendall,21.99,13.65,17.44,18.2,29.57,18.2,18.2,18.2,23.51,32.61,24.27,32.61,38.67,27.3,34.12
Knox,72.05,66.04,128.08,100.07,114.08,66.04,72.05,50.03,120.08,46.03,52.03,60.04,54.04,78.05,60.04
LaSalle,51.07,49.24,65.66,77.51,98.49,63.83,72.95,62.92,77.51,86.63,82.07,69.31,58.36,56.54,57.45
Lake,25.62,27.44,27.58,28.84,30.24,25.34,29.68,27.44,32.76,32.9,35.84,35.0,37.38,34.44,33.18
Lawrence,85.08,104.71,124.35,98.17,117.8,78.53,58.9,52.36,85.08,52.36,91.62,58.9,65.45,78.53,85.08
Lee,38.07,41.0,64.43,70.29,49.79,55.65,52.72,67.36,105.43,49.79,52.72,67.36,58.57,105.43,49.79
Livingston,75.39,44.67,72.6,67.01,50.26,67.01,69.8,61.43,64.22,67.01,89.35,67.01,61.43,55.84,69.8
Logan,46.45,71.46,25.01,60.74,78.61,57.17,53.6,25.01,71.46,64.32,71.46,35.73,46.45,71.46,53.6
Macon,31.73,70.19,61.54,0.0,53.85,56.73,55.77,52.89,78.85,51.92,56.73,53.85,49.04,57.69,0.0
Macoupin,57.82,68.94,91.18,71.16,75.61,71.16,66.72,66.72,77.83,68.94,68.94,57.82,80.06,95.63,91.18
Madison,54.92,50.03,58.3,57.55,63.57,53.04,65.45,65.82,60.93,76.36,79.37,78.61,87.26,89.9,75.23
Marion,58.31,74.21,74.21,98.07,116.62,76.86,68.91,63.61,108.67,74.21,66.26,68.91,95.42,82.16,50.36
Marshall,102.2,93.68,85.16,76.65,0.0,85.16,68.13,76.65,144.78,68.13,59.62,34.07,76.65,110.71,76.65
Mason,53.49,91.7,114.63,137.55,84.06,84.06,61.13,53.49,122.27,76.42,76.42,61.13,61.13,84.06,91.7
Massac,63.52,84.69,105.86,176.44,91.75,77.63,35.29,56.46,105.86,63.52,56.46,56.46,91.75,98.81,84.69
McDonough,22.03,102.8,58.74,62.41,36.71,77.1,80.77,44.06,106.47,0.0,55.07,69.76,73.43,91.78,40.38
McHenry,25.79,27.4,30.62,45.77,39.33,24.18,31.91,36.1,36.1,59.63,42.55,45.13,34.17,40.94,48.03
McLean,31.59,28.66,38.02,32.76,36.85,29.25,36.27,46.21,46.21,46.8,37.44,43.87,31.59,35.1,39.78
Menard,40.66,56.92,24.4,97.58,48.79,56.92,89.45,48.79,24.4,56.92,81.32,0.0,0.0,0.0,40.66
Mercer,38.22,44.59,38.22,31.85,127.4,0.0,0.0,44.59,50.96,50.96,108.29,38.22,70.07,57.33,44.59
Monroe,28.6,60.07,34.32,28.6,57.2,48.62,34.32,34.32,0.0,28.6,31.46,45.76,37.18,77.23,48.62
Montgomery,56.56,84.84,81.31,49.49,53.03,74.24,120.19,42.42,56.56,70.7,109.59,67.17,102.52,113.12,88.38
Morgan,78.99,63.8,97.22,66.84,85.07,63.8,48.61,69.88,85.07,66.84,75.95,45.57,48.61,45.57,63.8
Moultrie,61.96,61.96,89.49,68.84,96.38,61.96,96.38,75.73,110.15,41.31,75.73,75.73,48.19,48.19,68.84
Ogle,34.76,59.86,46.34,57.93,67.58,69.51,52.14,36.69,88.82,54.07,34.76,56.0,56.0,32.83,36.69
Peoria,36.3,61.6,52.8,57.2,60.5,75.9,66.0,45.65,63.8,64.9,57.75,57.75,52.8,53.35,60.5
Perry,66.84,57.29,119.36,76.39,81.16,57.29,33.42,33.42,76.39,57.29,38.2,47.74,38.2,57.29,57.29
Piatt,53.98,71.97,41.98,35.99,101.96,71.97,59.98,29.99,83.97,71.97,41.98,71.97,29.99,35.99,41.98
