County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,192.95,187.83,191.15,212.16,206.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams,298.16,272.3,278.38,311.85,284.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander,381.68,343.51,515.27,534.35,362.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bond,149.48,119.58,197.31,245.14,227.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boone,121.61,95.42,112.26,172.13,175.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown,224.22,256.25,336.32,144.14,224.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bureau,207.56,165.44,198.53,240.64,198.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calhoun,247.92,135.23,22.54,315.53,180.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carroll,203.8,242.01,254.74,273.85,286.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cass,245.36,161.02,276.03,199.36,283.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Champaign,133.1,143.78,127.75,160.3,123.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicago,157.3,150.78,147.32,163.09,158.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,261.52,232.14,223.32,261.52,188.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark,219.99,245.88,187.64,304.11,207.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clay,248.34,285.97,368.75,278.45,308.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinton,203.26,151.77,200.55,197.84,181.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coles,194.18,170.71,215.52,226.19,217.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook,166.3,159.87,160.1,176.17,174.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crawford,214.14,256.97,240.91,246.27,214.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
