County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,26.11,23.88,24.04,23.76,23.61,24.4,27.9,31.95,33.53,34.0,33.16,32.74,38.63,33.79,35.92
Adams,33.47,24.34,39.55,42.59,45.64,48.68,66.93,62.37,51.72,73.02,74.54,54.76,36.51,31.95,27.38
Alexander,19.08,19.08,0.0,57.25,38.17,76.34,38.17,38.17,0.0,76.34,95.42,38.17,114.5,76.34,19.08
Bond,53.81,53.81,53.81,53.81,23.92,29.9,47.83,95.67,29.9,41.85,41.85,35.87,41.85,23.92,17.94
Boone,31.81,31.81,14.97,24.32,22.45,29.94,14.97,18.71,29.94,31.81,31.81,46.77,44.9,16.84,24.32
Brown,0.0,0.0,0.0,16.02,16.02,16.02,0.0,0.0,32.03,32.03,0.0,0.0,0.0,0.0,32.03
Bureau,54.15,33.09,45.12,33.09,27.07,24.06,54.14,45.12,54.14,24.06,27.07,42.11,45.12,39.1,42.11
Calhoun,45.08,45.08,22.54,0.0,45.08,45.08,45.08,45.08,45.08,90.15,112.69,180.3,45.08,45.08,67.61
Carroll,6.37,12.74,25.47,19.11,25.47,31.84,12.74,6.37,12.74,12.74,25.47,31.84,19.11,12.74,25.47
Cass,46.01,15.34,0.0,0.0,15.34,0.0,15.34,30.67,7.67,15.34,7.67,0.0,23.0,15.34,15.34
Champaign,24.77,24.77,24.29,30.12,29.63,18.46,16.52,35.46,26.72,35.95,38.37,37.4,34.0,39.83,34.49
Chicago,13.73,13.04,12.56,13.47,11.29,12.78,16.02,20.5,21.7,19.59,18.17,16.24,19.23,15.77,18.42
Christian,26.45,41.14,29.38,52.89,76.4,32.32,20.57,35.26,55.83,23.51,32.32,35.26,23.51,41.14,29.38
Clark,32.35,58.23,97.06,32.35,77.64,45.29,71.17,12.94,64.7,51.76,45.29,38.82,38.82,58.23,51.76
Clay,30.1,15.05,7.53,7.53,22.58,37.63,15.05,15.05,45.15,30.1,22.58,22.58,22.58,22.58,52.68
Clinton,56.91,51.49,21.68,21.68,8.13,21.68,21.68,21.68,21.68,29.81,43.36,29.81,37.94,43.36,24.39
Coles,32.01,25.61,29.87,23.47,40.54,36.28,29.87,44.81,44.81,29.87,46.95,38.41,55.48,29.87,34.14
Cook,17.8,16.74,16.66,16.26,16.47,17.76,21.8,25.95,27.09,25.63,23.03,23.11,27.92,25.08,27.5
Crawford,26.77,37.48,48.18,42.83,53.54,26.77,80.3,48.18,53.54,58.89,58.89,21.41,32.12,32.12,37.48
Cumberland,19.14,9.57,28.71,19.14,47.85,19.14,19.14,66.99,28.71,28.71,28.71,0.0,28.71,38.28,47.85
DeKalb,30.87,34.85,32.86,29.87,19.92,27.88,28.88,28.88,23.9,31.87,39.83,35.85,38.84,33.86,26.89
DeWitt,9.19,6.56,5.91,5.91,7.87,4.59,4.59,9.19,12.47,7.22,11.81,13.78,11.81,10.5,8.53
Douglas,40.53,35.46,35.46,40.53,15.2,60.79,60.79,50.66,55.72,65.86,91.19,35.46,65.86,20.26,55.72
DuPage,24.23,23.37,23.26,23.15,21.33,19.3,24.01,23.37,32.8,27.23,28.62,28.19,34.95,32.16,31.94
Edgar,77.08,88.94,106.72,41.5,83.01,106.72,35.57,100.79,59.29,29.65,11.86,41.5,11.86,41.5,29.65
Edwards,0.0,0.0,16.01,0.0,16.01,0.0,16.01,0.0,16.01,0.0,16.01,16.01,0.0,32.03,80.06
Effingham,25.96,28.85,25.96,31.73,40.38,34.61,40.38,63.46,37.5,66.34,72.11,60.57,103.84,54.81,69.23
Fayette,41.88,32.58,55.85,60.5,37.23,37.23,23.27,79.11,41.88,51.19,51.19,74.46,93.08,60.5,65.15
Ford,81.28,133.0,81.28,125.61,110.83,81.28,44.33,73.89,199.5,147.78,36.94,36.94,73.89,51.72,66.5
Franklin,108.45,105.81,121.68,126.97,60.84,97.87,76.71,82.0,55.55,79.36,68.78,58.19,79.36,34.39,34.39
Fulton,29.75,50.58,53.56,35.7,23.8,20.83,11.9,50.58,65.46,77.36,74.39,92.24,86.29,41.66,65.46
Gallatin,101.09,20.22,40.44,101.09,60.66,80.87,80.87,0.0,40.44,121.31,20.22,20.22,60.65,121.31,40.44
Greene,41.72,25.03,33.38,16.69,41.72,16.69,33.38,41.72,50.06,41.72,100.12,100.13,91.78,33.38,41.72
Grundy,30.46,30.46,32.36,22.84,19.04,9.52,11.42,20.94,22.84,19.04,43.78,32.36,32.36,36.17,17.13
Hamilton,12.51,12.51,12.51,25.02,25.02,25.02,25.02,25.02,37.53,75.07,37.53,25.02,87.58,50.04,50.04
Hancock,39.73,34.05,39.73,85.13,39.73,79.46,34.05,45.4,39.73,39.73,45.4,39.73,39.73,28.38,45.4
Hardin,0.0,0.0,54.81,0.0,0.0,54.81,0.0,54.81,0.0,54.81,0.0,0.0,27.4,27.4,27.4
Henderson,31.31,78.28,46.97,93.94,62.63,46.97,46.97,46.97,46.97,62.63,62.63,62.63,15.66,31.31,109.6
Henry,42.61,20.29,18.26,18.26,24.35,18.26,18.26,14.2,28.41,32.46,32.47,24.35,46.67,44.64,16.23
Iroquois,96.02,92.33,103.41,114.49,84.94,96.02,73.86,84.94,114.49,77.56,77.56,77.56,84.94,70.17,77.56
Jackson,52.86,35.87,26.43,47.19,50.97,56.63,30.2,30.2,18.88,22.65,35.87,24.54,30.2,30.2,30.2
Jasper,10.77,43.07,75.37,10.77,75.37,0.0,43.07,43.07,21.54,53.84,53.84,21.54,21.54,21.54,53.84
Jefferson,53.89,61.97,56.58,59.28,61.97,51.2,94.31,64.67,53.89,70.06,67.36,75.45,64.67,61.97,70.06
Jersey,65.08,69.73,60.43,116.21,83.67,55.78,46.49,74.38,79.03,79.03,111.57,60.43,92.97,51.13,46.49
Jo Daviess,27.23,63.54,49.92,77.15,49.92,49.92,40.84,45.38,90.76,40.84,54.46,90.76,63.54,40.84,54.46
Johnson,30.06,30.06,15.03,7.51,22.54,7.51,30.06,7.51,15.03,15.03,37.57,0.0,30.06,7.51,37.57
Kane,15.68,12.39,12.78,12.78,11.04,13.17,12.78,12.78,13.94,16.26,14.52,18.2,19.55,23.62,28.27
Kankakee,75.35,42.79,40.93,42.79,38.14,39.07,43.72,39.07,45.58,61.39,52.09,46.51,60.46,35.35,37.21
Kendall,11.37,8.34,6.82,4.55,3.79,11.38,11.37,11.37,11.37,9.1,14.41,18.2,16.68,12.89,25.78
Knox,84.06,46.03,68.05,62.04,96.06,88.06,70.05,82.05,82.05,62.04,120.08,92.06,104.07,78.05,74.05
LaSalle,39.21,34.65,38.3,36.48,41.95,34.65,39.21,42.86,55.63,62.92,48.33,56.54,85.72,66.57,75.69
Lake,16.52,16.8,16.1,14.56,15.68,14.56,18.9,22.12,21.98,26.88,27.86,30.66,32.2,31.08,30.66
Lawrence,111.26,111.26,98.17,104.71,85.08,117.8,117.8,104.71,111.26,91.62,85.08,98.17,85.08,19.63,52.36
Lee,41.0,38.07,32.22,29.29,17.57,49.79,46.86,61.5,29.29,49.79,58.57,46.86,32.22,29.29,35.14
Livingston,27.92,25.13,41.88,36.3,30.71,41.88,19.54,27.92,39.09,89.35,75.39,69.8,64.22,83.76,55.84
Logan,67.89,50.02,78.61,64.32,71.46,67.89,64.32,32.16,46.45,78.61,78.61,78.61,117.91,75.04,57.17
Macon,26.92,19.23,19.23,12.5,18.27,20.19,25.0,33.65,26.92,41.35,47.12,57.69,51.92,42.31,44.23
Macoupin,33.36,46.7,37.81,35.58,53.37,24.46,40.03,28.91,42.25,37.81,35.58,40.03,66.72,31.13,44.48
Madison,44.01,33.85,30.84,33.1,34.98,39.87,44.01,43.63,47.39,56.04,60.56,48.52,50.03,33.48,45.51
Marion,68.91,37.11,39.76,60.96,47.71,42.41,31.81,45.06,55.66,55.66,58.31,42.41,79.51,37.11,39.76
Marshall,59.62,93.68,110.71,93.68,68.13,59.61,93.68,59.61,76.65,76.65,51.1,102.2,68.13,93.68,68.13
Mason,76.42,99.34,68.78,61.13,152.84,76.42,61.13,76.42,45.85,91.7,61.13,61.13,76.42,38.21,38.21
Massac,35.29,7.06,35.29,28.23,42.35,63.52,49.4,35.29,49.4,98.81,105.87,105.86,134.1,141.15,190.56
McDonough,22.03,14.69,18.36,11.01,18.36,36.71,33.04,22.03,25.7,33.04,47.73,29.37,44.06,40.38,33.04
McHenry,20.95,16.76,15.47,18.7,15.15,16.44,14.83,24.82,20.31,23.85,32.56,26.75,29.33,24.18,28.37
McLean,38.61,38.02,32.76,41.53,35.1,25.74,37.44,35.1,42.7,45.63,53.82,51.48,73.12,46.21,49.14
Menard,16.26,73.19,16.26,56.92,40.66,24.4,32.53,8.13,40.66,8.13,0.0,0.0,32.53,8.13,24.4
Mercer,70.07,70.07,76.44,31.85,31.85,63.7,76.44,63.7,38.22,31.85,38.22,50.96,63.7,25.48,38.22
Monroe,20.02,20.02,37.18,17.16,20.02,22.88,17.16,14.3,11.44,20.02,17.16,25.74,28.6,11.44,28.6
Montgomery,84.84,74.24,63.63,84.84,49.49,60.1,38.89,98.98,84.84,84.84,63.63,81.31,67.17,49.49,45.96
Morgan,42.53,36.46,15.19,30.38,27.34,27.34,12.15,12.15,21.27,15.19,18.23,27.34,60.76,42.53,39.5
Moultrie,68.84,27.54,6.88,13.77,68.84,27.54,13.77,20.65,41.31,61.96,34.42,34.42,34.42,61.96,20.65
Ogle,44.41,44.41,50.2,46.34,27.03,57.93,59.86,59.86,32.83,63.72,65.65,73.38,56.0,57.93,42.48
Peoria,26.95,26.4,28.05,29.7,21.45,26.95,25.3,31.35,23.65,30.25,41.25,45.65,47.3,45.1,45.65
Perry,38.2,47.74,38.2,33.42,42.97,42.97,71.62,42.97,62.07,38.2,23.87,33.42,71.62,28.65,62.07
Piatt,23.99,17.99,23.99,12.0,29.99,29.99,12.0,6.0,12.0,47.98,41.98,29.99,29.99,59.98,29.99
Pike,27.14,13.57,20.35,20.35,13.57,74.63,74.63,61.06,27.14,0.0,13.57,33.92,20.35,13.57,33.92
Pope,26.57,0.0,0.0,0.0,0.0,0.0,53.15,26.57,26.57,26.57,0.0,26.57,53.15,0.0,26.57
Pulaski,38.51,38.51,19.26,77.03,38.51,19.26,77.03,57.77,77.03,57.77,19.26,19.26,96.28,96.28,0.0
Putnam,35.48,17.74,35.48,0.0,17.74,53.22,35.48,70.96,17.74,35.48,17.74,17.74,0.0,17.74,35.48
Randolph,56.36,33.15,53.05,56.36,66.31,56.36,19.89,46.41,39.78,19.89,33.15,23.21,39.78,46.41,26.52
Richland,0.0,6.32,0.0,0.0,0.0,18.97,12.65,12.65,6.32,0.0,18.97,12.65,6.32,12.65,18.97
Rock Island,45.62,37.33,22.12,29.72,26.96,22.81,30.41,40.78,35.94,28.34,35.94,29.72,38.02,34.56,33.87
Saline,113.6,71.52,105.18,75.73,105.18,84.15,92.56,79.94,46.28,33.66,42.07,25.24,50.49,21.04,33.66
Sangamon,17.32,22.92,25.47,21.9,23.43,19.86,21.39,22.92,26.99,30.56,28.52,34.63,30.05,30.56,34.12
Schuyler,0.0,14.49,0.0,14.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.49,0.0
Scott,0.0,0.0,0.0,20.21,20.21,0.0,20.21,20.21,0.0,20.21,20.21,20.21,20.21,60.62,60.62
Shelby,14.29,23.82,9.53,33.35,38.11,52.41,14.29,14.29,9.53,23.82,38.11,38.11,28.59,47.64,33.35
St. Clair,34.58,28.75,29.53,27.58,27.97,30.3,38.46,32.63,31.86,31.08,34.97,31.47,44.29,41.96,33.41
Stark,18.52,129.63,129.63,111.11,74.07,55.56,92.59,148.15,18.52,74.07,92.59,129.63,74.07,55.56,74.07
Stephenson,22.41,24.65,35.85,26.89,35.85,38.09,22.41,40.33,26.89,53.78,51.53,49.29,56.02,29.13,49.29
Suburban Cook,368.8,344.52,350.43,320.24,366.83,384.55,465.92,528.92,546.64,534.17,469.86,507.26,620.14,584.04,620.14
Tazewell,56.34,30.45,32.74,34.26,33.5,25.89,44.92,38.07,43.4,39.59,50.25,55.58,58.63,57.1,53.3
Union,57.99,86.99,52.19,23.2,75.39,34.79,29.0,52.19,23.2,17.4,29.0,29.0,57.99,34.79,57.99
Vermilion,18.87,16.18,32.35,45.83,29.65,21.57,26.96,37.74,29.65,18.87,52.57,53.92,51.22,39.09,37.74
