County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,50.03,43.41,46.13,46.09,46.47,45.62,46.39,50.17,49.87,53.82,51.99,54.34,59.77,59.47,58.05
Adams,74.54,121.7,63.89,65.41,71.5,71.5,88.23,50.2,51.72,59.33,77.58,59.33,57.81,54.76,63.89
Alexander,229.01,152.67,76.34,95.42,57.25,152.67,114.5,95.42,57.25,152.67,76.34,114.5,114.5,95.42,76.34
Bond,47.83,65.77,53.81,35.87,41.85,77.73,35.87,23.92,95.67,35.87,53.81,41.85,65.77,95.67,59.79
Boone,44.9,29.94,31.81,46.77,29.94,50.52,54.26,52.39,37.42,41.16,50.52,29.94,44.9,35.55,56.13
Brown,64.06,64.06,80.08,48.05,80.08,16.02,48.05,16.02,64.06,112.11,32.03,80.08,80.08,112.11,48.05
Bureau,51.14,78.21,93.25,63.17,45.12,81.22,78.21,78.21,84.23,63.17,72.19,84.23,66.18,72.19,72.19
Calhoun,157.76,112.69,112.69,45.08,45.08,22.54,45.08,45.08,22.54,22.54,22.54,22.54,135.23,45.08,112.69
Carroll,101.9,95.53,50.95,31.84,76.42,70.05,70.05,50.95,57.32,70.05,95.53,63.69,63.69,70.05,70.05
Cass,69.01,76.68,84.34,107.35,53.67,76.68,69.01,46.01,76.68,53.67,69.01,46.01,84.34,38.34,84.34
Champaign,28.17,28.66,28.66,26.23,20.89,33.52,38.37,38.37,32.06,25.74,47.6,23.32,36.43,37.89,32.06
Chicago,37.5,26.07,32.11,32.37,33.1,26.62,26.33,38.3,38.92,43.51,47.48,43.51,49.85,45.99,42.38
Christian,55.83,49.95,85.21,70.52,79.34,61.71,47.01,70.52,38.2,47.01,44.08,35.26,64.65,52.89,58.77
Clark,84.12,90.59,58.23,116.47,71.17,77.64,110.0,64.7,84.12,84.11,84.12,84.12,71.17,64.7,38.82
Clay,97.83,158.04,90.31,105.36,82.78,90.31,60.2,52.68,67.73,45.15,37.63,105.36,60.2,82.78,75.26
Clinton,56.91,27.1,37.94,48.78,43.36,59.62,46.07,59.62,43.36,67.75,56.91,51.49,65.04,43.36,40.65
Coles,85.36,100.29,87.49,57.61,51.21,98.16,68.28,61.88,70.42,64.02,55.48,49.08,40.54,40.54,34.14
Cook,41.02,30.03,37.49,37.55,38.57,32.21,32.58,42.44,42.52,47.5,42.29,46.8,51.44,50.36,48.87
Crawford,96.36,69.6,85.66,107.07,85.66,64.24,80.3,123.13,91.01,53.54,37.48,32.12,48.18,64.24,74.95
Cumberland,76.56,86.12,66.99,57.42,28.71,28.71,114.83,124.4,76.55,76.55,38.28,105.26,47.85,76.55,57.42
DeKalb,44.81,31.87,33.86,31.87,42.82,31.87,35.85,35.85,27.88,41.82,42.82,34.85,52.78,42.82,38.84
DeWitt,7.22,11.16,7.22,5.25,5.25,6.56,6.56,8.53,5.91,5.91,4.59,5.25,5.91,5.25,3.94
Douglas,81.05,81.05,30.4,65.86,45.59,65.86,96.25,50.66,55.72,70.92,65.86,35.46,30.4,60.79,91.19
DuPage,36.87,31.09,33.66,32.05,31.52,29.48,33.77,36.87,38.7,40.95,30.66,43.52,50.49,49.42,54.13
Edgar,124.51,183.8,100.79,71.15,83.01,100.79,154.16,118.58,41.5,71.15,53.36,41.5,53.36,59.29,59.29
Edwards,80.06,80.06,64.05,16.01,64.05,96.08,16.01,112.09,112.09,112.09,64.05,64.05,64.05,176.14,32.03
