County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,0.0,10.65,6.08,3.04,9.13,7.61,12.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander,0.0,0.0,19.08,0.0,0.0,19.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bond,0.0,5.98,11.96,11.96,0.0,11.96,17.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boone,0.0,18.71,22.45,5.61,5.61,9.35,11.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown,0.0,0.0,0.0,32.03,0.0,16.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bureau,0.0,6.02,6.02,15.04,9.02,24.06,15.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calhoun,0.0,22.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carroll,0.0,0.0,19.11,6.37,6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cass,0.0,0.0,15.34,0.0,7.67,7.67,7.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Champaign,0.0,3.4,3.89,5.83,7.77,8.74,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicago,0.0,9.18,8.23,8.7,9.07,10.7,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,0.0,11.75,14.69,8.82,5.88,2.94,17.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark,0.0,6.47,32.35,12.94,6.47,19.41,25.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clay,0.0,15.05,0.0,7.53,0.0,0.0,7.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinton,0.0,5.42,5.42,10.84,0.0,2.71,5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coles,0.0,10.67,14.94,6.4,14.94,14.94,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook,0.0,8.8,8.51,8.55,8.93,10.01,10.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crawford,0.0,10.71,10.71,5.35,0.0,32.12,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumberland,0.0,0.0,0.0,9.57,9.57,19.14,0.0,0.0,0.0,1521.53,0.0,0.0,0.0,0.0,0.0
DeKalb,0.0,4.98,6.97,9.96,4.98,9.96,6.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeWitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,0.0,5.07,5.07,10.13,0.0,10.13,20.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuPage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edgar,0.0,0.0,11.86,5.93,23.72,17.79,5.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edwards,0.0,16.01,32.03,16.01,16.01,0.0,32.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Effingham,0.0,5.77,8.65,2.88,8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fayette,0.0,9.31,9.31,4.65,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ford,0.0,0.0,7.39,7.39,22.17,0.0,14.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franklin,0.0,10.58,7.94,15.87,15.87,15.87,15.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulton,0.0,11.9,5.95,2.98,17.85,14.88,14.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallatin,0.0,40.44,40.44,40.44,20.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greene,0.0,16.69,0.0,0.0,8.34,0.0,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grundy,0.0,11.42,7.61,15.23,5.71,5.71,7.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
