County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,45.98,33.25,33.06,29.39,37.37,37.76,38.7,45.05,47.66,46.81,45.7,44.49,44.12,39.4,42.7
Adams,103.44,48.68,42.59,39.55,53.24,57.81,71.5,91.27,57.81,66.93,85.19,74.54,94.31,62.37,92.79
Alexander,38.17,38.17,114.5,19.08,76.34,38.17,114.5,57.25,133.59,229.01,152.67,114.5,95.42,95.42,171.76
Bond,53.81,29.9,101.64,41.85,59.79,35.87,89.69,41.85,53.81,29.9,47.83,41.85,71.75,41.85,35.87
Boone,48.65,20.58,29.94,18.71,46.77,26.19,39.29,56.13,43.03,54.26,50.52,44.9,59.87,50.52,52.39
Brown,64.06,0.0,32.03,48.05,0.0,80.08,64.06,32.03,16.02,32.03,64.06,32.03,0.0,96.09,64.06
Bureau,66.18,48.13,66.18,39.1,42.11,75.2,66.18,75.2,75.2,81.22,75.2,60.16,75.2,69.19,75.2
Calhoun,90.15,90.15,112.69,22.54,67.61,22.54,45.08,22.54,67.61,90.15,45.08,67.61,45.08,22.54,135.23
Carroll,89.16,63.69,95.53,25.47,63.69,70.05,57.32,70.05,44.58,82.79,57.32,57.32,127.37,76.42,50.95
Cass,122.68,69.01,23.0,46.01,115.01,46.0,61.34,92.01,7.67,76.68,130.35,92.01,46.01,53.67,61.34
Champaign,34.0,30.6,29.15,23.32,34.49,35.46,35.95,34.49,39.83,33.03,44.2,33.03,27.69,28.66,30.6
Chicago,27.42,27.2,24.47,23.27,29.02,29.82,28.98,25.6,41.47,26.73,26.47,25.56,25.78,21.08,22.68
Christian,73.46,32.32,47.01,41.14,64.64,52.89,67.58,73.46,73.46,67.58,91.09,111.66,70.52,73.46,91.09
Clark,77.65,77.65,84.12,45.29,64.7,58.23,58.23,116.47,64.7,45.29,97.06,77.64,97.06,84.11,64.7
Clay,112.88,60.2,97.83,82.78,67.73,52.68,30.1,142.99,67.73,82.78,127.94,52.68,97.83,82.78,67.73
Clinton,65.04,48.78,37.94,35.23,40.65,43.36,32.52,70.46,48.78,59.62,54.2,48.78,54.2,54.2,46.07
Coles,85.36,40.54,55.48,38.41,36.28,59.75,40.54,74.69,44.81,64.02,51.21,91.76,76.82,85.36,70.42
Cook,32.28,24.89,24.28,21.76,27.58,27.96,28.24,30.23,38.84,31.94,30.42,28.79,29.49,24.96,27.37
Crawford,112.43,53.54,37.48,58.89,64.24,91.01,42.83,69.6,91.01,74.95,80.3,64.24,48.18,64.24,101.72
Cumberland,86.12,66.99,95.69,76.56,38.28,38.28,66.99,95.69,57.42,86.12,76.55,86.12,86.12,124.4,47.85
DeKalb,27.88,40.83,22.9,28.88,26.89,29.87,29.87,26.89,39.83,37.84,39.83,36.85,31.87,40.83,42.82
