County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,25.4,24.66,23.18,20.91,24.26,24.79,23.98,25.33,24.82,25.83,25.24,24.93,31.34,29.67,30.85
Adams,41.07,31.95,36.51,24.34,19.78,21.3,18.25,16.73,16.73,36.51,13.69,34.99,30.42,34.99,42.59
Alexander,133.59,114.5,38.17,57.25,38.17,57.25,114.5,57.25,38.17,76.34,95.42,19.08,19.08,38.17,114.5
Bond,11.96,29.9,23.92,29.9,11.96,35.87,35.87,23.92,35.87,23.92,5.98,41.85,29.9,17.94,41.85
Boone,24.32,28.06,20.58,5.61,13.1,20.58,11.23,18.71,33.68,28.06,24.32,20.58,16.84,33.68,22.45
Brown,16.02,48.05,16.02,0.0,16.02,0.0,16.02,32.03,16.02,32.03,16.02,0.0,48.05,16.02,32.03
Bureau,21.06,15.04,30.08,30.08,24.06,18.05,15.04,24.06,30.08,12.03,18.05,6.02,12.03,18.05,6.02
Calhoun,45.08,22.54,45.08,0.0,45.08,67.61,90.15,45.08,45.08,45.08,0.0,45.08,45.08,90.15,135.23
Carroll,25.47,31.84,12.74,12.74,12.74,6.37,31.84,12.74,25.47,38.21,38.21,44.58,19.11,38.21,44.58
Cass,7.67,15.34,0.0,30.67,7.67,15.34,15.34,30.67,46.01,38.34,7.67,15.34,7.67,15.34,53.67
Champaign,14.09,17.97,17.49,12.63,17.97,16.52,8.74,6.8,6.8,12.14,15.54,16.52,16.03,15.54,17.0
Chicago,22.83,22.72,18.35,16.57,22.43,20.83,21.01,23.19,23.08,22.47,21.63,21.88,29.71,26.51,26.91
Christian,17.63,23.51,35.26,32.32,35.26,23.51,23.51,17.63,26.45,41.14,17.63,26.45,23.51,29.38,14.69
Clark,45.29,32.35,32.35,12.94,58.23,19.41,45.29,19.41,51.76,25.88,38.82,51.76,51.76,32.35,45.29
Clay,30.1,52.68,7.53,30.1,45.15,30.1,45.15,30.1,22.58,37.63,37.63,52.68,30.1,30.1,15.05
Clinton,21.68,27.1,46.07,16.26,16.26,35.23,18.97,24.39,27.1,16.26,16.26,18.97,27.1,21.68,29.81
Coles,29.87,38.41,21.34,27.74,32.01,25.61,29.87,25.61,17.07,27.74,25.61,23.47,23.47,25.61,40.54
Cook,22.37,22.03,20.04,17.99,21.5,21.23,20.53,22.56,21.74,22.01,21.21,21.15,27.98,24.79,25.84
Crawford,21.41,42.83,58.89,32.12,37.48,48.18,21.41,16.06,26.77,10.71,21.41,21.41,21.41,10.71,64.24
Cumberland,28.71,76.56,9.57,9.57,76.55,47.85,9.57,57.42,57.42,9.57,28.71,47.85,47.85,76.55,38.28
DeKalb,29.87,14.94,16.93,16.93,19.92,11.95,19.92,20.91,25.89,19.92,10.95,14.94,25.89,22.9,14.94
DeWitt,2.62,6.56,3.28,1.31,3.94,5.25,3.28,3.94,2.62,2.62,2.62,3.94,2.62,2.62,2.62
Douglas,30.39,15.2,5.07,15.2,10.13,25.33,45.59,20.26,25.33,10.13,10.13,30.4,20.26,30.4,15.2
DuPage,10.51,10.51,14.79,13.08,8.58,14.04,10.08,11.79,12.86,14.36,13.72,14.47,15.86,19.51,15.76
Edgar,5.93,17.79,47.43,17.79,23.72,35.57,23.72,23.72,47.43,41.5,59.29,41.5,41.5,41.5,17.79
Edwards,0.0,16.01,16.01,32.03,64.05,64.05,0.0,32.03,32.03,16.01,16.01,0.0,48.04,16.01,32.03
Effingham,20.19,37.5,20.19,14.42,31.73,37.5,31.73,28.84,11.54,37.5,40.38,57.69,54.81,43.27,63.46
Fayette,46.54,41.88,9.31,27.92,37.23,51.19,37.23,37.23,32.58,65.15,41.88,27.92,32.58,27.92,23.27
Ford,22.17,7.39,51.72,36.94,36.94,22.17,22.17,0.0,29.56,44.33,29.56,36.94,14.78,36.94,44.33
Franklin,60.84,76.71,52.9,44.97,68.78,55.55,79.36,55.55,39.68,42.32,37.03,52.9,68.78,58.19,92.58
Fulton,11.9,35.7,26.78,35.7,8.93,29.75,35.7,20.83,23.8,35.7,29.75,35.7,41.66,35.7,41.66
Gallatin,20.22,40.44,161.75,20.22,40.44,20.22,20.22,40.44,40.44,0.0,40.44,40.44,40.44,0.0,20.22
Greene,50.06,50.06,50.06,33.38,58.41,33.38,50.06,41.72,16.69,91.78,66.75,58.41,25.03,41.72,75.09
Grundy,34.26,13.32,13.33,11.42,22.84,34.26,39.98,28.55,26.65,28.55,45.69,34.26,32.36,36.17,24.75
Hamilton,12.51,25.02,62.55,100.09,0.0,25.02,37.53,25.02,25.02,37.53,50.04,50.04,100.09,12.51,75.07
Hancock,28.38,17.03,0.0,17.03,39.73,17.03,11.35,17.03,22.7,39.73,11.35,17.03,34.05,56.75,39.73
Hardin,109.62,27.4,54.81,82.21,0.0,27.4,109.62,54.81,109.62,82.21,54.81,0.0,54.81,27.4,82.21
Henderson,62.63,0.0,0.0,46.97,62.63,15.66,31.31,46.97,15.66,31.31,62.63,62.63,109.6,78.28,15.66
Henry,24.35,26.38,22.32,22.32,34.49,24.35,26.38,30.44,30.44,30.44,24.35,28.41,32.46,24.35,28.41
Iroquois,48.01,36.93,40.63,29.55,70.17,44.32,29.55,51.7,70.17,25.85,48.01,48.01,36.93,70.17,66.48
Jackson,26.43,16.99,28.32,24.54,11.33,20.76,22.65,15.1,18.88,39.64,32.09,16.99,18.88,32.09,26.43
Jasper,10.77,32.3,32.3,10.77,0.0,53.84,21.54,0.0,53.84,43.07,43.07,32.3,43.07,21.54,32.3
Jefferson,32.33,24.25,37.72,48.5,21.56,51.2,35.03,56.58,61.97,21.56,24.25,24.25,51.19,21.56,40.42
Jersey,46.49,37.19,27.89,18.59,55.78,79.03,65.08,88.32,46.49,65.08,41.84,79.03,51.13,79.03,60.43
Jo Daviess,22.69,9.08,27.23,22.69,22.69,27.23,13.61,18.15,13.61,22.69,22.69,22.69,18.15,31.77,22.69
Johnson,15.03,15.03,37.57,30.06,7.51,0.0,0.0,30.06,15.03,30.06,30.06,45.09,30.06,52.6,60.11
Kane,17.62,17.81,15.88,14.52,17.62,19.55,15.1,22.46,16.46,17.23,17.04,17.23,20.91,17.62,19.94
Kankakee,22.33,13.95,26.98,25.12,26.05,25.12,19.53,27.91,20.46,24.19,16.74,20.46,28.84,23.26,28.84
Kendall,11.37,6.07,15.92,12.13,6.83,11.38,14.41,9.86,8.34,13.65,12.13,10.62,12.13,12.13,19.72
Knox,28.02,24.02,24.02,18.01,42.03,46.03,34.02,44.03,56.04,34.02,38.03,48.03,40.03,38.02,32.02
LaSalle,31.01,26.45,14.59,15.5,20.97,17.33,30.09,38.3,33.74,35.57,28.27,23.71,36.48,30.09,20.97
