County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,0.0,299.68,232.75,302.72,273.82,289.03,260.13,246.44,310.33,293.59,275.34,228.18,237.31,269.25,249.48
Alexander,0.0,725.19,534.35,553.44,496.18,419.85,572.52,324.43,610.69,400.76,419.85,381.68,343.51,400.76,343.51
Bond,0.0,257.1,310.91,209.27,233.18,263.08,215.25,304.93,310.91,287.0,227.2,292.97,400.6,310.91,316.89
Boone,0.0,149.68,132.84,155.29,157.16,179.61,188.97,175.87,132.84,177.74,218.9,179.61,175.87,211.42,215.16
Brown,0.0,240.23,224.22,176.17,208.2,208.2,112.11,208.2,160.15,208.2,208.2,192.18,240.23,256.25,192.18
Bureau,0.0,279.75,294.79,282.76,285.77,336.9,327.88,303.81,327.88,282.76,306.82,327.88,309.83,276.74,282.76
Calhoun,0.0,495.83,315.53,450.76,405.68,473.29,383.14,405.68,338.07,270.45,383.14,338.07,405.68,360.6,428.22
Carroll,0.0,292.96,292.96,261.11,216.53,292.96,356.64,305.69,388.49,280.22,356.64,286.59,356.64,350.27,369.38
Cass,0.0,414.05,260.7,260.7,184.02,268.36,429.38,260.7,383.38,291.37,207.02,283.7,283.7,276.03,153.35
Champaign,0.0,114.64,111.72,126.3,121.44,142.33,138.93,106.87,136.5,136.5,130.18,147.18,159.33,161.27,160.3
Chicago,0.0,191.2,184.86,182.35,182.24,179.4,176.92,179.84,179.4,174.19,177.47,176.49,194.8,181.11,182.71
Christian,0.0,279.15,326.16,243.89,343.79,314.41,267.4,329.1,282.09,290.9,279.15,367.3,276.21,296.78,358.49
Clark,0.0,323.52,362.34,252.35,291.17,401.16,317.05,349.4,226.46,342.93,278.23,336.46,342.93,329.99,323.52
Clay,0.0,368.75,233.29,248.34,308.55,285.97,278.45,323.6,308.55,278.45,406.38,323.6,383.8,240.82,428.96
Clinton,0.0,243.91,173.45,262.88,295.4,287.27,227.65,295.4,268.3,300.82,238.49,287.27,308.95,268.3,289.98
Coles,0.0,253.93,281.67,288.07,290.21,243.26,271.0,360.63,264.6,266.73,234.73,249.66,266.73,226.19,258.2
Cook,0.0,195.98,194.24,191.71,191.34,190.35,190.22,192.51,188.57,187.77,193.23,191.13,206.9,194.46,194.67
Crawford,0.0,342.63,321.22,262.33,240.91,289.09,337.28,390.81,374.75,283.74,310.51,273.03,326.57,240.91,305.16
Cumberland,0.0,258.37,287.08,248.8,220.1,181.82,220.1,239.23,220.1,277.51,191.39,248.8,258.37,277.51,287.08
DeKalb,0.0,156.34,160.33,142.4,173.27,151.36,143.4,136.43,141.41,0.0,151.36,163.31,180.24,179.25,180.24
DeWitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,0.0,227.96,233.03,273.56,0.0,238.1,207.7,263.42,233.03,273.56,167.17,238.1,222.9,314.08,212.77
DuPage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.36,0.0,0.0,158.43,0.0,0.0,0.0,0.0
Edgar,0.0,438.75,438.75,337.96,456.54,385.39,492.11,391.32,379.46,266.81,361.67,403.18,337.96,314.24,456.54
Edwards,0.0,352.28,288.23,352.28,304.24,352.28,320.26,272.22,304.24,384.31,352.28,448.36,400.32,272.22,304.24
Effingham,0.0,219.22,207.68,199.03,207.68,233.64,236.53,282.68,173.07,265.37,213.45,219.22,184.61,196.15,170.19
Fayette,0.0,209.42,190.8,190.8,190.8,0.0,0.0,232.69,265.26,218.73,218.73,242.0,232.69,204.77,214.07
Ford,0.0,310.33,354.66,302.94,280.77,369.44,399.0,354.66,302.94,399.0,302.94,273.39,362.05,406.38,384.22
Franklin,0.0,238.07,259.23,230.13,259.23,248.65,219.55,203.68,235.42,304.2,264.52,253.94,290.97,301.56,275.1
Fulton,0.0,342.17,330.27,243.98,312.42,279.69,315.39,318.37,324.32,294.56,312.42,348.12,342.17,315.39,312.42
Gallatin,0.0,525.68,626.77,323.49,424.59,363.93,485.24,404.37,424.59,465.02,323.49,343.71,404.37,485.24,465.02
Greene,0.0,317.06,325.41,325.41,216.94,241.97,383.81,325.41,292.03,308.72,325.41,0.0,0.0,0.0,358.78
Grundy,0.0,194.16,148.48,203.68,173.22,148.48,194.16,186.55,0.0,159.9,159.9,177.03,209.39,180.84,226.52
Hamilton,0.0,575.5,525.46,487.93,562.99,362.82,337.8,375.33,262.73,400.35,287.75,312.77,237.71,262.73,387.84
Hancock,0.0,334.85,283.77,261.07,244.04,329.17,351.87,266.74,283.77,317.82,238.37,312.15,368.9,300.79,317.82
Hardin,0.0,301.45,356.26,411.07,411.07,712.52,411.07,301.45,520.69,493.29,383.67,328.86,438.48,548.1,301.45
Henderson,0.0,391.42,360.11,266.17,407.08,422.73,281.82,328.79,391.42,250.51,532.33,438.39,407.08,391.42,328.79
Henry,0.0,273.92,277.98,221.17,284.07,237.4,241.46,265.81,290.16,277.98,298.27,296.24,371.32,282.04,267.84
ILLINOIS,0.0,194.27,194.09,192.05,192.55,193.9,195.28,200.22,195.25,198.19,200.95,200.23,214.37,205.13,209.1
Iroquois,0.0,354.54,373.01,358.24,421.02,269.6,373.01,332.39,369.32,343.46,373.01,336.08,361.93,328.69,406.25
Jackson,0.0,179.33,203.87,205.76,232.19,220.86,201.99,203.87,201.99,213.31,190.66,213.31,258.62,254.84,247.29
Jasper,0.0,323.03,269.19,312.26,279.96,247.66,323.03,355.34,247.66,366.1,269.19,279.96,193.82,279.96,290.73
Jefferson,0.0,258.67,234.42,255.97,194.0,245.2,229.03,328.73,258.67,326.03,331.42,274.84,317.95,291.0,304.48
Jersey,0.0,283.56,311.45,339.35,320.75,376.53,232.43,251.02,320.75,339.35,297.51,381.18,357.94,255.67,325.4
Jo Daviess,0.0,267.76,245.06,208.76,245.06,258.68,313.14,258.68,254.14,285.91,258.68,272.29,344.91,249.6,294.99
Johnson,0.0,187.86,112.71,157.8,135.26,210.4,150.29,187.86,202.89,217.91,217.91,202.89,225.43,180.34,278.03
Kane,0.0,117.32,115.58,102.42,111.9,109.58,119.84,130.1,130.68,131.46,135.72,134.55,151.4,140.36,146.17
Kankakee,0.0,240.0,240.0,252.09,212.09,251.16,253.02,264.18,283.72,253.95,302.32,309.76,344.18,321.85,306.97
Kendall,0.0,72.04,74.32,78.87,72.04,62.18,91.0,103.89,77.35,85.69,77.35,94.03,111.47,109.2,100.86
Knox,0.0,364.24,342.23,306.2,304.2,302.2,306.2,344.23,338.22,332.22,322.21,322.21,344.23,316.21,322.21
LaSalle,0.0,317.35,311.88,329.21,294.55,310.97,329.21,315.53,261.72,289.08,286.34,275.4,297.29,267.19,308.23
Lake,0.0,118.99,131.17,123.19,131.73,137.33,133.83,140.41,129.07,130.47,135.23,140.83,154.83,144.75,151.19
Lawrence,0.0,359.95,196.34,242.15,307.59,261.78,301.05,399.21,255.24,301.05,196.34,261.78,209.42,274.87,242.15
Lee,0.0,251.87,254.8,240.15,225.51,287.01,272.37,292.87,266.51,263.58,284.08,298.73,295.8,275.3,304.58
Livingston,0.0,323.89,362.98,335.06,321.09,309.93,298.76,315.51,340.64,298.76,312.72,293.17,309.93,242.91,351.81
Logan,0.0,217.96,239.4,221.53,214.39,239.4,257.26,264.41,257.26,203.67,300.14,271.55,253.69,207.24,267.98
Macon,0.0,288.47,295.2,0.0,299.04,262.51,304.81,269.24,253.85,238.47,259.62,250.0,287.51,277.89,0.0
Macoupin,0.0,304.67,311.34,342.47,380.28,311.34,318.01,284.65,320.23,318.01,286.88,311.34,309.12,295.77,371.38
Madison,0.0,256.15,255.02,242.99,256.15,238.85,257.66,254.65,258.03,279.1,271.57,269.69,271.95,269.69,273.45
Marion,0.0,376.37,368.42,363.12,326.01,341.91,349.86,384.32,360.47,373.72,376.37,320.71,344.56,315.41,344.56
Marshall,0.0,349.17,451.37,366.21,0.0,332.14,349.17,357.69,255.49,374.72,366.21,442.85,391.76,289.56,434.34
Mason,0.0,351.52,275.1,343.88,259.82,382.09,290.39,282.74,305.67,290.39,267.46,290.39,336.24,374.45,389.73
Massac,0.0,367.0,381.11,374.06,374.06,338.77,345.83,402.29,472.86,402.29,338.77,155.27,289.36,239.96,239.96
McDonough,0.0,319.41,334.09,286.36,238.64,279.02,275.35,315.74,286.36,0.0,242.31,304.72,323.08,242.31,341.43
McHenry,0.0,114.75,131.84,125.39,139.9,132.48,140.22,146.99,147.63,155.69,156.34,151.82,174.06,179.22,183.74
McLean,0.0,143.9,149.16,139.22,132.2,155.01,167.3,162.03,159.11,169.05,180.17,158.52,197.13,170.22,186.6
Menard,0.0,284.62,309.02,138.25,260.23,113.85,203.3,138.25,195.17,227.7,187.04,0.0,0.0,0.0,235.83
Mercer,0.0,343.97,280.27,369.45,407.67,0.0,0.0,305.75,273.9,267.53,305.75,318.49,216.57,318.49,337.6
Monroe,0.0,180.2,148.73,185.92,148.73,203.08,185.92,197.36,0.0,208.8,223.1,220.24,217.38,245.98,203.08
Montgomery,0.0,307.55,300.48,226.24,304.02,282.81,250.99,311.09,286.34,282.81,219.17,321.69,289.88,240.38,247.45
Morgan,0.0,273.43,279.51,346.35,309.89,355.46,325.08,376.73,361.54,388.88,473.95,397.99,340.27,294.7,309.89
Moultrie,0.0,240.95,406.17,344.21,254.72,227.18,330.44,344.21,275.37,178.99,357.98,309.79,282.25,309.79,282.25
Ogle,0.0,247.16,212.4,208.54,208.54,220.13,183.44,220.13,195.03,241.37,229.78,214.34,235.58,229.78,241.37
Peoria,0.0,192.49,196.89,201.29,217.24,224.94,208.44,216.69,222.19,204.04,213.94,230.98,230.44,246.93,234.83
Perry,0.0,300.79,281.69,219.62,253.04,291.24,200.53,291.24,233.95,262.59,224.4,281.69,253.04,272.14,253.04
Piatt,0.0,251.9,221.92,275.9,293.89,257.9,251.9,221.92,263.9,269.9,209.92,209.92,299.89,281.89,197.92
Pike,0.0,264.6,230.68,257.82,210.33,264.6,264.6,284.96,298.53,264.6,346.02,257.82,251.03,291.74,325.67
Pope,0.0,239.17,318.89,398.62,425.19,345.47,212.6,372.04,345.47,531.49,345.47,318.89,265.75,531.49,318.89
Pulaski,0.0,462.16,442.9,327.36,539.19,404.39,558.44,654.73,346.62,423.65,596.96,423.65,346.62,404.39,828.04
Putnam,0.0,212.88,177.4,124.18,319.32,266.1,337.06,283.84,283.84,354.8,230.62,195.14,266.1,266.1,230.62
Randolph,0.0,334.85,251.96,285.12,242.02,281.8,288.43,318.27,258.59,301.69,268.54,275.17,285.12,321.59,271.86
Richland,0.0,328.84,341.49,246.63,259.28,297.22,278.25,328.84,284.58,322.52,341.49,290.9,341.49,373.11,360.46
Rock Island,0.0,266.81,291.69,328.33,299.99,295.15,263.35,293.08,288.93,276.49,258.52,264.74,270.96,253.68,266.12
Saline,0.0,319.76,403.9,286.1,265.06,349.21,315.55,302.93,345.0,260.85,302.93,319.76,311.34,281.89,353.42
Sangamon,0.0,238.87,214.93,203.22,208.31,221.04,225.63,226.13,212.38,224.1,234.79,209.84,249.56,233.27,244.47
Schuyler,0.0,362.21,391.19,318.75,289.77,260.79,217.33,376.7,333.24,347.73,391.19,275.28,260.79,304.26,333.24
Scott,0.0,242.47,262.68,343.5,282.89,262.68,222.27,363.71,202.06,222.27,181.85,404.12,363.71,404.12,262.68
Shelby,0.0,309.67,347.78,343.02,290.61,271.56,300.14,352.55,262.03,309.67,309.67,281.09,285.85,266.79,281.09
St. Clair,0.0,209.01,204.74,218.34,213.29,216.78,216.01,214.45,234.65,242.42,248.25,238.54,224.94,206.68,234.65
Stark,0.0,462.96,296.3,296.3,296.3,425.93,407.41,333.33,222.22,277.78,240.74,351.85,333.33,462.96,314.81
Stephenson,0.0,248.71,255.43,215.1,248.71,266.64,233.03,266.64,280.08,244.23,268.88,268.88,293.52,219.58,293.52
Suburban Cook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tazewell,0.0,245.92,242.88,233.74,213.18,229.17,251.25,277.9,264.96,271.81,255.82,207.85,267.24,279.42,0.0
Union,0.0,243.56,249.36,307.35,313.15,295.76,226.17,272.56,237.76,0.0,353.75,382.74,371.14,342.15,318.95
Vermilion,0.0,287.11,327.55,380.12,366.64,335.63,345.07,389.55,323.5,310.02,314.07,270.93,285.76,261.5,281.72
Wabash,0.0,246.46,404.89,299.27,299.27,228.85,290.47,281.67,378.49,176.04,220.05,193.64,264.06,246.46,246.46
Warren,0.0,273.24,285.12,291.06,285.12,338.58,291.06,273.24,356.4,297.0,332.64,314.82,415.8,291.06,273.24
Washington,0.0,239.81,261.61,268.88,356.08,239.81,356.08,276.14,290.68,297.94,297.94,276.14,254.34,225.27,283.41
Wayne,0.0,352.31,247.23,259.6,278.14,327.59,358.49,296.68,247.23,327.59,247.23,321.4,271.96,315.22,302.86
White,0.0,410.75,417.96,345.9,367.51,331.48,396.34,381.93,266.63,446.78,381.93,295.45,317.07,396.34,396.34
Whiteside,0.0,303.46,328.6,280.12,321.42,254.98,247.8,326.8,296.28,355.53,341.17,364.51,303.46,290.89,294.48
Will,0.0,125.51,132.55,141.45,131.69,138.15,145.76,148.06,148.2,154.09,150.79,0.0,0.0,0.0,165.29
Williamson,0.0,257.62,235.28,263.58,236.77,242.73,205.5,184.65,215.92,227.84,212.95,211.46,227.84,229.33,253.15
Winnebago,0.0,213.42,224.64,215.52,224.64,223.59,220.78,251.62,231.65,241.46,245.66,256.88,256.53,268.09,277.55
Woodford,0.0,202.77,220.97,189.77,0.0,226.17,215.77,252.16,184.57,244.37,213.17,272.96,278.16,233.97,298.96
