County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,23.71,21.48,19.6,21.23,20.56,21.25,21.69,20.36,19.41,20.91,22.39,18.57,21.73,15.19,17.32
Adams,57.81,38.03,39.55,48.68,47.16,33.47,48.68,44.12,24.34,36.51,27.38,18.25,34.99,13.69,16.73
Alexander,57.25,57.25,0.0,38.17,0.0,19.08,76.34,38.17,114.5,38.17,0.0,95.42,57.25,57.25,0.0
Bond,47.83,59.79,23.92,47.83,17.94,29.9,29.9,11.96,29.9,11.96,17.94,17.94,17.94,17.94,5.98
Boone,13.1,7.48,13.1,11.23,14.97,13.1,13.1,11.23,14.97,9.35,18.71,3.74,16.84,26.19,9.35
Brown,16.02,0.0,16.02,0.0,0.0,16.02,0.0,16.02,16.02,0.0,32.03,0.0,32.03,0.0,0.0
Bureau,30.08,45.12,42.11,36.1,48.13,33.09,39.1,39.1,39.1,54.15,18.05,21.06,30.08,24.06,18.05
Calhoun,0.0,0.0,0.0,45.08,0.0,0.0,22.54,45.08,67.61,0.0,0.0,22.54,45.08,22.54,0.0
Carroll,38.21,6.37,25.47,19.11,12.74,44.58,12.74,19.11,19.11,19.11,6.37,6.37,25.47,6.37,6.37
Cass,15.34,46.01,30.67,30.67,38.34,7.67,30.67,53.67,7.67,38.34,7.67,23.0,30.67,0.0,53.67
Champaign,13.12,15.06,9.72,13.6,12.14,11.17,13.6,13.6,10.69,16.52,14.09,11.17,13.12,8.74,12.63
Chicago,19.26,18.1,15.77,17.19,17.11,15.66,15.84,15.33,15.66,15.88,16.97,15.37,17.44,12.45,13.65
Christian,44.08,35.26,26.45,41.14,32.32,38.2,38.2,67.58,20.57,23.51,47.01,29.38,29.38,20.57,41.14
Clark,12.94,25.88,45.29,32.35,25.88,45.29,25.88,32.35,45.29,12.94,32.35,12.94,12.94,32.35,0.0
Clay,22.58,37.63,37.63,67.73,52.68,52.68,15.05,60.2,45.15,45.15,22.58,15.05,15.05,7.53,30.1
Clinton,27.1,21.68,16.26,8.13,21.68,13.55,27.1,40.65,32.52,24.39,21.68,21.68,18.97,16.26,16.26
Coles,23.47,32.01,17.07,27.74,21.34,19.2,19.2,17.07,23.47,32.01,46.95,17.07,34.14,17.07,19.2
Cook,20.68,18.65,16.93,18.33,17.51,17.38,17.99,16.55,17.04,17.21,18.65,15.75,19.16,11.79,14.48
Crawford,37.48,53.54,21.41,48.18,10.71,5.35,16.06,42.83,26.77,32.12,10.71,26.77,10.71,5.35,16.06
Cumberland,66.99,19.14,0.0,19.14,28.71,28.71,19.14,28.71,28.71,19.14,86.12,47.85,19.14,9.57,19.14
DeKalb,8.96,5.97,13.94,13.94,14.94,9.96,20.91,16.93,6.97,16.93,11.95,19.92,16.93,10.95,8.96
