County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,0.0,15.21,9.13,12.17,9.13,6.08,13.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander,0.0,19.08,19.08,19.08,19.08,19.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bond,0.0,0.0,17.94,17.94,0.0,5.98,11.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boone,0.0,13.1,5.61,3.74,14.97,20.58,5.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown,0.0,16.02,16.02,0.0,16.02,0.0,48.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bureau,0.0,12.03,27.07,9.02,12.03,15.04,9.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calhoun,0.0,0.0,45.08,0.0,22.54,0.0,22.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carroll,0.0,0.0,19.11,31.84,19.11,19.11,19.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cass,0.0,0.0,7.67,0.0,38.34,7.67,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Champaign,0.0,11.66,8.26,3.89,6.8,10.69,8.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicago,0.0,6.81,6.23,5.83,7.06,7.5,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,0.0,11.75,8.82,14.69,26.45,5.88,29.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark,0.0,6.47,12.94,32.35,12.94,32.35,25.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clay,0.0,15.05,15.05,15.05,30.1,22.58,15.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinton,0.0,13.55,8.13,10.84,16.26,10.84,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coles,0.0,14.94,12.8,4.27,8.54,21.34,10.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook,0.0,7.51,7.39,6.37,8.55,8.47,8.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crawford,0.0,16.06,16.06,5.35,16.06,16.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumberland,0.0,9.57,0.0,28.71,9.57,9.57,9.57,0.0,0.0,7263.16,0.0,0.0,0.0,0.0,0.0
DeKalb,0.0,11.95,1.99,4.98,6.97,7.97,12.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeWitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,0.0,0.0,5.07,10.13,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuPage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edgar,0.0,11.86,23.72,5.93,29.65,53.36,5.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edwards,0.0,0.0,48.04,0.0,0.0,16.01,64.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Effingham,0.0,0.0,0.0,0.0,11.54,8.65,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fayette,0.0,9.31,23.27,18.62,9.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ford,0.0,22.17,14.78,14.78,7.39,14.78,7.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franklin,0.0,5.29,15.87,29.1,13.23,13.23,18.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulton,0.0,8.93,11.9,20.83,8.93,8.93,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallatin,0.0,40.44,40.44,40.44,20.22,20.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greene,0.0,25.03,8.34,8.34,0.0,16.69,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grundy,0.0,7.61,9.52,19.04,11.42,13.32,15.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamilton,0.0,12.51,12.51,12.51,0.0,25.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hancock,0.0,5.68,0.0,17.03,5.68,11.35,11.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hardin,0.0,0.0,54.81,0.0,0.0,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henderson,0.0,46.97,15.66,0.0,31.31,0.0,15.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry,0.0,18.26,18.26,16.23,4.06,8.12,8.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILLINOIS,0.0,9.1,9.12,8.12,10.11,10.31,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iroquois,0.0,11.08,18.47,7.39,22.16,36.93,22.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jackson,0.0,9.44,5.66,18.88,18.88,13.21,11.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jasper,0.0,10.77,21.54,21.54,0.0,21.54,10.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson,0.0,5.39,16.17,18.86,13.47,16.17,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jersey,0.0,0.0,9.3,13.95,4.65,9.3,13.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jo Daviess,0.0,4.54,9.08,22.69,13.61,4.54,9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnson,0.0,15.03,7.51,15.03,0.0,7.51,7.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kane,0.0,6.2,9.29,6.97,9.29,6.97,8.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kankakee,0.0,7.44,7.44,11.16,10.23,8.37,13.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendall,0.0,9.86,6.07,7.58,9.86,3.03,9.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knox,0.0,16.01,16.01,10.01,14.01,20.01,20.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaSalle,0.0,9.12,13.68,17.33,10.03,17.33,20.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
