County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,213.86,212.16,211.05,208.69,214.92,214.43,214.01,216.21,213.2,210.15,207.34,207.4,207.49,204.01,202.36
Adams,238.83,226.66,229.7,254.04,237.31,252.52,249.48,241.87,187.11,258.61,246.44,290.55,214.49,279.9,237.31
Alexander,496.18,400.76,229.01,362.6,400.76,496.18,496.18,610.69,324.43,381.68,343.51,496.18,477.1,400.76,400.76
Bond,215.25,269.06,161.43,251.12,281.02,203.29,143.5,251.12,245.14,245.14,215.25,215.25,221.22,221.23,257.1
Boone,149.68,134.71,170.26,153.42,183.35,164.65,213.29,175.87,172.13,159.03,188.97,183.36,155.29,218.9,177.74
Brown,128.12,192.19,176.17,192.19,144.14,240.23,112.11,144.14,240.23,288.28,208.2,224.21,256.25,96.09,128.12
Bureau,285.77,282.76,258.69,255.68,222.6,273.73,225.6,249.67,261.7,285.77,261.7,297.8,273.73,258.69,252.68
Calhoun,383.14,270.45,270.45,180.3,383.14,270.45,315.53,157.76,202.84,315.53,202.84,450.75,292.99,360.6,247.91
Carroll,305.69,324.8,312.06,331.17,350.27,292.96,286.59,261.11,197.43,331.17,197.43,273.85,280.22,343.9,356.64
Cass,283.7,253.03,253.03,283.7,276.03,214.69,329.7,199.36,322.04,145.68,245.36,222.36,199.36,191.69,199.36
Champaign,124.84,133.58,126.3,132.61,132.61,121.92,139.41,131.64,135.04,150.58,124.35,128.73,136.01,148.16,131.64
Chicago,168.4,161.34,163.63,157.77,161.23,165.16,161.27,165.16,161.37,155.41,150.38,152.02,148.23,143.68,141.75
Christian,264.46,293.84,285.03,287.96,273.27,252.7,299.72,287.96,290.9,267.4,293.84,279.15,217.44,302.66,232.13
Clark,304.11,342.93,252.35,291.17,297.64,258.82,323.52,258.82,232.93,258.82,323.52,207.05,239.4,245.87,297.64
Clay,331.13,331.13,285.97,338.65,165.56,270.92,195.67,285.97,391.33,210.72,308.55,225.77,195.66,293.5,308.55
Clinton,230.36,246.62,195.13,195.13,187.0,233.07,200.55,170.74,200.55,165.32,214.1,192.42,181.58,162.61,208.68
Coles,277.41,187.78,249.66,177.11,266.73,273.14,226.19,277.4,228.32,160.04,209.12,211.25,234.73,194.18,228.32
Cook,183.53,179.43,178.77,174.79,179.89,179.94,178.45,181.08,178.07,173.61,170.3,170.62,168.0,165.29,160.19
Crawford,315.86,310.51,256.97,230.2,278.39,305.15,267.68,251.62,262.33,251.62,273.03,251.62,278.39,289.1,208.79
Cumberland,315.79,248.8,267.94,373.21,287.08,258.37,325.36,191.39,239.23,325.36,191.39,172.25,220.1,287.08,181.82
DeKalb,126.47,159.33,146.38,156.34,160.33,148.38,163.31,164.31,182.23,166.3,172.28,175.26,170.29,171.28,176.26
DeWitt,29.53,35.44,23.62,27.56,25.59,27.56,30.84,28.87,25.59,23.62,31.5,29.53,27.56,26.25,22.97
Douglas,233.03,207.7,227.96,202.63,258.36,227.96,167.17,248.23,197.57,273.56,253.29,212.77,192.5,248.23,253.29
DuPage,159.29,158.86,151.47,157.47,153.61,158.54,157.04,155.97,163.47,157.36,148.36,159.83,163.47,154.36,161.54
Edgar,266.81,260.88,237.16,243.09,302.38,349.82,254.95,326.1,302.38,219.38,225.31,272.74,367.6,254.95,367.6
Edwards,256.21,224.18,400.32,336.27,240.19,272.22,320.26,240.19,160.13,272.22,176.14,256.21,352.28,320.26,320.26
Effingham,199.03,245.18,193.26,242.3,213.45,219.22,233.64,233.64,187.49,141.34,181.72,199.03,248.07,227.88,222.11
Fayette,232.69,195.46,237.34,209.42,255.96,223.38,162.88,330.42,246.65,260.61,209.42,255.96,204.77,218.73,228.03
