County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,0.0,24.34,22.82,31.95,31.95,24.34,19.78,27.38,24.34,31.95,30.42,22.82,33.47,28.9,30.42
Alexander,0.0,133.59,57.25,76.34,171.76,76.34,76.34,229.01,95.42,76.34,19.08,95.42,95.42,57.25,19.08
Bond,0.0,29.9,23.92,23.92,11.96,23.92,29.9,41.85,11.96,17.94,29.9,17.94,23.92,23.92,17.94
Boone,0.0,5.61,13.1,20.58,16.84,14.97,24.32,31.81,29.94,18.71,16.84,5.61,16.84,22.45,11.23
Brown,0.0,16.02,16.02,16.02,32.03,32.03,48.05,0.0,32.03,32.03,16.02,16.02,32.03,0.0,0.0
Bureau,0.0,36.1,9.02,21.06,33.09,36.1,57.15,27.07,54.15,45.12,45.12,39.1,33.09,39.1,48.13
Calhoun,0.0,45.08,0.0,22.54,0.0,67.61,45.08,90.15,45.08,45.08,0.0,0.0,45.08,67.61,0.0
Carroll,0.0,19.11,25.47,50.95,25.47,19.11,12.74,31.84,25.47,31.84,31.84,19.11,19.11,12.74,19.11
Cass,0.0,23.0,46.01,0.0,38.34,30.67,38.34,38.34,38.34,53.67,15.34,15.34,30.67,15.34,7.67
Champaign,0.0,13.6,10.69,12.14,12.14,11.66,15.06,9.72,10.2,11.17,20.4,14.09,14.09,16.03,13.6
Chicago,0.0,20.5,21.77,20.61,17.22,16.35,18.13,16.64,16.46,16.46,18.93,17.95,18.17,16.79,18.39
Christian,0.0,32.32,26.45,26.45,8.82,20.57,20.57,29.38,17.63,41.14,26.45,32.32,20.57,55.83,26.45
Clark,0.0,32.35,45.29,25.88,6.47,38.82,19.41,71.17,64.7,25.88,19.41,19.41,19.41,25.88,38.82
Clay,0.0,60.2,22.58,7.53,67.73,120.41,180.61,188.14,90.31,105.36,15.05,52.68,22.58,45.15,52.68
Clinton,0.0,18.97,2.71,8.13,18.97,18.97,10.84,16.26,16.26,35.23,21.68,16.26,24.39,18.97,21.68
Coles,0.0,21.34,21.34,29.87,25.61,14.94,17.07,29.87,23.47,25.61,10.67,10.67,27.74,19.2,27.74
Cook,0.0,22.01,20.89,20.7,17.48,17.31,19.09,17.57,18.05,18.03,20.74,18.96,19.92,18.5,20.47
Crawford,0.0,26.77,16.06,26.77,26.77,32.12,26.77,32.12,42.83,16.06,32.12,26.77,58.89,16.06,32.12
Cumberland,0.0,9.57,28.71,28.71,19.14,19.14,9.57,28.71,19.14,9.57,38.28,28.71,38.28,28.71,9.57
DeKalb,0.0,17.92,21.91,13.94,10.95,14.94,17.92,18.92,15.93,0.0,13.94,14.94,7.97,13.94,21.91
DeWitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,0.0,35.46,20.26,5.07,0.0,15.2,40.53,25.33,5.07,40.53,25.33,15.2,20.26,25.33,15.2
DuPage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.79,0.0,0.0,14.26,0.0,0.0,0.0,0.0
Edgar,0.0,35.57,11.86,29.65,53.36,35.57,35.57,47.43,77.08,35.57,53.36,53.36,41.5,47.43,11.86
Edwards,0.0,32.03,0.0,0.0,32.03,64.05,64.05,32.03,48.04,80.06,16.01,32.03,32.03,32.03,64.05
Effingham,0.0,14.42,37.5,37.5,31.73,20.19,14.42,11.54,17.31,17.31,14.42,20.19,14.42,14.42,25.96
Fayette,0.0,27.92,27.92,37.23,32.58,0.0,0.0,18.62,13.96,18.62,27.92,32.58,18.62,27.92,41.88
Ford,0.0,44.33,14.78,22.17,66.5,51.72,14.78,14.78,36.94,22.17,29.56,7.39,29.56,44.33,36.94
Franklin,0.0,50.26,76.71,74.07,37.03,55.55,50.26,37.03,55.55,13.23,37.03,31.74,31.74,23.81,31.74
Fulton,0.0,14.88,26.78,17.85,41.66,29.75,35.7,35.7,23.8,32.73,23.8,20.83,29.75,41.66,35.7
Gallatin,0.0,60.66,40.44,0.0,20.22,101.09,20.22,20.22,40.44,40.44,121.31,121.31,80.87,40.44,101.09
Greene,0.0,41.72,58.41,50.06,16.69,16.69,58.41,16.69,16.69,8.34,50.06,0.0,0.0,0.0,50.06
Grundy,0.0,15.23,26.65,24.75,13.32,13.32,13.32,13.32,0.0,11.42,13.32,24.75,19.04,17.13,22.84
Hamilton,0.0,75.07,12.51,37.53,62.55,62.55,100.09,12.51,37.53,37.53,37.53,37.53,25.02,12.51,75.07
Hancock,0.0,39.73,17.03,5.68,17.03,28.38,39.73,17.03,51.08,22.7,28.38,28.38,39.73,68.1,39.73
Hardin,0.0,54.81,27.4,0.0,27.4,0.0,27.4,54.81,54.81,109.62,27.4,0.0,27.4,27.4,27.4
Henderson,0.0,0.0,15.66,78.28,15.66,15.66,15.66,31.31,46.97,0.0,0.0,15.66,15.66,46.97,31.31
Henry,0.0,24.35,14.2,28.41,26.38,20.29,12.17,32.46,28.41,26.38,22.32,8.12,18.26,28.41,20.29
ILLINOIS,0.0,20.98,19.5,20.75,18.67,19.08,19.64,19.85,19.65,20.03,20.64,19.89,20.69,20.67,22.47
Iroquois,0.0,25.85,59.09,59.09,18.47,48.01,22.16,25.85,29.55,44.32,33.24,22.16,25.85,18.47,33.24
Jackson,0.0,32.09,30.2,16.99,20.76,28.32,26.43,26.43,35.87,24.54,33.98,24.54,28.32,28.32,22.65
Jasper,0.0,21.54,0.0,21.54,53.84,75.37,32.3,0.0,21.54,10.77,10.77,32.3,32.3,21.54,21.54
Jefferson,0.0,26.94,18.86,24.25,53.89,51.19,35.03,51.19,32.33,26.94,24.25,26.94,21.56,37.72,29.64
Jersey,0.0,18.59,46.49,79.03,4.65,18.59,23.24,13.95,27.89,37.19,13.95,41.84,55.78,65.08,18.59
Jo Daviess,0.0,31.77,0.0,9.08,18.15,9.08,9.08,18.15,9.08,22.69,31.77,13.61,13.61,27.23,36.31
Johnson,0.0,7.51,7.51,0.0,30.06,22.54,0.0,7.51,30.06,22.54,30.06,7.51,7.51,22.54,15.03
Kane,0.0,14.52,13.75,16.46,17.23,16.07,17.23,18.78,14.71,17.04,19.75,16.26,14.71,17.62,23.43
Kankakee,0.0,48.37,18.6,21.39,17.67,24.19,29.77,13.95,21.39,28.84,30.7,24.19,30.7,21.39,26.98
Kendall,0.0,13.65,9.1,8.34,6.07,10.62,9.1,11.37,6.82,11.37,9.1,14.41,11.37,19.72,21.99
Knox,0.0,10.01,34.02,46.03,18.01,40.03,22.01,36.02,16.01,20.01,34.02,32.02,28.02,16.01,48.03
LaSalle,0.0,20.06,17.33,32.83,17.33,20.97,14.59,14.59,23.71,24.62,18.24,26.45,20.06,11.86,19.15
Lake,0.0,12.88,14.7,19.32,13.16,14.14,13.86,16.24,17.78,13.58,14.98,18.34,16.66,17.5,20.58
Lawrence,0.0,39.27,45.81,78.53,26.18,45.81,39.27,13.09,32.72,45.81,13.09,45.81,45.81,19.63,26.18
Lee,0.0,17.57,8.79,11.71,14.64,32.22,26.36,11.71,23.43,23.43,38.07,32.22,32.22,23.43,35.14
Livingston,0.0,39.09,39.09,27.92,30.71,22.34,25.13,19.54,16.75,25.13,11.17,19.54,30.71,27.92,19.54
Logan,0.0,21.44,21.44,7.15,14.29,42.88,17.87,32.16,39.3,35.73,10.72,21.44,25.01,35.73,25.01
Macon,0.0,29.81,20.19,0.0,40.39,33.65,32.69,26.92,26.92,34.62,24.04,22.12,21.15,26.92,0.0
Macoupin,0.0,33.36,17.79,35.58,26.69,31.13,15.57,31.13,15.57,17.79,6.67,22.24,35.58,35.58,37.81
Madison,0.0,28.21,22.19,25.2,27.46,28.59,28.21,25.2,28.96,22.94,24.83,22.19,25.2,23.32,25.95
Marion,0.0,39.76,50.36,39.76,34.46,47.71,15.9,47.71,37.11,53.01,53.01,53.01,45.06,58.31,34.46
Marshall,0.0,17.03,8.52,25.55,0.0,59.62,42.58,34.07,34.07,34.07,25.55,8.52,0.0,25.55,42.58
Mason,0.0,15.28,30.57,30.57,30.57,22.93,30.57,45.85,15.28,68.78,30.57,30.57,30.57,15.28,45.85
Massac,0.0,42.35,42.35,42.35,42.35,49.4,56.46,7.06,56.46,77.63,70.58,14.12,56.46,35.29,21.17
McDonough,0.0,11.01,22.03,25.7,33.04,14.69,25.7,7.34,40.38,0.0,44.06,33.04,18.36,29.37,25.7
McHenry,0.0,8.7,13.86,13.22,15.47,13.86,13.86,21.92,12.57,12.25,17.41,10.64,15.79,18.7,18.37
McLean,0.0,7.6,14.62,16.96,9.36,8.77,8.77,15.21,9.94,10.53,14.04,14.62,12.28,15.21,16.96
Menard,0.0,8.13,24.4,24.4,8.13,8.13,24.4,32.53,24.4,32.53,40.66,0.0,0.0,0.0,24.4
Mercer,0.0,38.22,31.85,25.48,0.0,0.0,0.0,12.74,12.74,19.11,31.85,25.48,19.11,38.22,12.74
Monroe,0.0,8.58,5.72,14.3,20.02,11.44,20.02,11.44,0.0,25.74,22.88,20.02,22.88,17.16,28.6
Montgomery,0.0,42.42,38.89,38.89,17.68,7.07,35.35,28.28,45.96,28.28,21.21,24.75,35.35,24.75,21.21
Morgan,0.0,6.08,21.27,18.23,15.19,12.15,9.11,21.27,6.08,24.31,9.11,15.19,18.23,18.23,42.53
