County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,18.86,19.09,17.26,16.65,15.39,14.89,16.42,15.63,14.72,15.4,15.11,14.69,0.0,0.0,0.0
Adams,21.3,25.86,15.21,24.34,18.25,19.78,30.42,56.28,45.64,42.59,39.55,25.86,0.0,0.0,0.0
Alexander,76.34,38.17,19.08,57.25,114.5,19.08,19.08,38.17,0.0,57.25,19.08,95.42,0.0,0.0,0.0
Bond,5.98,23.92,17.94,17.94,23.92,23.92,5.98,23.92,5.98,17.94,29.9,23.92,0.0,0.0,0.0
Boone,13.1,16.84,7.48,7.48,0.0,9.35,7.48,5.61,5.61,5.61,3.74,9.35,0.0,0.0,0.0
Brown,32.03,16.02,32.03,16.02,16.02,16.02,16.02,32.03,32.03,32.03,0.0,32.03,0.0,0.0,0.0
Bureau,6.02,9.02,9.02,12.03,15.04,15.04,12.03,9.02,36.1,24.06,12.03,18.05,0.0,0.0,0.0
Calhoun,45.08,22.54,22.54,22.54,0.0,22.54,22.54,22.54,0.0,22.54,0.0,22.54,0.0,0.0,0.0
Carroll,12.74,25.47,6.37,25.47,31.84,12.74,25.47,0.0,25.47,6.37,31.84,6.37,0.0,0.0,0.0
Cass,15.34,38.34,0.0,15.34,15.34,7.67,15.34,15.34,15.34,7.67,23.0,15.34,0.0,0.0,0.0
Champaign,7.77,13.6,7.77,9.72,13.12,8.26,7.77,8.26,14.57,8.74,4.37,11.17,0.0,0.0,0.0
Chicago,20.61,18.79,16.75,15.11,15.11,13.33,14.46,12.09,10.85,11.4,10.78,11.11,0.0,0.0,0.0
Christian,20.57,23.51,20.57,29.38,38.2,29.38,26.45,29.38,38.2,23.51,49.95,14.69,0.0,0.0,0.0
Clark,32.35,12.94,6.47,45.29,19.41,12.94,12.94,6.47,25.88,12.94,38.82,25.88,0.0,0.0,0.0
Clay,45.15,22.58,67.73,15.05,37.63,30.1,30.1,37.63,45.15,0.0,0.0,22.58,0.0,0.0,0.0
Clinton,16.26,27.1,13.55,24.39,16.26,21.68,24.39,21.68,13.55,21.68,24.39,27.1,0.0,0.0,0.0
Coles,12.8,21.34,14.94,4.27,4.27,12.8,12.8,21.34,19.2,17.07,17.07,12.8,0.0,0.0,0.0
Cook,19.03,18.84,16.38,15.26,13.72,12.45,14.6,12.3,11.77,11.77,11.3,10.84,0.0,0.0,0.0
Crawford,0.0,16.06,21.41,16.06,26.77,42.83,21.41,21.41,21.41,26.77,26.77,10.71,0.0,0.0,0.0
Cumberland,19.14,19.14,0.0,9.57,0.0,19.14,28.71,9.57,0.0,38.28,19.14,9.57,0.0,0.0,0.0
DeKalb,6.97,10.95,6.97,7.97,7.97,7.97,8.96,8.96,10.95,5.97,4.98,3.98,0.0,0.0,0.0
DeWitt,1.31,0.0,0.66,1.31,1.31,3.94,0.0,3.28,1.31,4.59,1.97,3.28,0.0,0.0,0.0
Douglas,0.0,5.07,10.13,20.26,10.13,10.13,35.46,25.33,15.2,20.26,10.13,20.26,0.0,0.0,0.0
DuPage,9.0,9.11,9.97,11.04,7.93,7.4,8.15,8.9,9.43,8.36,8.25,8.79,0.0,0.0,0.0
Edgar,0.0,11.86,29.65,29.65,5.93,11.86,17.79,17.79,5.93,11.86,17.79,11.86,0.0,0.0,0.0
Edwards,0.0,48.04,48.04,16.01,0.0,0.0,0.0,32.03,0.0,0.0,32.03,80.06,0.0,0.0,0.0
Effingham,2.88,2.88,11.54,25.96,11.54,34.61,14.42,23.08,20.19,14.42,28.85,23.08,0.0,0.0,0.0
