County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,0.0,1198.72,1096.79,1239.79,1172.86,1212.41,1195.67,1265.65,1175.9,1238.27,1324.98,1195.67,1334.1,1423.86,1273.26
Alexander,0.0,2118.32,1736.64,2003.82,1889.31,1851.15,2080.15,1851.15,1927.48,1832.06,1641.22,2118.32,2175.57,1984.73,1832.06
Bond,0.0,1004.48,1082.21,1058.3,962.63,1034.38,956.65,1147.98,1094.17,1040.36,968.61,1064.28,1195.81,1315.4,1153.96
Boone,0.0,591.23,608.07,681.04,735.29,707.23,772.71,744.65,761.49,806.39,896.2,739.04,913.04,939.23,939.23
Brown,0.0,944.91,1105.06,736.71,800.77,976.94,816.78,752.72,928.89,1137.09,912.88,848.81,1121.08,1073.03,896.86
Bureau,0.0,1073.88,1149.08,1131.03,1010.71,1254.36,1143.06,1140.06,1344.6,1164.12,1176.15,1299.48,1431.84,1344.6,1278.43
Calhoun,0.0,1352.27,1104.35,1194.5,1262.11,1307.19,1171.96,1126.89,1126.89,1149.43,1126.89,1397.34,1532.57,1555.1,1960.78
Carroll,0.0,1152.72,1273.72,1152.72,1254.62,1203.67,1197.3,1222.77,1127.24,1235.51,1216.41,1171.83,1624.0,1369.25,1528.47
Cass,0.0,1134.8,1065.79,1088.79,1188.47,950.77,1311.15,1104.13,1219.14,1058.12,1042.78,1134.8,1249.81,1134.8,981.44
Champaign,0.0,576.11,545.99,587.28,562.5,604.28,631.97,610.11,636.83,664.51,663.06,675.2,736.89,798.1,740.29
Chicago,0.0,699.68,677.18,682.46,688.58,685.45,691.93,703.03,721.27,718.84,715.85,714.76,938.29,833.17,804.98
Christian,0.0,1134.23,1201.81,1187.12,1251.76,1107.78,1198.87,1316.41,1219.44,1198.87,1263.52,1319.35,1413.38,1472.14,1313.47
Clark,0.0,1384.67,1319.96,1281.14,1209.96,1326.43,1442.9,1352.31,1151.73,1197.02,1326.43,1319.96,1475.25,1520.54,1404.08
Clay,0.0,1490.07,1316.98,1324.5,1301.93,1316.98,1098.74,1490.07,1362.13,1166.47,1369.66,1173.99,1459.96,1369.66,1429.86
Clinton,0.0,945.83,799.48,864.52,910.59,978.35,891.62,1019.0,929.56,1035.26,956.67,924.14,1138.24,989.19,1005.45
