County,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,16.61,17.68,18.71,19.53,20.51,21.43,22.52,23.66,24.81,25.83,26.97,28.17,29.36,30.5
Adams,22.82,22.82,22.82,25.86,30.42,30.42,30.42,33.47,34.99,36.51,36.51,36.51,36.51,36.51
Alexander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bond,131.54,137.52,149.48,155.46,173.39,179.37,185.35,191.33,191.33,197.31,197.31,197.31,197.31,197.31
Boone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,1.87,1.87,1.87,1.87,1.87
Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bureau,24.06,24.06,24.06,24.06,24.06,24.06,24.06,24.06,24.06,24.06,27.07,27.07,27.07,27.07
Calhoun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Champaign,18.94,21.37,21.86,24.29,25.26,26.23,28.66,30.12,32.55,32.55,34.49,36.43,38.37,38.86
Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinton,0.0,0.0,0.0,0.0,2.71,5.42,5.42,5.42,5.42,8.13,8.13,10.84,10.84,10.84
Coles,36.28,36.28,40.54,42.68,42.68,42.68,42.68,46.95,46.95,49.08,49.08,49.08,49.08,51.21
Cook,19.01,20.62,21.97,23.33,24.62,25.99,27.5,29.13,30.8,32.34,34.31,36.41,38.42,40.72
Crawford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumberland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeKalb,18.92,19.92,19.92,20.91,20.91,21.91,22.9,24.9,28.88,28.88,28.88,28.88,28.88,28.88
DeWitt,19.33,19.33,19.33,19.33,19.33,19.33,19.33,19.33,19.33,19.33,19.33,19.33,19.33,19.33
Douglas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuPage,20.26,21.22,22.19,22.51,23.48,23.8,24.12,24.98,25.62,26.05,26.8,27.12,27.44,27.55
Edgar,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79
Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
