County,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,65.96,69.86,73.22,76.73,79.74,82.46,85.44,88.26,90.97,94.31,97.8,101.82,106.46,111.27
Adams,104.96,109.53,118.65,121.7,124.74,130.82,135.39,139.95,152.12,159.73,170.38,173.42,181.02,193.19
Alexander,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25,57.25
Bond,47.83,47.83,53.81,53.81,53.81,53.81,53.81,59.79,59.79,59.79,65.77,71.75,71.75,71.75
Boone,54.26,58.0,58.0,59.87,59.87,63.61,63.61,63.61,67.36,67.36,67.36,71.1,72.97,72.97
Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bureau,51.14,51.14,51.14,51.14,54.15,57.15,57.15,60.16,60.16,60.16,60.16,60.16,60.16,66.18
Calhoun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Champaign,60.23,64.12,68.98,75.29,79.66,83.06,85.98,91.32,97.15,101.52,106.87,112.7,119.98,128.73
Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark,12.94,12.94,12.94,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41
Clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinton,18.97,18.97,18.97,18.97,21.68,21.68,21.68,21.68,21.68,24.39,24.39,24.39,24.39,24.39
Coles,72.55,78.95,78.95,83.22,93.89,96.02,100.29,102.43,106.69,106.69,108.83,108.83,113.1,117.36
Cook,84.2,89.79,94.81,99.5,103.5,107.31,111.5,115.46,119.15,124.01,129.67,136.33,143.61,150.98
Crawford,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,64.24,64.24,69.6,69.6,69.6
Cumberland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeKalb,70.7,71.7,73.69,74.69,75.68,76.68,77.67,78.67,78.67,81.66,81.66,81.66,82.65,83.65
DeWitt,45.11,45.11,58.0,64.45,64.45,64.45,70.89,70.89,70.89,70.89,70.89,70.89,70.89,83.78
Douglas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuPage,80.61,85.54,89.08,93.8,98.3,101.19,105.91,108.59,111.38,115.23,117.49,119.74,122.1,124.88
Edgar,35.57,35.57,41.5,41.5,41.5,47.43,47.43,53.36,53.36,65.22,65.22,65.22,65.22,65.22
Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Effingham,60.57,69.23,69.23,69.23,72.11,75.0,75.0,75.0,75.0,77.88,77.88,77.88,80.77,83.65
Fayette,32.58,32.58,32.58,37.23,37.23,37.23,37.23,37.23,37.23,37.23,37.23,37.23,37.23,37.23
Ford,66.5,66.5,66.5,66.5,66.5,66.5,73.89,73.89,88.67,88.67,88.67,88.67,96.05,96.05
Franklin,39.68,39.68,39.68,39.68,42.32,42.32,42.32,44.97,44.97,44.97,44.97,44.97,44.97,47.61
Fulton,41.66,41.66,41.66,44.63,44.63,44.63,44.63,47.61,50.58,50.58,50.58,50.58,50.58,50.58
Gallatin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grundy,43.78,43.78,51.4,55.2,59.01,60.91,62.82,66.62,66.62,68.53,68.53,68.53,68.53,68.53
Hamilton,62.55,62.55,62.55,62.55,75.07,75.07,87.58,87.58,87.58,100.09,100.09,100.09,100.09,100.09
Hancock,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35
