County,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,17.03,17.88,18.61,19.39,20.21,20.93,21.88,22.58,23.24,23.99,24.53,25.04,25.46,25.92
Adams,13.69,15.21,15.21,15.21,16.73,19.78,19.78,21.3,21.3,21.3,21.3,21.3,21.3,21.3
Alexander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bond,0.0,0.0,0.0,0.0,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,11.96
Boone,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bureau,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01
Calhoun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Champaign,17.97,19.92,20.89,21.37,21.37,21.37,23.32,24.29,24.77,26.72,28.17,28.66,29.63,30.12
Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94
Clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinton,0.0,0.0,0.0,0.0,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71
Coles,17.07,19.2,19.2,19.2,21.34,21.34,21.34,23.47,23.47,25.61,25.61,25.61,25.61,25.61
Cook,22.23,23.18,24.23,25.42,26.52,27.54,29.02,30.01,30.88,32.09,32.93,33.93,34.69,35.52
Crawford,0.0,0.0,0.0,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35
Cumberland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeKalb,12.95,12.95,12.95,12.95,12.95,13.94,13.94,13.94,13.94,13.94,13.94,13.94,13.94,13.94
DeWitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuPage,23.37,24.44,25.19,26.05,27.76,28.41,29.26,30.01,30.66,31.41,31.84,31.84,32.16,32.48
Edgar,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86
Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Effingham,17.31,17.31,20.19,20.19,20.19,20.19,20.19,20.19,20.19,20.19,20.19,23.08,23.08,23.08
Fayette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ford,0.0,0.0,0.0,0.0,7.39,7.39,7.39,7.39,7.39,7.39,7.39,7.39,14.78,14.78
Franklin,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65
Fulton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,2.98,2.98,2.98,2.98
Gallatin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grundy,17.13,17.13,17.13,17.13,17.13,17.13,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04
Hamilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.51,12.51,12.51,12.51,12.51
Hancock,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68
Hardin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iroquois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jackson,18.88,18.88,18.88,20.76,22.65,28.32,32.09,37.75,41.53,43.42,49.08,49.08,49.08,49.08
Jasper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson,32.33,32.33,35.03,37.72,37.72,37.72,37.72,37.72,40.42,40.42,40.42,40.42,40.42,45.81
Jersey,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65
Jo Daviess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kane,13.94,14.91,15.49,15.68,16.26,17.04,17.62,17.62,18.39,18.59,18.78,18.97,18.97,18.97
Kankakee,16.74,19.53,20.46,20.46,21.39,21.39,22.33,22.33,22.33,22.33,23.26,23.26,23.26,23.26
Kendall,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,1.52,1.52,1.52,1.52,1.52
Knox,14.01,16.01,16.01,18.01,18.01,18.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01
LaSalle,3.65,3.65,4.56,5.47,5.47,5.47,5.47,6.38,6.38,6.38,6.38,6.38,6.38,6.38
Lake,14.14,15.12,15.68,16.38,17.08,17.78,18.48,18.9,19.04,19.04,19.32,19.88,20.16,20.16
Lawrence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lee,14.64,17.57,17.57,17.57,17.57,17.57,17.57,17.57,17.57,17.57,17.57,17.57,17.57,17.57
Livingston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macon,16.35,17.31,19.23,19.23,19.23,19.23,20.19,21.15,23.08,24.04,25.0,25.0,25.0,25.0
Macoupin,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22
Madison,10.91,11.28,11.28,11.66,11.66,12.41,12.41,12.41,13.54,13.92,13.92,13.92,13.92,13.92
Marion,7.95,7.95,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25
Marshall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonough,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67
McHenry,10.96,11.28,11.6,12.25,13.22,13.54,13.86,14.83,14.83,14.83,15.15,15.15,15.79,15.79
McLean,16.96,17.55,19.3,20.47,21.06,21.06,22.23,22.23,22.81,23.4,23.4,23.4,23.4,23.4
Menard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mercer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe,0.0,0.0,0.0,0.0,0.0,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86
Montgomery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan,0.0,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04
Moultrie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ogle,1.93,1.93,1.93,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86
Peoria,35.75,37.4,38.5,38.5,40.15,41.25,43.45,44.0,45.1,45.65,46.2,46.75,46.75,47.3
Perry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pulaski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Putnam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randolph,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,6.63,6.63,6.63,6.63
Richland,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,18.97,18.97,18.97,18.97,18.97
Rock Island,7.6,7.6,8.29,8.99,9.68,9.68,9.68,9.68,9.68,10.37,11.06,11.75,11.75,11.75
Saline,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41
Sangamon,36.16,38.2,39.73,41.25,42.78,43.8,45.84,48.89,51.95,53.48,54.5,55.52,57.04,59.59
Schuyler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Clair,19.04,23.7,24.09,24.86,25.64,27.2,28.75,30.69,33.41,33.41,33.8,33.8,33.8,33.8
Stark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephenson,11.2,11.2,11.2,11.2,13.44,13.44,13.44,13.44,15.68,15.68,15.68,15.68,15.68,15.68
Tazewell,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05
Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vermilion,12.13,12.13,12.13,12.13,13.48,13.48,14.83,14.83,14.83,14.83,14.83,14.83,14.83,14.83
Wabash,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,17.6,17.6,17.6,17.6,17.6
