County,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,16.6,17.35,18.09,18.86,19.66,20.43,21.34,22.01,22.6,23.32,23.84,24.29,24.7,25.08
Adams,16.73,19.78,19.78,19.78,21.3,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34
Alexander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bond,0.0,0.0,0.0,0.0,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98
Boone,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bureau,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01
Calhoun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Champaign,19.92,20.89,21.86,21.86,22.34,22.34,24.29,25.75,26.23,28.17,29.63,30.12,31.09,31.57
Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94
Clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinton,0.0,0.0,0.0,0.0,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71
Coles,17.07,19.2,19.2,19.2,21.34,21.34,21.34,23.47,23.47,25.61,25.61,25.61,25.61,25.61
Cook,21.14,22.01,23.11,24.34,25.48,26.65,28.04,29.04,29.85,31.07,31.98,32.87,33.59,34.23
Crawford,0.0,0.0,0.0,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35
Cumberland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeKalb,12.95,12.95,12.95,12.95,12.95,13.94,13.94,13.94,13.94,13.94,13.94,13.94,13.94,13.94
DeWitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuPage,23.58,24.55,25.3,26.26,27.76,28.3,29.16,29.8,30.44,31.09,31.3,31.3,31.73,32.16
Edgar,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86
Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Effingham,17.31,17.31,20.19,20.19,20.19,20.19,20.19,20.19,20.19,20.19,20.19,23.08,23.08,23.08
Fayette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ford,0.0,0.0,0.0,0.0,7.39,7.39,7.39,7.39,7.39,7.39,7.39,7.39,14.78,14.78
Franklin,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65
Fulton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,2.98,2.98,2.98,2.98
Gallatin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grundy,13.32,13.32,13.32,13.32,13.32,13.32,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23
Hamilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.51,12.51,12.51,12.51,12.51
Hancock,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68
Hardin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iroquois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jackson,20.76,22.65,22.65,24.54,26.43,33.98,37.75,43.42,47.19,49.08,54.74,54.74,54.74,54.74
Jasper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson,40.42,40.42,43.11,45.81,45.81,45.81,45.81,45.81,48.5,48.5,48.5,48.5,48.5,53.89
Jersey,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65
Jo Daviess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kane,13.16,13.94,14.52,14.71,15.1,15.88,16.26,16.26,17.04,17.23,17.42,17.62,17.62,17.62
Kankakee,16.74,18.6,19.53,19.53,20.46,20.46,21.39,21.39,21.39,21.39,22.33,22.33,22.33,22.33
Kendall,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,1.52,1.52,1.52,1.52,1.52
Knox,14.01,16.01,16.01,18.01,18.01,18.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01
LaSalle,4.56,4.56,5.47,5.47,5.47,5.47,5.47,6.38,6.38,6.38,6.38,6.38,6.38,6.38
Lake,13.58,14.56,14.98,15.54,15.96,16.66,17.36,17.78,17.92,17.92,18.06,18.62,18.9,18.9
Lawrence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lee,11.71,11.71,11.71,11.71,11.71,11.71,11.71,11.71,11.71,11.71,11.71,11.71,11.71,11.71
Livingston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macon,16.35,16.35,17.31,17.31,17.31,17.31,18.27,19.23,21.15,22.12,23.08,23.08,23.08,23.08
Macoupin,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22
Madison,9.03,9.4,9.4,9.4,9.4,10.16,10.16,10.16,10.53,10.91,10.91,10.91,10.91,10.91
Marion,7.95,7.95,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25
Marshall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonough,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67
McHenry,11.6,11.6,11.93,12.25,12.89,13.22,13.54,14.18,14.18,14.18,14.51,14.51,15.15,15.15
McLean,18.72,19.3,21.06,22.23,22.81,22.81,23.98,23.98,24.57,24.57,24.57,24.57,24.57,24.57
Menard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mercer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe,0.0,0.0,0.0,0.0,0.0,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86
Montgomery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan,0.0,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04
Moultrie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ogle,1.93,1.93,1.93,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86
Peoria,39.6,40.15,42.35,42.9,44.55,45.65,47.85,48.4,49.5,49.5,49.5,50.05,50.05,50.6
Perry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pulaski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Putnam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randolph,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,6.63,6.63,6.63,6.63
Richland,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,18.97,18.97,18.97,18.97,18.97
Rock Island,7.6,7.6,8.29,8.99,9.68,9.68,10.37,10.37,10.37,11.06,11.06,11.06,11.06,11.06
Saline,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41
Sangamon,39.22,40.75,41.76,42.78,44.31,45.33,46.86,49.4,52.46,53.48,54.5,55.52,57.04,59.08
Schuyler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Clair,19.81,24.48,25.25,26.03,26.81,28.36,29.91,31.86,33.02,33.02,33.41,33.41,33.41,33.41
Stark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephenson,6.72,6.72,6.72,6.72,8.96,8.96,8.96,8.96,11.2,11.2,11.2,11.2,11.2,11.2
Tazewell,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81
Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vermilion,10.78,10.78,10.78,10.78,12.13,12.13,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48
Wabash,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,17.6,17.6,17.6,17.6,17.6
Warren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington,7.27,7.27,7.27,7.27,14.53,14.53,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8
Wayne,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,18.54,18.54,18.54,18.54,18.54
White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.21,7.21,7.21,14.41,14.41
Whiteside,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39
Will,7.61,7.75,7.75,8.47,8.47,8.62,8.62,8.76,8.76,8.76,8.9,9.05,9.05,9.05
Williamson,23.83,23.83,23.83,23.83,23.83,23.83,23.83,23.83,25.32,25.32,25.32,25.32,25.32,28.29
Winnebago,17.52,17.87,18.57,18.57,18.92,19.98,20.33,20.68,20.68,21.38,21.38,21.38,21.38,21.38
Woodford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
