County,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,22.54,24.23,26.16,28.22,29.9,31.93,35.16,38.82,41.2,44.65,48.09,51.57,55.98,60.08
Adams,57.81,60.85,65.41,66.93,66.93,73.02,73.02,74.54,77.58,83.67,85.19,85.19,86.71,86.71
Alexander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.08,19.08,19.08,19.08
Bond,5.98,5.98,5.98,5.98,5.98,11.96,11.96,11.96,29.9,29.9,29.9,29.9,29.9,29.9
Boone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bureau,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,6.02,6.02,6.02,6.02,6.02,6.02
Calhoun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Champaign,28.17,29.63,30.12,33.52,37.89,40.8,43.72,44.69,47.12,50.03,53.92,56.35,63.15,67.52
Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47
Clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,2.71,2.71,2.71
Coles,42.68,44.81,44.81,49.08,51.21,51.21,51.21,53.35,53.35,55.48,59.75,66.15,81.09,96.02
Cook,28.74,30.9,33.46,35.73,37.76,40.2,43.22,46.99,50.27,53.7,58.16,62.04,66.57,70.99
Crawford,10.71,21.41,26.77,42.83,58.89,74.95,80.3,91.01,91.01,91.01,91.01,91.01,91.01,91.01
