County,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,5.88,6.24,6.5,6.77,7.03,7.24,7.48,7.63,7.88,8.08,8.24,8.4,8.56,8.76
Adams,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,7.61,7.61
Alexander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bureau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calhoun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Champaign,5.83,6.8,6.8,8.26,8.74,8.74,8.74,9.23,9.23,9.23,9.23,9.23,9.23,9.23
Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinton,0.0,0.0,0.0,0.0,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.42
Coles,2.13,2.13,2.13,2.13,2.13,2.13,4.27,4.27,6.4,6.4,6.4,6.4,6.4,6.4
Cook,8.34,8.85,9.25,9.55,9.93,10.25,10.63,10.82,11.16,11.51,11.85,12.17,12.51,12.97
Crawford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumberland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
