County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,239.13,239.13,239.13,233.52,227.91,222.3,216.69,211.07,210.61,210.15,209.69,209.24,208.78,208.78,208.78
Adams,506.68,506.68,506.68,496.67,486.66,476.65,466.64,456.63,472.43,488.23,504.03,519.83,535.63,535.63,535.63
Alexander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bond,844.21,844.21,844.21,724.93,605.64,486.36,367.07,247.79,249.89,251.98,254.08,256.17,258.27,258.27,258.27
Boone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bureau,317.34,317.34,317.34,300.32,283.3,266.27,249.25,232.23,228.5,224.78,221.05,217.33,213.6,213.6,213.6
Calhoun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Champaign,261.59,261.59,261.59,267.01,272.44,277.86,283.29,288.71,302.0,315.3,328.59,341.89,355.18,355.18,355.18
Christian,192.53,192.53,192.53,181.97,171.4,160.84,150.27,139.71,141.07,142.44,143.8,145.17,146.53,146.53,146.53
Clark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clay,159.25,159.25,159.25,160.17,161.09,162.0,162.92,163.84,146.36,128.89,111.41,93.94,76.46,76.46,76.46
Clinton,150.95,150.95,150.95,155.16,159.38,163.59,167.81,172.02,163.29,154.55,145.82,137.08,128.35,128.35,128.35
Coles,237.6,237.6,237.6,235.01,232.43,229.84,227.26,224.67,235.71,246.75,257.78,268.82,279.86,279.86,279.86
Cook,356.92,356.92,356.92,351.6,346.27,340.95,335.62,330.3,332.35,334.4,336.46,338.51,340.56,340.56,340.56
Crawford,317.91,317.91,317.91,319.23,320.55,321.87,323.19,324.51,286.62,248.73,210.83,172.94,135.05,135.05,135.05
Cumberland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeKalb,178.78,178.78,178.78,179.82,180.86,181.91,182.95,183.99,183.94,183.89,183.85,183.8,183.75,183.75,183.75
DeWitt,150.96,150.96,150.96,151.54,152.12,152.71,153.29,153.87,155.63,157.39,159.16,160.92,162.68,162.68,162.68
Douglas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuPage,249.42,249.42,249.42,247.02,244.62,242.23,239.83,237.43,241.91,246.39,250.88,255.36,259.84,259.84,259.84
Edgar,134.58,134.58,134.58,135.97,137.36,138.75,140.14,141.53,142.88,144.24,145.59,146.95,148.3,148.3,148.3
Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Effingham,426.38,426.38,426.38,418.49,410.61,402.72,394.84,386.95,387.65,388.34,389.04,389.73,390.43,390.43,390.43
