County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,46.27,46.27,46.27,45.76,44.68,45.18,44.49,44.66,44.76,44.74,44.09,44.08,43.34,43.34,43.34
Adams,84.94,84.94,84.94,84.87,84.83,84.91,83.6,82.07,85.61,89.08,94.38,97.81,100.33,100.33,100.33
Alexander,24.28,24.28,24.28,24.89,25.81,26.22,13.35,14.75,15.44,15.84,16.5,17.36,18.19,18.19,18.19
Bond,56.28,56.28,56.28,62.05,62.34,62.97,57.91,59.0,65.38,70.8,60.13,60.88,55.34,55.34,55.34
Boone,46.16,46.16,46.16,55.18,53.76,53.75,51.98,52.25,54.2,56.06,54.13,54.16,54.95,54.95,54.95
Brown,0.0,0.0,0.0,0.0,0.0,14.58,14.64,14.64,14.79,14.89,15.25,15.2,15.28,15.28,15.28
Bureau,45.74,45.74,45.74,43.35,49.53,52.85,50.24,47.64,50.96,48.13,51.53,49.04,46.44,46.44,46.44
Calhoun,58.95,58.95,58.95,39.62,39.89,39.53,40.36,40.82,40.87,41.38,20.82,21.1,21.66,21.66,21.66
Carroll,32.49,32.49,32.49,32.98,26.65,26.83,20.39,34.21,34.39,34.44,27.95,20.97,21.07,21.07,21.07
Cass,14.66,14.66,14.66,7.36,7.5,7.51,7.6,0.0,0.0,0.0,0.0,0.0,8.39,8.39,8.39
Champaign,84.05,84.05,84.05,90.24,88.06,85.41,83.52,94.32,90.2,95.03,96.2,100.15,100.39,100.39,100.39
Christian,51.72,51.72,51.72,48.76,49.08,34.99,38.36,38.64,39.03,39.27,39.8,37.15,37.41,37.41,37.41
Clark,36.73,36.73,36.73,37.13,37.02,43.26,37.08,37.55,37.65,44.4,38.47,38.86,32.75,32.75,32.75
Clay,43.43,43.43,43.43,43.71,36.32,36.86,14.79,14.89,22.56,15.07,15.09,15.17,15.29,15.29,15.29
Clinton,34.43,34.43,34.43,31.62,36.78,36.93,39.62,42.34,37.11,34.56,39.85,37.27,32.09,32.09,32.09
Coles,61.26,61.26,61.26,57.5,52.19,61.46,63.77,76.16,76.42,75.03,68.78,75.07,71.45,71.45,71.45
Cook,90.23,90.23,90.23,92.27,91.89,95.35,94.2,94.15,95.65,93.32,94.8,95.59,96.12,96.12,96.12
Crawford,50.46,50.46,50.46,45.32,45.92,46.14,46.41,56.66,56.97,58.01,53.17,53.57,48.62,48.62,48.62
Cumberland,9.05,9.05,9.05,0.0,9.12,9.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeKalb,35.18,35.18,35.18,34.37,37.25,37.23,36.98,35.46,32.53,30.55,28.81,27.65,25.84,25.84,25.84
