County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,2.63,2.63,2.63,2.61,2.59,2.57,2.55,2.54,2.5,2.46,2.43,2.39,2.35,2.35,2.35
Adams,11.92,11.92,11.92,11.33,10.73,10.14,9.54,8.95,8.39,7.84,7.28,6.73,6.17,6.17,6.17
Alexander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bond,5.63,5.63,5.63,4.5,3.38,2.25,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boone,1.85,1.85,1.85,1.85,1.86,1.86,1.87,1.87,1.87,1.88,1.88,1.89,1.89,1.89,1.89
Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bureau,2.86,2.86,2.86,2.88,2.91,2.93,2.96,2.98,3.0,3.03,3.05,3.08,3.1,3.1,3.1
Calhoun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Champaign,10.44,10.44,10.44,10.17,9.9,9.64,9.37,9.1,9.77,10.43,11.1,11.76,12.43,12.43,12.43
Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coles,5.57,5.57,5.57,5.98,6.39,6.8,7.21,7.62,8.48,9.34,10.19,11.05,11.91,11.91,11.91
Cook,15.96,15.96,15.96,16.09,16.22,16.35,16.48,16.61,16.67,16.72,16.78,16.83,16.89,16.89,16.89
Crawford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumberland,0.0,0.0,0.0,1.84,3.67,5.51,7.34,9.18,7.34,5.51,3.67,1.84,0.0,0.0,0.0
DeKalb,5.71,5.71,5.71,5.72,5.73,5.73,5.74,5.75,5.75,5.75,5.74,5.74,5.74,5.74,5.74
DeWitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuPage,17.01,17.01,17.01,17.08,17.15,17.21,17.28,17.35,17.37,17.39,17.4,17.42,17.44,17.44,17.44
Edgar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Effingham,2.92,2.92,2.92,2.34,1.75,1.17,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fayette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
