County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ILLINOIS,102.65,102.97,103.3,102.76,102.97,104.39,104.59,104.31,104.08,103.76,103.2,105.91,105.72,105.72,105.72
Adams,216.75,223.87,230.99,242.71,241.08,253.24,246.31,238.76,247.83,244.59,235.95,235.35,251.61,251.61,251.61
Alexander,36.8,30.54,24.28,49.78,51.63,39.32,40.04,44.25,46.31,47.51,49.5,52.07,54.58,54.58,54.58
Bond,71.22,77.82,84.42,90.26,96.35,97.31,92.65,88.5,95.1,100.31,90.2,97.41,86.09,86.09,86.09
Boone,123.75,129.26,134.77,139.79,129.77,124.17,131.8,138.1,130.83,142.02,141.85,149.41,157.27,157.27,157.27
Brown,15.21,22.02,28.83,14.54,14.46,29.15,43.91,43.93,29.58,29.78,30.51,30.4,30.55,30.55,30.55
Bureau,123.09,124.44,125.79,118.48,119.45,123.33,121.16,116.12,125.9,114.31,112.15,113.4,114.54,114.54,114.54
Calhoun,78.42,68.69,58.95,39.62,39.89,39.53,40.36,40.82,40.87,41.38,20.82,42.2,21.66,21.66,21.66
Carroll,44.19,38.34,32.49,39.57,33.31,33.53,27.18,47.89,48.15,48.22,41.92,41.94,49.15,49.15,49.15
Cass,14.73,14.7,14.66,7.36,14.99,22.52,7.6,7.78,15.78,15.99,8.16,8.23,8.39,8.39,8.39
Champaign,309.86,302.13,294.41,312.37,312.38,316.74,323.95,330.36,334.42,327.13,321.93,328.58,331.27,331.27,331.27
Christian,66.66,66.38,66.09,63.1,63.51,58.31,64.91,68.37,66.05,69.48,67.36,65.01,62.35,62.35,62.35
Clark,35.64,36.19,36.73,37.13,37.02,43.26,43.26,43.81,43.92,38.05,38.47,38.86,32.75,32.75,32.75
Clay,65.37,72.5,79.62,80.13,58.11,58.97,36.98,44.68,45.11,37.68,30.18,30.34,30.58,30.58,30.58
Clinton,65.38,61.82,58.26,55.33,55.17,63.31,66.04,66.16,60.96,63.81,66.42,69.22,61.5,61.5,61.5
Coles,139.92,135.85,131.79,129.83,126.74,141.53,140.66,144.7,143.29,148.14,155.25,165.94,162.75,162.75,162.75
Cook,381.71,392.81,403.91,406.32,408.23,414.2,417.06,422.85,436.51,432.85,432.1,440.62,447.23,447.23,447.23
Crawford,81.82,86.32,90.83,85.61,91.84,97.41,87.66,92.72,88.05,89.66,85.07,85.71,81.03,81.03,81.03
Cumberland,18.44,13.75,9.05,0.0,9.12,9.14,18.46,18.35,18.42,18.34,18.5,9.29,9.39,9.39,9.39
DeKalb,79.95,78.49,77.03,76.38,74.5,76.38,78.7,75.71,72.71,71.61,71.06,71.5,69.86,69.86,69.86
DeWitt,67.26,72.88,78.5,60.32,60.85,54.81,55.27,55.39,55.47,56.45,57.07,51.16,52.06,52.06,52.06
Douglas,46.28,43.16,40.04,45.37,55.41,55.31,40.22,40.36,40.75,40.51,30.8,35.96,35.88,35.88,35.88
DuPage,419.22,428.06,436.9,429.26,435.57,441.57,442.9,450.45,454.61,458.22,459.62,478.7,480.66,480.66,480.66
Edgar,53.5,50.98,48.45,59.81,49.48,55.68,56.05,45.29,56.93,69.25,74.88,81.58,83.05,83.05,83.05
Edwards,0.0,0.0,0.0,0.0,0.0,14.99,15.11,15.3,15.33,15.42,15.64,15.64,15.73,15.73,15.73
Effingham,201.31,204.33,207.35,218.79,218.32,206.95,206.88,212.39,203.57,210.95,225.09,247.0,243.65,243.65,243.65
Fayette,38.13,34.88,31.62,31.63,36.34,40.8,32.01,27.22,32.13,27.54,28.02,32.81,32.92,32.92,32.92
Ford,92.53,95.97,99.42,78.71,71.39,72.3,80.36,94.64,103.13,105.42,105.55,123.45,123.56,123.56,123.56
Franklin,58.25,54.4,50.55,50.47,48.21,48.47,50.75,50.65,45.97,46.11,43.93,49.39,47.29,47.29,47.29
Fulton,59.91,62.32,64.74,56.82,54.57,63.28,52.77,56.02,59.1,59.81,54.53,58.24,53.43,53.43,53.43
Gallatin,16.72,17.3,17.89,18.09,36.83,36.93,37.8,37.99,19.19,19.69,19.77,20.71,20.86,20.86,20.86
Greene,51.3,47.25,43.21,43.48,44.2,44.02,37.22,30.21,22.91,22.77,7.67,7.71,7.87,7.87,7.87
Grundy,93.83,87.87,81.9,79.79,93.47,93.57,93.21,92.99,85.25,85.0,86.32,86.18,84.33,84.33,84.33
Hamilton,60.48,59.8,59.12,47.48,47.79,59.75,84.38,85.37,86.84,48.82,36.75,36.96,37.11,37.11,37.11
Hancock,58.85,60.83,62.81,47.29,31.76,53.71,48.48,43.14,37.82,27.75,33.62,33.88,28.7,28.7,28.7
Hardin,45.65,45.97,46.3,46.72,70.46,71.75,72.66,72.55,74.55,98.86,102.3,104.68,131.3,131.3,131.3
Henderson,66.87,53.9,40.92,41.69,28.4,14.31,14.46,14.3,0.0,0.0,14.91,15.05,0.0,0.0,0.0
Henry,50.43,48.0,45.56,45.7,49.85,50.14,46.34,44.45,40.58,38.52,34.63,36.8,35.12,35.12,35.12
Iroquois,82.55,83.34,84.12,67.85,85.5,96.61,90.03,62.78,70.59,60.98,65.21,70.07,78.62,78.62,78.62
Jackson,274.61,271.81,269.02,265.05,302.97,312.64,320.06,333.55,338.03,338.0,323.93,348.9,340.54,340.54,340.54
Jasper,20.62,15.46,10.31,20.58,0.0,0.0,10.39,20.82,10.49,10.44,10.4,10.41,10.57,10.57,10.57
Jefferson,207.07,223.3,239.52,237.65,242.77,238.07,236.16,245.09,210.61,220.02,216.82,228.21,222.91,222.91,222.91
Jersey,70.73,74.52,78.31,82.91,70.35,66.25,57.6,62.58,68.1,68.37,59.5,59.71,64.77,64.77,64.77
Jo Daviess,49.58,51.24,52.91,39.63,48.78,49.09,58.42,54.33,41.34,50.94,56.16,65.93,56.5,56.5,56.5
Johnson,29.13,30.46,31.79,23.71,15.67,15.78,15.87,15.67,15.5,15.5,16.06,16.11,32.37,32.37,32.37
Kane,129.44,127.6,125.76,126.86,129.96,127.76,126.3,122.63,121.87,120.45,122.24,124.34,125.23,125.23,125.23
Kankakee,136.86,134.54,132.22,131.93,128.27,123.97,125.7,126.26,123.63,119.52,118.16,121.06,121.55,121.55,121.55
Kendall,52.19,51.37,50.55,51.44,47.42,60.33,62.63,61.61,60.95,59.42,56.29,53.49,50.52,50.52,50.52
Knox,173.55,168.03,162.51,153.07,160.77,153.62,149.8,145.8,149.2,146.14,137.69,130.79,120.28,120.28,120.28
LaSalle,96.02,95.41,94.8,88.97,91.17,89.14,92.59,86.23,84.96,83.59,86.81,86.5,84.6,84.6,84.6
Lake,304.86,312.5,320.13,322.56,331.28,343.09,348.7,357.29,361.14,359.34,360.57,374.42,376.16,376.16,376.16
Lawrence,53.95,47.77,41.58,47.78,30.11,30.2,36.32,42.45,42.74,43.3,38.06,38.27,51.72,51.72,51.72
Lee,150.87,155.92,160.97,166.35,171.25,169.26,166.98,161.92,154.74,133.7,137.33,137.85,151.57,151.57,151.57
Livingston,71.65,71.77,71.89,66.86,72.45,73.33,71.23,76.35,68.44,68.46,64.32,61.71,56.47,56.47,56.47
Logan,53.71,54.91,56.1,56.4,53.31,56.73,57.15,57.64,47.41,44.45,48.4,52.41,52.85,52.85,52.85
Macon,232.63,226.91,221.18,224.87,226.11,223.28,227.04,237.64,230.88,233.46,232.07,243.25,239.77,239.77,239.77
Macoupin,45.7,47.98,50.25,44.04,52.93,51.19,43.05,47.78,41.39,39.61,35.31,40.07,35.9,35.9,35.9
Madison,111.16,111.84,112.52,115.1,111.62,115.26,115.55,114.57,111.38,113.03,111.93,114.84,112.7,112.7,112.7
Marion,136.69,141.88,147.07,149.99,143.98,139.82,124.45,119.98,112.74,116.09,111.64,107.51,105.28,105.28,105.28
Marshall,39.46,35.55,31.65,23.94,8.11,8.23,0.0,0.0,0.0,0.0,0.0,0.0,8.84,8.84,8.84
Mason,59.7,67.35,75.0,62.13,55.84,63.17,64.76,58.39,59.23,58.33,58.98,59.88,68.32,68.32,68.32
Massac,46.45,42.67,38.89,32.38,32.82,33.17,33.55,40.63,40.93,41.83,42.61,36.31,36.67,36.67,36.67
McDonough,109.8,103.96,98.12,104.35,107.57,104.73,100.38,98.94,103.24,97.33,103.49,114.55,109.23,109.23,109.23
McHenry,113.61,116.23,118.86,116.53,116.83,114.83,113.58,112.9,114.01,114.52,114.72,116.97,115.73,115.73,115.73
McLean,189.96,191.11,192.25,182.93,188.06,192.39,192.46,191.72,194.88,190.38,184.58,188.9,185.69,185.69,185.69
Menard,56.16,51.69,47.23,47.23,39.3,55.52,63.64,72.32,55.93,57.17,65.1,65.6,99.44,99.44,99.44
Mercer,48.54,42.52,36.51,30.56,24.66,24.72,25.09,25.22,31.79,32.01,32.05,25.91,26.27,26.27,26.27
Monroe,48.77,50.17,51.58,51.04,62.96,65.69,56.34,50.18,49.9,52.79,55.34,57.74,57.57,57.57,57.57
Montgomery,63.82,66.79,69.76,63.66,70.9,64.07,68.12,72.67,75.99,83.36,69.93,56.31,53.49,53.49,53.49
Morgan,110.64,110.17,109.71,118.17,116.24,116.92,125.97,120.59,105.03,97.64,88.3,95.07,92.81,92.81,92.81
Moultrie,41.74,41.08,40.41,40.47,40.18,40.33,33.7,33.49,26.98,34.04,33.97,34.48,27.88,27.88,27.88
Ogle,70.69,68.99,67.29,67.78,73.8,74.45,67.2,69.69,70.21,72.46,68.73,67.14,71.56,71.56,71.56
Peoria,467.72,470.06,472.4,482.78,501.46,529.64,534.92,525.72,545.39,557.34,558.63,565.36,577.53,577.53,577.53
Perry,62.27,66.93,71.59,62.88,58.94,59.4,64.6,64.99,56.19,65.77,70.84,66.93,62.91,62.91,62.91
Piatt,42.41,45.11,47.82,47.98,54.53,60.85,54.77,48.82,54.35,48.65,48.79,55.07,61.14,61.14,61.14
Pike,48.43,57.69,66.95,79.28,67.45,68.11,68.66,75.05,94.04,94.81,96.09,96.39,98.43,98.43,98.43
Pope,0.0,11.19,22.37,22.88,0.0,0.0,23.39,23.66,48.11,46.24,47.48,47.88,48.29,48.29,48.29
Pulaski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Putnam,16.66,16.66,16.65,33.51,33.98,34.48,34.4,17.72,17.82,17.46,17.42,17.42,17.49,17.49,17.49
Randolph,107.23,96.93,86.63,80.93,88.0,79.05,88.23,82.19,73.57,70.94,77.87,81.81,73.36,73.36,73.36
Richland,167.4,169.94,172.49,178.68,142.19,117.41,105.85,106.06,106.72,125.78,120.54,135.37,135.42,135.42,135.42
Rock Island,173.6,170.84,168.08,159.94,157.33,158.23,162.26,160.13,157.48,152.62,149.15,151.54,147.62,147.62,147.62
Saline,115.63,120.03,124.43,116.09,124.27,124.3,117.83,118.14,115.19,120.32,121.31,119.19,112.16,112.16,112.16
Sangamon,518.15,533.81,549.46,557.22,578.11,578.98,593.48,612.44,623.29,617.45,632.72,626.7,651.43,651.43,651.43
Schuyler,43.38,34.95,26.51,40.11,40.23,13.43,27.29,14.22,43.33,28.43,43.43,29.55,29.68,29.68,29.68
Scott,38.6,37.98,37.35,37.94,18.9,19.15,19.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelby,45.98,38.64,31.3,49.52,45.05,49.73,49.89,41.33,36.84,46.04,46.0,50.85,42.26,42.26,42.26
St. Clair,172.33,168.0,163.67,168.73,166.26,159.95,156.55,154.14,157.94,154.68,153.61,156.73,156.17,156.17,156.17
Stark,16.3,16.49,16.68,17.65,33.64,33.86,34.41,34.55,34.63,36.81,73.71,56.16,19.0,19.0,19.0
Stephenson,140.19,139.26,138.33,142.97,127.77,119.81,127.06,122.41,116.17,113.2,116.19,128.1,130.04,130.04,130.04
Tazewell,108.73,110.5,112.26,109.83,106.66,110.01,114.95,116.47,122.04,121.32,121.67,122.15,123.87,123.87,123.87
Union,115.44,119.49,123.54,124.24,136.0,130.81,149.02,132.12,127.82,123.53,124.7,138.11,145.47,145.47,145.47
Vermilion,117.75,115.84,113.94,106.74,111.49,118.26,106.61,99.64,104.98,105.25,98.95,99.0,93.51,93.51,93.51
Wabash,74.71,83.39,92.07,84.5,68.22,68.58,77.93,77.98,78.32,69.63,77.93,69.44,62.56,62.56,62.56
Warren,74.11,73.77,73.42,72.96,73.32,67.7,67.14,62.76,57.54,52.43,46.97,47.49,41.93,41.93,41.93
Washington,47.53,40.75,33.98,34.4,27.4,20.76,20.92,21.02,28.26,28.51,21.44,28.8,29.06,29.06,29.06
Wayne,48.5,51.1,53.7,54.05,54.3,60.2,48.36,48.71,48.79,48.5,48.98,55.5,43.67,43.67,43.67
White,40.9,37.5,34.09,27.28,27.46,27.49,27.83,27.92,27.99,35.87,21.95,22.16,29.93,29.93,29.93
Whiteside,111.58,113.06,114.53,116.46,121.01,118.14,101.98,101.61,104.36,108.7,107.86,105.12,100.63,100.63,100.63
Will,106.01,110.49,114.97,118.55,120.88,125.21,127.37,129.79,132.7,132.1,130.14,131.74,132.27,132.27,132.27
Williamson,173.3,180.84,188.38,205.64,212.98,222.64,226.84,222.33,230.91,227.25,229.66,247.76,236.39,236.39,236.39
Winnebago,228.47,231.25,234.03,227.9,233.16,240.83,247.8,243.14,241.02,237.03,235.85,244.89,252.76,252.76,252.76
Woodford,114.28,110.16,106.04,105.5,107.77,117.13,112.28,112.17,112.42,108.45,111.8,109.21,107.64,107.64,107.64
