County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adams,49,80,42,43,47,47,58,33,34,39,51,39,70,103,90
Alexander,12,8,4,5,3,8,6,0,3,8,0,6,11,12,8
Bond,8,11,9,6,7,13,6,4,16,6,9,7,11,28,16
Boone,24,16,17,25,16,27,29,0,20,22,0,16,57,38,56
Brown,4,4,5,3,5,1,3,0,4,7,0,5,9,7,4
Bureau,17,26,31,21,15,27,26,0,28,21,0,28,57,51,72
Calhoun,0,5,5,2,2,1,2,0,1,1,0,1,5,5,14
Carroll,16,15,8,5,12,11,11,0,9,11,0,10,26,13,20
Cass,9,10,11,14,7,10,9,0,10,7,0,6,27,16,4
Champaign,58,59,59,54,43,69,79,0,66,53,0,48,66,128,376
Chicago,0,716,882,889,909,731,723,0,1069,1195,0,1195,4125,2143,3918
Christian,19,17,29,24,27,21,16,0,13,16,0,12,61,40,20
Clark,13,14,9,18,11,12,17,0,13,13,0,13,18,30,24
Clay,13,21,12,14,11,12,8,0,9,6,0,14,29,19,20
Clinton,21,10,14,18,16,22,17,22,16,25,21,19,41,35,32
Coles,40,47,41,27,24,46,32,0,33,30,0,23,49,64,58
Cook,2164,1584,1978,1981,3161,1699,1719,0,2243,3817,0,2469,7636,4196,6536
Crawford,18,13,16,20,16,12,15,23,17,10,7,6,29,27,26
Cumberland,8,9,7,6,3,3,12,13,8,8,4,11,20,19,8
DeKalb,45,32,34,32,43,32,36,0,28,0,0,35,56,70,98
DeWitt,11,17,11,8,8,10,10,0,9,9,0,8,21,20,10
Douglas,16,16,6,13,9,13,19,0,11,14,0,7,29,17,34
DuPage,344,290,314,299,0,275,315,0,361,382,0,406,821,394,612
Edgar,21,31,17,12,14,17,26,0,7,12,0,7,36,42,24
Edwards,5,5,4,1,4,6,1,7,7,7,4,4,10,17,2
Effingham,21,17,23,21,27,19,11,0,20,24,0,22,44,54,32
Fayette,10,20,11,12,18,0,0,0,12,9,0,8,34,30,26
Ford,10,9,11,10,6,12,16,0,9,7,0,12,24,20,10
Franklin,26,46,22,27,22,54,47,0,22,23,0,29,60,88,50
Fulton,0,21,22,30,14,30,32,0,21,19,0,22,32,55,40
Gallatin,0,6,4,5,5,4,10,0,3,4,0,3,8,8,6
Greene,11,4,9,11,4,12,11,0,10,7,0,7,26,19,20
Grundy,14,14,26,17,24,26,23,0,0,11,0,20,44,55,56
Hamilton,7,7,4,3,9,15,8,6,12,6,3,6,11,18,8
Hancock,11,16,10,14,17,14,19,5,8,10,0,15,32,24,26
Hardin,5,8,1,3,1,7,6,0,4,1,0,3,10,11,4
Henderson,6,7,3,7,7,4,12,0,3,5,0,2,15,10,12
Henry,24,31,40,26,20,30,41,0,23,24,0,29,63,41,38
ILLINOIS,5765,5298,5333,5324,5332,5531,5633,5709,5660,6021,6013,6144,15715,11297,14964
Iroquois,31,22,33,29,23,26,20,16,22,13,28,24,44,43,46
Jackson,18,28,23,34,24,20,15,0,15,24,0,15,68,65,66
Jasper,8,6,2,5,6,10,10,0,3,6,0,2,13,13,12
Jefferson,20,31,20,14,19,39,33,0,16,22,0,30,65,67,66
Jersey,0,10,7,12,13,15,12,0,7,14,0,11,36,29,20
Jo Daviess,0,10,14,17,12,10,10,16,24,13,9,7,23,18,34
Johnson,5,12,6,1,4,11,15,0,4,4,0,3,14,32,20
Kane,135,127,166,145,132,130,153,0,178,186,0,229,512,326,390
Kankakee,53,77,43,46,53,64,55,0,64,75,0,60,124,132,158
Kendall,13,24,30,22,19,30,35,0,38,33,0,26,74,61,76
Knox,44,48,36,34,43,62,62,0,36,32,0,38,106,73,66
LaSalle,70,61,87,66,78,75,80,0,69,53,0,85,180,129,202
Lake,226,239,180,218,228,207,240,0,209,216,0,236,698,373,564
Lawrence,9,13,5,13,11,11,10,0,9,8,0,10,30,20,20
Lee,21,19,15,20,22,27,17,0,16,27,0,19,64,39,32
Livingston,23,24,38,27,23,27,21,0,22,25,0,29,54,64,48
Logan,0,26,17,17,17,22,27,0,23,15,0,14,47,30,34
Macon,84,54,78,0,69,76,60,0,70,77,0,66,142,136,0
Macoupin,30,34,28,30,27,47,33,0,30,39,0,27,64,70,68
Madison,0,176,155,146,122,171,184,0,159,158,0,216,294,319,450
Marion,24,33,17,23,27,36,40,0,26,17,0,27,50,67,74
Marshall,0,5,13,17,0,13,8,0,9,15,0,7,8,17,26
Mason,10,11,11,6,5,15,15,0,9,8,0,9,33,20,24
Massac,9,11,9,13,13,21,16,0,12,13,0,8,21,29,20
